MU;Nb_Spikes;Fr_Hz;CoV_%
CCA_MU_1;10;2,74;23,57
CCA_MU_2;15;3,24;26,89
CCA_MU_3;17;2,93;13,25
CCA_MU_4;32;9,29;25,83
CCA_MU_5;28;7,3;25,98
CCA_MU_6;17;5,57;29,75
CCA_MU_7;68;14,86;13,83
CCA_MU_8;27;6,6;23,46
CCA_MU_9;85;18,01;15,6
CCA_MU_10;88;16,59;21,38
CCA_MU_11;74;17,88;19,23
CCA_MU_12;74;23,33;18,78
