1;2;3
234.0;139.0;155.0
312.0;275.0;274.0
376.0;315.0;412.0
525.0;373.0;849.0
886.0;404.0;964.0
926.0;697.0;1098.0
1068.0;849.0;1210.0
1116.0;887.0;1387.0
1347.0;1097.0;1620.0
1490.0;1208.0;1944.0
1594.0;1305.0;2039.0
1714.0;1340.0;2172.0
1795.0;1713.0;2294.0
1954.0;1835.0;2637.0
2089.0;2078.0;2745.0
2413.0;2118.0;2869.0
2548.0;2184.0;2981.0
2677.0;2291.0;3104.0
2945.0;2638.0;3323.0
3218.0;2680.0;3414.0
3368.0;2763.0;3550.0
3648.0;2911.0;3772.0
3751.0;2980.0;3872.0
3878.0;3245.0;4071.0
4015.0;3275.0;4403.0
4107.0;3366.0;4527.0
4321.0;3481.0;4737.0
4729.0;3600.0;4880.0
4856.0;3782.0;4964.0
5400.0;4068.0;5078.0
5570.0;4230.0;5112.0
5694.0;4329.0;5182.0
5844.0;4350.0;5396.0
6082.0;4457.0;5425.0
6116.0;4791.0;5697.0
6202.0;4962.0;5806.0
6340.0;5002.0;5892.0
6466.0;5076.0;6019.0
6839.0;5115.0;6226.0
7125.0;5220.0;6359.0
7295.0;5351.0;6468.0
7415.0;5431.0;6568.0
7525.0;5546.0;6664.0
7663.0;5577.0;6802.0
7806.0;5746.0;6927.0
8079.0;5808.0;7040.0
8617.0;5846.0;7169.0
8780.0;5934.0;7263.0
9092.0;6081.0;7379.0
9226.0;6109.0;7506.0
9312.0;6227.0;7634.0
9409.0;6372.0;7659.0
9528.0;6464.0;7882.0
9830.0;6497.0;8006.0
9966.0;6565.0;8130.0
10102.0;6662.0;8284.0
10195.0;6800.0;8321.0
;6845.0;8403.0
;7037.0;8505.0
;7301.0;8740.0
;7418.0;8865.0
;7523.0;8957.0
;7544.0;9104.0
;7564.0;9201.0
;7669.0;9342.0
;7705.0;9443.0
;7880.0;9563.0
;7941.0;9696.0
;8323.0;9822.0
;8689.0;9929.0
;8782.0;10044.0
;8908.0;10159.0
;9012.0;
;9110.0;
;9200.0;
;9244.0;
;9337.0;
;9439.0;
;9525.0;
;9562.0;
;9669.0;
;9734.0;
;9856.0;
;10088.0;
;10109.0;
;10202.0;
;10234.0;
