1;2
141.0;105.0
280.0;250.0
403.0;394.0
497.0;497.0
533.0;752.0
634.0;868.0
763.0;1001.0
918.0;1122.0
1058.0;1162.0
1178.0;1339.0
1256.0;1439.0
1316.0;1555.0
1456.0;1700.0
1554.0;1812.0
1575.0;1970.0
1708.0;2196.0
1870.0;2329.0
2091.0;2450.0
2238.0;2653.0
2318.0;2766.0
2379.0;2905.0
2569.0;3055.0
2599.0;3156.0
2770.0;3264.0
2805.0;3369.0
2932.0;3492.0
3119.0;3618.0
3350.0;3726.0
3483.0;3851.0
3763.0;3937.0
3869.0;4024.0
3914.0;4108.0
4065.0;4212.0
4174.0;4340.0
4306.0;4547.0
4454.0;4693.0
4585.0;4918.0
4711.0;5032.0
4910.0;5362.0
5171.0;5454.0
5301.0;5585.0
5437.0;5685.0
5528.0;5891.0
5701.0;6110.0
5944.0;6212.0
5967.0;6381.0
6211.0;6598.0
6235.0;6713.0
6487.0;6844.0
6507.0;6931.0
6799.0;7051.0
6898.0;7190.0
7037.0;7286.0
7158.0;7399.0
7308.0;7520.0
7578.0;7632.0
7712.0;7743.0
7879.0;7981.0
8028.0;8363.0
8148.0;8505.0
8254.0;8755.0
8369.0;8939.0
8404.0;9055.0
8668.0;9149.0
8797.0;9285.0
8940.0;9640.0
9059.0;9778.0
9196.0;9904.0
9302.0;10030.0
9339.0;
9495.0;
9530.0;
9605.0;
9753.0;
9796.0;
9888.0;
10051.0;
10171.0;
