MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;21;7,033;33,8121;12,0826;0,6778
MU_2;19;9,444;19,9249;12,0226;0,6551
MU_3;27;9,7482;27,1933;12,5498;0,5185
