1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
2338.0;2193.0;2088.0;2524.0;2509.0;1860.0;1328.0;3874.0;1481.0;2016.0;2007.0;1991.0;2263.0;3029.0;2762.0;1961.0;1573.0;2071.0;2461.0;1801.0;2226.0;1331.0;1732.0;2196.0;1830.0;1775.0;3291.0;2999.0;1565.0;2095.0;2450.0;2652.0;1460.0;2318.0;2612.0;1690.0;1968.0;2760.0;2131.0
2378.0;2276.0;2198.0;2602.0;2648.0;1996.0;1424.0;3981.0;1579.0;2108.0;2077.0;2041.0;2284.0;3133.0;2883.0;2021.0;1696.0;2216.0;2732.0;2081.0;2325.0;1385.0;1828.0;2384.0;1866.0;1815.0;3398.0;3020.0;1710.0;2119.0;2604.0;2729.0;1569.0;2407.0;2724.0;1855.0;2070.0;2872.0;2225.0
2640.0;2365.0;2284.0;2635.0;2771.0;2075.0;1457.0;4004.0;1683.0;2202.0;2179.0;2102.0;2360.0;3347.0;3013.0;2070.0;1742.0;2272.0;2760.0;2103.0;2417.0;1405.0;1857.0;2474.0;1964.0;1859.0;3475.0;3212.0;1849.0;2193.0;2710.0;2994.0;1598.0;2599.0;2846.0;1899.0;2181.0;3185.0;2253.0
2722.0;2385.0;2357.0;3021.0;2877.0;2185.0;1609.0;4276.0;1713.0;2372.0;2207.0;2498.0;2383.0;3451.0;3042.0;2096.0;1808.0;2321.0;2862.0;2149.0;2610.0;1483.0;1997.0;2607.0;1993.0;1914.0;3586.0;3250.0;1968.0;2384.0;2802.0;3020.0;1658.0;2706.0;3099.0;1990.0;2247.0;3298.0;2366.0
2748.0;2493.0;2499.0;3301.0;3036.0;2240.0;1695.0;4610.0;1864.0;2474.0;2274.0;2519.0;2492.0;3528.0;3312.0;2118.0;1853.0;2384.0;3022.0;2318.0;2821.0;1556.0;2122.0;2646.0;2214.0;1969.0;3678.0;3282.0;2030.0;2407.0;2896.0;3127.0;1696.0;2814.0;3204.0;2039.0;2274.0;3426.0;2471.0
2833.0;2632.0;2625.0;3437.0;3190.0;2269.0;1808.0;4732.0;1896.0;2557.0;2382.0;2620.0;2611.0;3619.0;3439.0;2259.0;1907.0;2476.0;3122.0;2592.0;3110.0;1582.0;2181.0;2728.0;2236.0;1997.0;3985.0;3409.0;2085.0;2472.0;3012.0;3371.0;1771.0;2977.0;3270.0;2093.0;2332.0;3606.0;2540.0
2872.0;2767.0;2759.0;3566.0;3305.0;2377.0;1906.0;4903.0;1976.0;2649.0;2478.0;2641.0;2647.0;3837.0;3516.0;2356.0;1972.0;2602.0;3245.0;2615.0;3209.0;1723.0;2219.0;2760.0;2270.0;2029.0;4091.0;3455.0;2200.0;2492.0;3102.0;3535.0;1824.0;3167.0;3311.0;2130.0;2386.0;3730.0;2637.0
3013.0;2874.0;2840.0;3685.0;3433.0;2514.0;1962.0;5224.0;2019.0;2741.0;2506.0;2710.0;2727.0;3949.0;3584.0;2376.0;2026.0;2635.0;3415.0;2708.0;3242.0;1799.0;2257.0;2855.0;2354.0;2131.0;4212.0;3529.0;2276.0;2520.0;3131.0;3602.0;1980.0;3245.0;3414.0;2281.0;2458.0;3864.0;2714.0
3128.0;2975.0;2867.0;3729.0;3599.0;2534.0;1986.0;5376.0;2076.0;2772.0;2601.0;2734.0;2754.0;3970.0;3604.0;2473.0;2120.0;2655.0;3438.0;2840.0;3307.0;1852.0;2359.0;2883.0;2388.0;2223.0;4334.0;3579.0;2480.0;2597.0;3171.0;3874.0;2035.0;3286.0;3583.0;2326.0;2480.0;4000.0;2862.0
3260.0;3032.0;3023.0;3867.0;3871.0;2622.0;2017.0;5642.0;2130.0;2817.0;2626.0;3005.0;3015.0;4145.0;3739.0;2510.0;2223.0;2764.0;3518.0;2974.0;3343.0;1909.0;2379.0;3026.0;2477.0;2277.0;4728.0;3626.0;2587.0;2717.0;3192.0;3939.0;2132.0;3327.0;3694.0;2377.0;2591.0;4136.0;2971.0
3392.0;3186.0;3406.0;3940.0;4138.0;2645.0;2120.0;5749.0;2176.0;2859.0;2721.0;3226.0;3135.0;4631.0;3823.0;2611.0;2276.0;2828.0;3612.0;3021.0;3425.0;2123.0;2485.0;3265.0;2592.0;2333.0;4828.0;3682.0;2608.0;2767.0;3471.0;4075.0;2193.0;3405.0;3942.0;2422.0;2611.0;4265.0;3026.0
3420.0;3430.0;3434.0;3998.0;4273.0;2769.0;2230.0;5876.0;2223.0;3018.0;2767.0;3320.0;3216.0;4769.0;4009.0;2643.0;2327.0;2854.0;3715.0;3131.0;3446.0;2200.0;2507.0;3308.0;2744.0;2378.0;4892.0;3835.0;2715.0;2863.0;3590.0;4367.0;2288.0;3467.0;4084.0;2498.0;2826.0;4596.0;3250.0
