1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
3416.0;2787.0;2667.0;2789.0;2113.0;2913.0;1839.0;2424.0;1644.0;1122.0;1964.0;1544.0;1831.0;2300.0;2863.0;1814.0;1836.0;2119.0;1641.0;2808.0;2261.0;1536.0;1939.0;1831.0;2063.0;1634.0;1918.0;2369.0;1937.0;1915.0;1911.0;3332.0;2341.0;1941.0;1782.0;2683.0;1892.0
3436.0;2871.0;2794.0;2865.0;2255.0;3472.0;1921.0;2451.0;1840.0;1144.0;2068.0;1636.0;1978.0;2439.0;3011.0;1841.0;1924.0;2180.0;1727.0;3163.0;2312.0;1693.0;2058.0;1943.0;2219.0;1654.0;1956.0;2442.0;2004.0;1936.0;1958.0;3417.0;2425.0;2182.0;1828.0;2810.0;1941.0
3493.0;3034.0;2897.0;2987.0;2312.0;3672.0;1948.0;2511.0;1926.0;1191.0;2205.0;1778.0;2095.0;2544.0;3141.0;1937.0;1944.0;2209.0;1937.0;3473.0;2341.0;1780.0;2164.0;2102.0;2263.0;1688.0;2075.0;2490.0;2193.0;2120.0;2024.0;3515.0;2450.0;2279.0;1927.0;2906.0;2006.0
3634.0;3181.0;3190.0;3310.0;2557.0;3730.0;2106.0;2773.0;1960.0;1254.0;2362.0;1826.0;2130.0;2614.0;3164.0;2058.0;2019.0;2254.0;1966.0;3613.0;2471.0;1840.0;2419.0;2181.0;2345.0;1718.0;2102.0;2555.0;2263.0;2210.0;2145.0;3625.0;2514.0;2337.0;2006.0;3067.0;2109.0
3860.0;3317.0;3324.0;3387.0;2773.0;3832.0;2131.0;2947.0;2084.0;1332.0;2584.0;1949.0;2192.0;2636.0;3188.0;2113.0;2061.0;2554.0;2054.0;3687.0;2859.0;1922.0;2562.0;2218.0;2421.0;1793.0;2192.0;2581.0;2450.0;2354.0;2207.0;3650.0;2540.0;2358.0;2083.0;3203.0;2130.0
3967.0;3469.0;3713.0;3461.0;2811.0;3938.0;2383.0;3070.0;2120.0;1363.0;2607.0;2000.0;2306.0;2694.0;3333.0;2160.0;2100.0;2633.0;2089.0;3823.0;2914.0;2043.0;2625.0;2522.0;2506.0;1904.0;2349.0;2826.0;2519.0;2450.0;2354.0;3703.0;2630.0;2454.0;2223.0;3327.0;2177.0
4200.0;3562.0;3844.0;3513.0;2867.0;3966.0;2407.0;3185.0;2207.0;1428.0;2645.0;2077.0;2453.0;2835.0;3441.0;2201.0;2176.0;2793.0;2186.0;4167.0;2953.0;2244.0;2655.0;2622.0;2632.0;1934.0;2420.0;2848.0;2733.0;2725.0;2454.0;4110.0;2672.0;2525.0;2329.0;3348.0;2225.0
4415.0;3719.0;3950.0;3866.0;3209.0;4094.0;2458.0;3314.0;2363.0;1651.0;2678.0;2107.0;2557.0;2858.0;3536.0;2258.0;2204.0;2868.0;2351.0;4294.0;2997.0;2278.0;2709.0;2729.0;2657.0;2056.0;2505.0;3095.0;2806.0;2822.0;2517.0;4242.0;2734.0;2607.0;2349.0;3470.0;2255.0
4495.0;3819.0;4077.0;4206.0;3331.0;4216.0;2483.0;3344.0;2414.0;1765.0;2715.0;2238.0;2587.0;2971.0;3678.0;2367.0;2458.0;2994.0;2509.0;4394.0;3083.0;2317.0;2857.0;2970.0;2830.0;2116.0;2581.0;3135.0;2894.0;3020.0;2615.0;4374.0;2955.0;2970.0;2506.0;3724.0;2321.0
5093.0;3846.0;4339.0;4322.0;3428.0;4330.0;2551.0;3380.0;2500.0;1785.0;2784.0;2352.0;2686.0;3117.0;3706.0;2420.0;2480.0;3074.0;2616.0;4474.0;3292.0;2371.0;3011.0;3010.0;2866.0;2172.0;2622.0;3163.0;2959.0;3136.0;2750.0;4561.0;2975.0;3037.0;2628.0;3852.0;2369.0
5115.0;3953.0;4483.0;4423.0;3705.0;4355.0;2627.0;3447.0;2634.0;1827.0;2861.0;2395.0;2827.0;3189.0;3733.0;2626.0;2508.0;3190.0;2667.0;4559.0;3326.0;2411.0;3186.0;3144.0;2955.0;2236.0;2959.0;3288.0;3171.0;3177.0;2966.0;4653.0;3029.0;3104.0;2755.0;3959.0;2420.0
5207.0;4080.0;4571.0;4825.0;3732.0;4462.0;2779.0;3469.0;2686.0;2083.0;2959.0;2533.0;2986.0;3310.0;3861.0;2691.0;2553.0;3211.0;2836.0;4669.0;3437.0;2469.0;3274.0;3336.0;3045.0;2512.0;3020.0;3395.0;3344.0;3230.0;3099.0;4791.0;3095.0;3160.0;2819.0;3991.0;2480.0
5318.0;4174.0;4691.0;4959.0;3881.0;4531.0;2805.0;3578.0;2764.0;2200.0;2999.0;2642.0;3080.0;3412.0;3945.0;2818.0;2631.0;3323.0;2897.0;4773.0;3468.0;2555.0;3330.0;3387.0;3088.0;2544.0;3103.0;3433.0;3445.0;3341.0;3144.0;5099.0;3251.0;3259.0;2963.0;4092.0;2566.0
