MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;18;3,2838;21,6656;12,3017;0,8821
MU_2;17;3,406;23,8349;12,9202;0,8363
MU_3;31;7,0034;21,4795;12,7947;0,7807
MU_4;27;7,454;34,8836;12,2963;0,7409
MU_5;32;7,3838;25,4592;13,4679;0,7338
MU_6;18;8,5289;30,7387;12,4054;0,7199
MU_7;15;3,0746;21,5053;12,3371;0,6318
MU_8;30;8,2072;33,5753;13,1019;0,5589
