MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
-6.130372744972065e-05;-0.0002684852917086134;-0.00044235381934852076;0.00013869132399903317;0.00015073129867629168;0.0004385078689066134;0.0001336464255949962;0.00014449103071710367
-0.0001342864508245891;-0.00031784485130097385;-0.0008069143624994195;0.00033474110961170036;-4.9757711359619686e-05;0.0008201869166472868;0.00011476782888731232;-0.00017602094077966428
-0.0002007095268678974;-0.00035317898119615677;-0.001126169104152075;0.0005054105916258999;-0.0002321334689111545;0.0011507254922336406;9.310472052380861e-05;-0.00046645788963964053
-0.0002538728949134736;-0.0003684378261379073;-0.001364119688007537;0.000632890471722163;-0.0003805462343002464;0.0013951721127078741;7.155938648940432e-05;-0.0006984849499143523
-0.00028929695904525324;-0.00035994863527266966;-0.0014972115258254576;0.0007055068000108414;-0.00048423604437587735;0.0015306894385953872;5.219403012609636e-05;-0.0008531044372676753
-0.0003053317937140416;-0.0003270035707733393;-0.0015176635135938006;0.0007193412311416742;-0.0005389130069605157;0.001549745183331943;3.5958574254426e-05;-0.0009231981331214783
-0.00030325550244660325;-0.0002719369587470444;-0.0014339815070644132;0.0006784846377107675;-0.000546993777121502;0.0014606072194306222;2.264255313350687e-05;-0.0009139450744099381
-0.0002868579399985723;-0.00019968867893378804;-0.001268635322216482;0.0005939141460563531;-0.0005166853292288648;0.0012851234083531217;1.1052863939632106e-05;-0.0008410988635439699
-0.0002616040674156034;-0.00011694774590137561;-0.001053418790642466;0.0004812451324898268;-0.0004601261079513259;0.0010542824211400635;-6.244687434992203e-07;-0.0007275158226717137
-0.0002335492233101366;-3.104759211526679e-05;-0.0008234418220065945;0.0003578177549581911;-0.00039096887197986895;0.0008024621547109146;-1.4355046490147636e-05;-0.0005986493764937246
-0.00020822114415362987;5.1173173010263044e-05;-0.0006109376622144276;0.0002396911041189806;-0.0003218846251419741;0.0005614962347763717;-3.1774788199854774e-05;-0.0004779028355820821
-0.00018968249353345262;0.00012433177879490466;-0.0004400626776488798;0.00013911528872254737;-0.00026246474366120717;0.00035568362736379647;-5.379143296268589e-05;-0.000382728378368927
-0.00017994394599542615;0.00018511467511704146;-0.0003236254443484516;6.293533798874068e-05;-0.00021790094697127774;0.00019863671762916684;-8.034419075097017e-05;-0.00032217857047663707
