MU_1;MU_2;MU_3;MU_4;MU_5;MU_6
0.0006072520088919285;0.0006107267790493781;-0.00011144168961584002;-0.0003196965711951558;0.000109218592088969;-0.0003325542908771536
0.0006870338094505323;0.0006305725112926368;-7.570213202499279e-05;-0.0003517451113695981;0.0001163682181518153;-0.00032202225208338996
0.0007524229351401519;0.0006343643517096961;-3.6198813480850086e-05;-0.0003799367006640372;0.00012078559120042384;-0.0003083124249802017
0.0008017670493587611;0.0006219982021119486;6.076142542607317e-06;-0.00040378976590353254;0.000122449883006509;-0.0002917124447193529
0.0008337807722007185;0.0005937534244528082;5.0056583752516306e-05;-0.00042292408335672146;0.0001214072257753315;-0.0002725744627100205
0.0008475778005282028;0.0005502882598099634;9.462703435291304e-05;-0.00043707013032807533;0.00011776993137166744;-0.00025130708027088823
0.0008426937976791397;0.0004926263010701071;0.00013864869078722774;-0.00044607587590508787;0.00011171414561391626;-0.00022836591357378532
0.000819099466650166;0.0004221342918762698;0.00018098610260188234;-0.00044991083763616896;0.00010347598504390145;-0.0002042430053011787
0.0007772034486643522;0.00034049173001599606;0.0002205339137887466;-0.00044866729469388326;9.334623926811746e-05;-0.0001794553267561433
0.0007178449267957189;0.00024965294883262044;0.00025624303529893697;-0.000442558614115504;8.166375627188857e-05;-0.00015453263671592898
0.0006422760561082643;0.00015180253081468112;0.00028714562978813987;-0.0004319147146154529;6.880765986683081e-05;-0.00013000498030345123
0.0005521345819184386;4.930506888246947e-05;0.0003123783142478174;-0.0004171747598602047;5.518857669670309e-05;-0.0001063901203276807
0.0004494072406592497;-5.5349570842236295e-05;0.0003312030252344139;-0.0003988772394735206;4.123907409674079e-05;-8.41811968217384e-05
0.0003363847578147706;-0.00015960421915018052;0.00034302504358766793;-0.000377647658141246;2.7403529831331262e-05;-6.383490543896806e-05
0.00021560945945519545;-0.0002608942584470467;0.0003474077397409296;-0.00035418411112417427;1.4127668460334222e-05;-4.576047521921139e-05
8.981669293160447e-05;-0.0003567079625634392;0.00034408367568504233;-0.00032924107528055184;1.8480087547278937e-06;-3.0309708562524413e-05
-3.812859569357408e-05;-0.00044464590343085885;0.000332961783501777;-0.0003036117877113401;-9.018530370759923e-06;-1.7768324159747347e-05
-0.0001652986589448575;-0.0005224780211764585;0.00031413043128232504;-0.0002781096185585833;-1.80846192059924e-05;-8.348815303639897e-06
-0.0002887715642721923;-0.0005881970019759708;0.00028785628313145244;-0.00025354886965446116;-2.5001863396560918e-05;-2.185002676043085e-06
-0.00040570002290517574;-0.0006400666880470475;0.000254578958692207;-0.0002307254468535387;-2.9469281907152995e-05;6.715791328957102e-07
-0.0005133788115552977;-0.0006766643546290925;0.00021490159663700915;-0.00021039786075306997;-3.124071159940597e-05;2.5336677744407095e-07
-0.0006093091923347012;-0.0006969158272227928;0.00016957752373572077;-0.000193269007461238;-3.013095927019634e-05;-3.3235201601236527e-06
-0.0006912587991301427;-0.0007001225757124177;0.00011949332369480657;-0.00017996916742138091;-2.6020553051738864e-05;-9.861536430914597e-06
-0.0007573155577872153;-0.0006859801062733306;6.564868595819799e-05;-0.00017104063364650667;-1.8858978840449624e-05;-1.908588603861177e-05
-0.0008059343405524178;-0.0006545871732838979;9.13349191625372e-06;-0.00016692434112666515;-8.666322012281929e-06;-3.0650523868262964e-05
-0.0008359752190206684;-0.0006064455470147676;-4.889733707921493e-05;-0.00016794881721420314;4.4667325059458965e-06;-4.414586078959431e-05
-0.0008467323709579221;-0.0005424502938747174;-0.0001072506501463735;-0.0001743217125436346;2.038055717667957e-05;-5.910802074098267e-05
-0.0008379529106322109;-0.0004638707494086606;-0.00016472291329548415;-0.00018612411006657887;3.884987865647685e-05;-7.502946594432006e-05
-0.0008098451456633004;-0.00037232258471027213;-0.0002201284404539333;-0.00020330775204183008;5.958865947590598e-05;-9.137076261658879e-05
-0.000763076010970361;-0.0002697315790807636;-0.00027232734389803933;-0.00022569527435551385;8.22564630955282e-05;-0.00010757320254787594
-0.0006987576864786033;-0.00015828991030676306;-0.00032025254150805675;-0.00025298348955943637;0.00010646614682804634;-0.00012307193635764812
-0.0006184236628382925;-4.040595376594745e-05;-0.0003629351783770298;-0.00028474970257727185;0.00013179267400132701;-0.00013730923513009802
-0.0005239947706831724;8.135126164029054e-05;-0.0003995278578433528;-0.0003204609618412819;0.00015778279985874413;-0.00014974750659449586
-0.0004177359257915921;0.00020431166235344945;-0.00042932512991538535;-0.00035948603687550087;0.00018396537990536847;-0.00015988176513029537
-0.0003022045586718183;0.00032576642395271924;-0.00045178074979166044;-0.0004011097830115084;0.0002098620806995548;-0.0001672513759351134
-0.00018019188904584146;0.0004430314989105671;-0.00046652129084921625;-0.0004445494407423796;0.00023499832631453774;-0.00017145100607736616
-5.465837372924752e-05;0.0005535108880982765;-0.0004733557719080854;-0.0004889723704887464;0.0002589143519758304;-0.00017214073710323155
7.133519737903325e-05;0.0006547581602523615;-0.0004722810376658217;-0.0005335147809716668;0.00028117621395554757;-0.00016905516130898943
0.0001946993576132997;0.000744534754082686;-0.0004634827186364496;-0.0005773011622217127;0.0003013864934974569;-0.00016201100792216685
0.0003123886746673693;0.0008208636665913083;-0.0004473316999850232;-0.0006194643042633992;0.00031919425617772386;-0.0001509125545953619
0.0004214737621546582;0.000882077238946919;-0.0004243761524239168;-0.0006591658348941014;0.0003343036770063785;-0.00013575400084211303
0.0005192108410129702;0.0009268578947776536;-0.0003953293185768908;-0.0006956170143601414;0.00034648075159581735;-0.00011661833717073548
0.0006031071803789673;0.0009542708567650982;-0.0003610533871370955;-0.0007280990548948909;0.00035555779576520557;-9.367309218663285e-05
0.0006709809027566412;0.0009637880539637494;-0.00032253989515798094;-0.0007559816535661355;0.000361435978425328;-6.716441366581357e-05
0.0007210138394897215;0.0009553026226096213;-0.0002808871474408012;-0.0007787380983717236;0.0003640867296107855;-3.741163561326016e-05
