MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
0.008848641940330535;0.009206174705880272;0.0073788559031886585;0.0065830782959132705;0.0010553263377426696;0.0005325346911967643;-0.021154328177219236;0.000987680712697313
0.00894814870000653;0.009351390015959034;0.007568849360532487;0.006735254273756584;0.0010556812828335506;0.0005035772926059349;-0.0217880454019479;0.0010628003021502202
0.00899318391249705;0.009449828467918893;0.007710699816300813;0.006845491423912298;0.001049352138407429;0.0004707106111176858;-0.022279727854377908;0.0011315165539524197
0.008990324589824527;0.009507884847611123;0.007807581020086607;0.006916817778792438;0.0010373350290559798;0.0004349866479181197;-0.022636667212309412;0.0011931606098869502
0.008944696056768581;0.009528570758386746;0.007862803160913567;0.0069524843282646786;0.0010203702603639167;0.00039685102005808815;-0.02286677484447119;0.001248543256751518
0.008861152469257023;0.009514393407508474;0.00787953649236928;0.006955602065439241;0.0009991680421123107;0.00035677349699298546;-0.022977727501822073;0.0012984124910260736
0.00874472596542456;0.009468481135669372;0.007860731497877634;0.006929020023677052;0.0009744913256430157;0.00031547760856564464;-0.022976737150995352;0.0013428796149776402
0.00860020784725709;0.009393731637783134;0.007809179928856243;0.0068754024550489075;0.0009470757310095974;0.0002737369537288563;-0.02287078795244737;0.0013818758059367354
0.008431851205670133;0.009292261730810531;0.00772753302496184;0.006797257734333795;0.0009175738106390577;0.00023224059495887954;-0.022666733587206188;0.001415440098676561
0.008243474385951447;0.009165759325020378;0.007618260987969706;0.006696883174419116;0.0008865739988113239;0.00019165297338716647;-0.02237118956089282;0.0014435469551817507
0.00803855129329312;0.009015778361036118;0.0074836328715003585;0.0065763317997910836;0.0008546158028193733;0.00015265710967554848;-0.021990480415502806;0.0014659789069944912
0.007820127100827511;0.008843621308829503;0.007325730515606835;0.006437426284661526;0.000822171907261286;0.00011590668229210056;-0.02153069203322742;0.0014824193034977825
0.007590741827367767;0.008650230424584814;0.007146460625163139;0.006281772611287848;0.0007896319077345112;8.198069786008448e-05;-0.020997711094603296;0.0014925414962634399
0.007352450185108114;0.00843628142081797;0.006947556036623145;0.006110758441629458;0.0007573039140027037;5.138240070081464e-05;-0.020397219599012896;0.0014959969358869227
0.00710685833779545;0.008202293892486346;0.0067305820992427;0.005925557243037318;0.0007254189658602108;2.454178113455824e-05;-0.019734696737062688;0.0014923998534882397
0.00685513077269834;0.00794865399091377;0.006496953018844955;0.005727146262516286;0.0006941297205357927;1.7999107631029135e-06;-0.019015445721447866;0.0014813600690716522
0.006598000981101069;0.007675627927739506;0.006247950507514995;0.005516328536954235;0.000663509918782309;-1.6606887234847067e-05;-0.018244621250750975;0.001462520861156988
0.006335809402777524;0.007383418898601954;0.005984741355804327;0.005293753872378317;0.0006335590230371434;-3.0551292025493853e-05;-0.01742724671621723;0.001435574168045346
0.006068553368736488;0.0070722323723623835;0.005708396616216535;0.005059942323406184;0.0006042091704496105;-4.001505966572071e-05;-0.016568230805363272;0.0014002707820051144
0.005795935730749905;0.006742321035311311;0.0054199134276418925;0.004815311952270191;0.0005753320410941549;-4.5090721067046374e-05;-0.01567238823247285;0.0013564390456140708
0.005517416898700573;0.006394022209678552;0.005120237506328264;0.0045602084063402415;0.0005467466151932118;-4.5981714773686446e-05;-0.0147444593936328;0.0013040040378630774
0.005232275068477512;0.006027800398388066;0.0048102848800791595;0.004294934320752706;0.0005182287499228192;-4.299800638475524e-05;-0.013789125444799722;0.001242999807778643
0.0049396708119967;0.005644288225308932;0.004490962888415532;0.004019778553751693;0.0004895218922800741;-3.6548553153243035e-05;-0.012811020171551248;0.0011735774171257457
