MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;22;5,8745;30,7706;12,9437;0,8749
MU_2;22;4,5994;23,0231;12,8288;0,8558
MU_3;17;2,3622;13,148;13,015;0,8349
MU_4;15;3,6604;30,1196;12,4341;0,7768
MU_5;16;3,9394;24,8984;12,107;0,6727
MU_6;16;2,9581;27,7529;13,5124;0,5558
