MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;21;4,9152;26,3656;13,3424;0,8456
MU_2;22;8,4667;31,5132;12,0424;0,8051
MU_3;20;5,8414;30,7147;12,2671;0,794
MU_4;15;5,3935;25,4196;12,7899;0,7804
MU_5;19;4,6865;20,3183;12,5577;0,7609
MU_6;26;11,5121;17,8668;13,2328;0,7483
MU_7;21;5,7111;23,6768;12,5708;0,7278
MU_8;30;8,3665;28,5861;12,0213;0,7076
MU_9;37;11,3019;30,0383;12,3655;0,6144
