MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;23;7,0729;32,1848;12,6841;0,8566
MU_2;19;5,1652;25,3225;13,4091;0,7763
MU_3;28;9,597;25,8355;12,4362;0,7414
MU_4;23;5,8452;30,492;12,7583;0,7328
MU_5;30;7,3603;33,0959;12,3946;0,7186
MU_6;31;12,1744;25,1156;12,4107;0,7101
MU_7;18;4,521;20,3695;12,8874;0,6156
MU_8;27;10,0544;29,1413;13,1813;0,5718
