MU_1;MU_2;MU_3;MU_4;MU_5;MU_6
1.2236581935961571e-05;0.0004901651170433922;4.298562160708639e-05;-0.00019040586398850017;-0.00013366580969251637;0.000735721783892808
0.0005019071452406288;0.0007130973021260591;0.00035592381761860863;-0.00018043118229750006;-0.0003372984099153595;0.0010541389391708746
0.0009437436316386626;0.0009074459117464104;0.0006297820729132961;-0.00016699581951754665;-0.0005170460834382364;0.001320819610807454
0.0012979663462862107;0.0010568640599215948;0.000832715744191303;-0.00015085536728503846;-0.000655370318225017;0.0015055612109858342
0.0015377395626633042;0.0011504759594884268;0.000943858951015934;-0.00013262676968800197;-0.0007406625670932515;0.0015890363179047408
0.0016526670716829899;0.0011842955967322649;0.0009562663793958882;-0.00011272201854735305;-0.0007688207463965047;0.0015655992781221024
0.0016493800655163478;0.0011614600406102127;0.0008773702224983431;-9.133284772793842e-05;-0.0007435017886264063;0.0014437006842853077
0.001549195087791792;0.0010912684487376302;0.0007269343070041592;-6.846693026527226e-05;-0.0006750404653157486;0.001243893027982457
0.0013833764408182024;0.000987243900920075;0.0005329637006700097;-4.402593709951097e-05;-0.000578278040450366;0.0009948679740336259
0.0011869803589332655;0.0008646150875985724;0.0003264069884031051;-1.790775259174413e-05;-0.0004697458881793565;0.000728329417866217
0.0009924999504591803;0.0007377130917842355;0.00013569508228167162;9.88924087085863e-06;-0.00036475919524239314;0.0004737049404221791
0.0008245240683918729;0.0006177762293578678;-1.784472973612788e-05;3.918175198264787e-05;-0.00027497319388177443;0.0002536934411115817
0.000696375462445867;0.0005115554120050156;-0.0001228730221247986;6.955441500399e-05;-0.00020684157008189717;8.14431806780683e-05
0.0006092589992145161;0.0004209361767609692;-0.00017876633624684985;0.00010035925727814453;-0.00016121888983730985;-4.0202464505803334e-05
0.00055392172862061;0.0003435788552017454;-0.00019418760558979133;0.00013076148138788988;-0.00013410809626441145;-0.00011738874582053319
0.000514313429761598;0.00027437010578989753;-0.00018393665997031288;0.00015982183585040217;-0.00011832055472448711;-0.0001622815116693445
0.00047234466772789216;0.00020732010025262772;-0.00016485385858691206;0.00018659867555447519;-0.0001056378553912898;-0.00018918787833733185
0.00041264841068444565;0.00013746213469199202;-0.00015171351355081859;0.00021024932317697512;-8.897761513149507e-05;-0.0002106631250576193
0.0003262969622714872;6.23299696249011e-05;-0.00015400482563268883;0.00023011119596727262;-6.408626479180465e-05;-0.000234464059584098
0.00021269430166606575;-1.73029155994658e-05;-0.00017426858823716334;0.00024574810167245486;-3.0403871969844572e-05;-0.00026198903609946913
7.929414724751979e-05;-9.756339485422824e-05;-0.00020828990075713437;0.0002569550185136317;9.058212938740837e-06;-0.00028849182725722067
-6.070817502657496e-05;-0.00017243736275186197;-0.00024702129769780965;0.00026372382960672256;4.875962223292022e-05;-0.0003049481141077063
-0.00019210457321449384;-0.00023530069189058598;-0.00027971937718217015;0.0002661809041663941;8.231777095810339e-05;-0.00030107805197864825
-0.0003018998050068633;-0.00028064701456211657;-0.0002975055669071638;0.0002645132996490533;0.00010441893634461183;-0.0002687671448415912
-0.00038299887219402746;-0.000305591895482009;-0.00029646665964271475;0.0002589024461163062;0.00011248286214929813;-0.00020503670149781843
-0.0004364413624401559;-0.00031078185618348705;-0.00027951357582874537;0.00024948202883747313;0.00010766485728715334;-0.00011381401683877729
-0.0004715935052529607;-0.0003004689977420649;-0.00025649540053878424;0.00023633087842386897;9.492756766560087e-05;-6.01994106383387e-06
-0.0005041697724013221;-0.00028169924291309513;-0.00024246022191254697;0.00021950328983624638;8.212445298138287e-05;0.00010212978635629215
-0.0005524529953237371;-0.0002627641370560802;-0.0002543796227362957;0.00019909014150258392;7.826326306020718e-05;0.00019230476054542494
-0.0006325073910838947;-0.00025123894952186764;-0.00030701759948544103;0.00017529644640911765;9.13114217932939e-05;0.00024806764597382086
-0.0007534392100082173;-0.0002520355999122458;-0.00040884730487585703;0.0001485162476193278;0.00012602369535818597;0.0002588416055721525
-0.0009137958815918863;-0.0002659137204768772;-0.0005589497939014926;0.00011938515154362862;0.00018228896694188768;0.0002229399338856998
-0.0010999945392450063;-0.0002888120836948984;-0.0007456576337966719;8.87944923677559e-05;0.00025440190080215473;0.00014892467864760915
-0.0012872726306701545;-0.0003122010864607629;-0.0009473653206940261;5.785844359993681e-05;0.0003314840408279313;5.488807145615409e-05
-0.0014431373694425017;-0.00032444762322355746;-0.001135486735479379;2.7834864705941976e-05;0.00039904404219062885;-3.4325631071589416e-05
-0.0015327633830522316;-0.00031296965580251794;-0.0012790883597890426;1.0343896912729357e-08;0.00044142667218554136;-9.150707838547971e-05
-0.001525359294444481;-0.0002667838399453194;-0.0013503599920830242;-2.4432246524575773e-05;0.0004447051028893185;-9.227457129010098e-05
-0.001400285292991617;-0.00017895269735742372;-0.001329880260706062;-4.454099866422959e-05;0.0003994623404963689;-2.0073451018959467e-05
-0.001151707942372731;-4.843951382724975e-05;-0.0012106376297051072;-5.969442747710185e-05;0.00030290948622350696;0.0001300138530185143
-0.0007908289367067084;0.00011901922151711656;-0.000999981748875203;-6.965515407560173e-05;0.0001599024513757828;0.0003494377219173587
-0.00034517401565329866;0.0003112316181175276;-0.0007190644910939139;-7.456809119836194e-05;-1.737674346470258e-05;0.000616753003524977
0.0001450117154065062;0.0005110389582361499;-0.00039980911886557314;-7.490370321414914e-05;-0.00021105314391612766;0.0009005546866511186
0.0006326570611658498;0.0006987288573879837;-7.99240519998998e-05;-7.135719115995794e-05;-0.0004002313409773443;0.0011642813486036946
0.0010709964362768034;0.0008549462245282984;0.00020314141819097802;-6.472265555608359e-05;-0.0005642295349274993;0.001372024873807018
0.001420648002040324;0.0009635771983382363;0.0004181952407517856;-5.576577187510296e-05;-0.0006857874602502808;0.0014942866476565348
0.0016553566519890534;0.0010140855853808452;0.0005451592437694516;-4.5118382569334126e-05;-0.00075366523006911;0.0015126292047708315
0.0017653807922254783;0.0010028871973109916;0.0005779119342864161;-3.321369932593304e-05;-0.0007641687707894749;0.0014223864229558126
0.0017579599006431969;0.0009335335220317322;0.0005246369666427416;-2.027247626991092e-05;-0.0007213459850735599;0.0012329715940577917
0.0016548629926913011;0.0008157048963690886;0.000405678580345178;-6.3402544498627805e-06;-0.0006358540682009961;0.0009657852379154518
0.0014875732220456688;0.0006632388307538626;0.00024938027122517844;8.634324755398968e-06;-0.0005227510647781336;0.0006501804341297074
0.0012911002473272384;0.0004915963695541805;8.675631130936184e-05;2.4698067018812107e-05;-0.0003986634034185227;0.00031830178482651167
0.0010976439713539865;0.0003152635728998419;-5.395604576551357e-05;4.179077716052427e-05;-0.0002788866615104719;-1.954851569105076e-07
0.0009313172073912916;0.0001455788539297686;-0.00015182987639023293;5.96636517562688e-05;-0.00017496938974388758;-0.0002825529529647148
0.0008048781869738334;-1.062700055801459e-05;-0.00019605317842903542;7.783558664895175e-05;-9.32130926590263e-05;-0.000515660242365539
0.0007189835398727318;-0.00015137002653938566;-0.0001865671751922057;9.559631866146876e-05;-3.4321277592529874e-05;-0.0006967291140080056
0.0006639421996554209;-0.0002788389133579153;-0.0001325551485203113;0.00011205563727554386;5.8110018305852015e-06;-0.0008319053062518235
0.0006234405654435838;-0.00039792175635319446;-4.923605910013032e-05;0.00012622869181158763;3.44083880511525e-05;-0.0009332519500782222
0.0005793234751008148;-0.0005143037610488182;4.625339783607702e-05;0.0001371402765606647;5.964387833210581e-05;-0.0010148545170535514
0.0005163333081618131;-0.0006325800982134779;0.00013895013860847652;0.00014392733296339936;8.848341868861378e-05;-0.001088947327243433
0.0004257667479329722;-0.0007548066952992245;0.00021923827376926352;0.00014592009419382438;0.0001250193971955098;-0.001162916793314563
0.00030728605567972297;-0.0008797990539602833;0.00028444716829366227;0.00014268809237967753;0.00016964227304026405;-0.0012378090502404503
0.00016855247836856295;-0.0010033105599272683;0.000338587930547493;0.00013404501556857424;0.00021920304367497893;-0.0013086122718110457
2.2844778421383795e-05;-0.0011190205837446584;0.00039037447162536346;0.00012001402724936025;0.0002680886352805392;-0.0013661772183624261
-0.00011471210019404673;-0.0012200833841125114;0.0004500648214359022;0.0001007637997313381;0.00030992253252161233;-0.0014002688669600611
-0.00023136468077585977;-0.0013008611762532292;0.0005259121338177865;7.653459762511493e-05;0.00033946928331624596;-0.001402982569861425
-0.0003203663523791911;-0.0013584131718048886;0.0006210970807065618;4.75755462237379e-05;0.0003542835231915678;-0.0013716710315845452
-0.000383149169153933;-0.0013933665834396716;0.0007319287326198794;1.4104795452146308e-05;0.0003556873451342423;-0.0013106430332848753
-0.0004294497627079238;-0.0014099529260815263;0.0008478306413332894;-2.3702474844410128e-05;0.0003487912078179569;-0.0012311772070208139
-0.00047522844117292676;-0.001415181350035875;0.0009531780615728792;-6.568662913040678e-05;0.00034151556394539144;-0.0011497592672367143
-0.0005387822979179084;-0.0014172749704313803;0.001030589794728592;-0.00011163047441783897;0.00034284333769895784;-0.0010848370462496685
-0.0006359749378970273;-0.001423660873126562;0.001065026863892494;-0.0001611735005810118;0.0003606662373832285;-0.0010527650328841483
-0.0007756324490222151;-0.0014390071306591944;0.0010479306296072555;-0.00021376342821293216;0.0003995940241502754;-0.001063868020929992
-0.0009559479868083251;-0.0014638382244232153;0.0009803928690780518;-0.00026862976730182667;0.0004592172935498271;-0.0011195141013727958
-0.00116276220363347;-0.001493965814180098;0.0008742937103574089;-0.00032472451126214235;0.0005334663614832672;-0.0012107985686914192
-0.0013707139385570508;-0.0015207200423129055;0.0007511202566512171;-0.00038070270041603443;0.0006113264810254152;-0.0013192218639402928
-0.0015473136882657606;-0.0015321910228302824;0.0006391862034092841;-0.00043510134931520477;0.00067837842857348;-0.0014195844059552824
-0.0016582727117609372;-0.001515725292353772;0.0005695845256013576;-0.0004865910778399925;0.000718738266220009;-0.0014846841346147428
-0.001672731718115267;-0.0014608583037342701;0.0005702467232350206;-0.0005339249676284169;0.0007180103307649847;-0.0014904597706886806
-0.0015694539198553366;-0.0013611147793760796;0.0006592792361435336;-0.0005757560938783621;0.0006672039446186149;-0.001420387492532461
-0.001343872379069477;-0.0012149243007850777;0.0008417781025574149;-0.0006110897512856988;0.0005648630321767381;-0.0012692704715324152
-0.0010103204627602452;-0.0010276602445075669;0.0011111189964046941;-0.0006400500315383024;0.0004155844513612168;-0.0010462066514590363
-0.0005959416530537611;-0.000813370210152826;0.0014484192199414774;-0.0006632268957207257;0.00022919719905862255;-0.0007739983071049325
-0.00013599264961559367;-0.0005909506427473137;0.0018187676345248534;-0.000680005749089461;2.4240297384616185e-05;-0.0004835271365693963
0.00032104761703399907;-0.00037690171413466586;0.0021778419274021857;-0.0006896250688007104;-0.00017305429327611635;-0.00020836373099124107
0.00071696341064964;-0.0001866132917505849;0.0024928787472581508;-0.0006946550400138526;-0.0003427661195969673;1.5572989430764526e-05
0.0010139482978600623;-4.2327850627876096e-05;0.002747396235452879;-0.0006989109132373332;-0.000479599874096528;0.0001538262633994178
0.0012113693961483202;3.660204613479422e-05;0.002914006012336948;-0.0006993858420951577;-0.0005732232980300555;0.0001894009876908559
0.001301360951572485;5.9202587558904416e-05;0.002955285382910549;-0.0006892409942258057;-0.0005956721699087479;0.00013107398343858518
0.001238751485751406;5.0572757759813863e-05;0.002891940152169797;-0.0006752085926827673;-0.000546890440067383;-9.95141425192688e-06
0.001035884867221397;-2.452110701583963e-06;0.0028141778030932344;-0.0006735867896063072;-0.0004899781946353108;-0.00023772381664345275
0.0008363945859786824;-0.00013432457161718003;0.0027345616825450707;-0.0006726078322065753;-0.0004572866774367611;-0.0005276326924774195
0.0007124589430672667;-0.0002870154027548522;0.0025333816560983683;-0.0006358219557768449;-0.0003568944627817303;-0.0007917743175115437
0.0004628933375081412;-0.00033661011127624065;0.0022510216263968903;-0.0005830835964515385;-0.00015234174858160657;-0.000980984242856308
-6.498843447746233e-07;-0.00034691691317447707;0.0022307423855723136;-0.0005950836401632999;-7.948348625133463e-05;-0.001187844750680917
-0.00018428255759657514;-0.000555229392419456;0.0025017570066539927;-0.0006415220331087824;-0.00028663615917532694;-0.001457000839365569
0.00021955767788730098;-0.0008341192828032472;0.002377583344632005;-0.0005472930599473353;-0.0003158733584675418;-0.0015481000740117116
0.00021658303588532898;-0.00064731857328902;0.0017102635570542882;-0.0003543715283321772;0.00020574833793707566;-0.0013106624555686156
-0.0010048153317617603;-0.00019101969488715328;0.0019270864204023665;-0.0004448779395746474;0.00036013632951720405;-0.0012416072388608727
-0.001455873153561369;-0.0006544886200019723;0.003519255465006241;-0.0007816933690393062;-0.0007745037471866971;-0.0017642856519233827
0.0008823349207883605;-0.001823354951237561;0.0034907985039065014;-0.0005325456574236329;-0.001377917950835642;-0.0019299950996394754
0.0016935479217043603;-0.0010184260574482476;0.0001746373559975701;0.00027266651606691676;0.0010019781592869982;-0.0006371357381504167
-0.005756830501665349;0.002385372999693425;-0.0011309853033163195;-0.000601699301273753;0.0038728938711627024;0.0007416472473364396
-0.015771940997296244;0.003807635183557484;0.002584577898707493;-0.004275332526797759;0.002867258360737839;0.00034092842813807366
-0.010181366488863626;0.0006975422471329609;-0.0004899390753996153;-0.005979331875466695;0.0015292817388700218;0.0005028488069682298
0.0159895109484927;-0.00015778178148770017;-0.021821561168154206;0.0011390044582971104;0.00710800606207126;0.004709591058102363
0.03974209677898952;0.008151357750454169;-0.045395657638039905;0.014966903074033644;0.014957260175106502;0.009984608915931264
0.035712059894491464;0.018861593928534835;-0.04077223026869952;0.022972881413837465;0.012744142105883764;0.01061571596513847
0.007435464211576121;0.018795991553394696;-0.006590412301592218;0.015694953193066373;0.002526788759890418;0.008103874444574668
-0.019165075804178904;0.008230140075368743;0.023038315488044418;-0.002767342168690846;-0.00024697440910178143;0.007189333763092681
-0.02453402007434548;0.0015895650640733751;0.021452531947454875;-0.019827463299778986;0.006747937605881229;0.005795941658900955
-0.011265981815506846;0.007233426057036754;0.00044935646707392504;-0.02571415051030045;0.007624653988885294;0.0008813938951993018
