MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9
2.7899321573852014e-05;8.502326075814084e-05;-0.00027159449350750803;0.00019792849797622747;-0.00011720357567501292;9.91123229357301e-05;8.651047652759914e-06;-7.379052692021297e-05;-2.5436608667192957e-05
5.1879278879823974e-05;0.0001985014064945025;-0.0003637582719390842;-5.584614577256852e-05;-0.00013825581675411345;0.0001195008056361013;0.00022638853111812458;0.00010016099880762271;0.0001552349334325316
7.443360827353847e-05;0.00030138807167384474;-0.0004436991478824933;-0.0002832083131437714;-0.00015306328921884911;0.00013567489049390826;0.00042168081232905836;0.00025477505961162775;0.00031647714252890454
9.310436937655481e-05;0.00038437567541643026;-0.0005052365313697968;-0.00045925595033827205;-0.00015916622214821438;0.00014449621113410993;0.0005749128919857651;0.0003739331424605528;0.00044055175727156416
0.0001062672138487684;0.00044120890388130656;-0.0005442507982751888;-0.0005674891493321242;-0.00015505021209821697;0.00014398279637486668;0.0006730445103103026;0.0004469449108835365;0.00051579558729071
0.0001133653405269313;0.0004695126081141971;-0.0005592091437599163;-0.0006020906719226481;-0.00014037756694271133;0.00013361651209556238;0.0007113860550189844;0.0004700076455667619;0.0005382618446612982
0.00011494525867181595;0.0004709285235203408;-0.0005512531429182646;-0.0005682892588093149;-0.00011601922341289502;0.00011438621828257187;0.0006938842784744669;0.0004464407116096496;0.0005119758254895066
0.00011249294764236677;0.0004505555928592978;-0.0005238446810417976;-0.00048079162149492345;-8.38859059140085e-05;8.856486289711012e-05;0.0006319067829534417;0.0003856859823491337;0.0004477949139232734
0.00010810717870095399;0.00041582111715781776;-0.00048205032782878233;-0.00036063673994357403;-4.659514234621122e-05;5.926946010045436e-05;0.0005417998402182895;0.0003012998219593594;0.00036112865481000256
0.00010407713085338588;0.0003750153351161297;-0.00043161061075119774;-0.00023111864209202462;-7.040948665976423e-06;2.989325110519247e-05;0.00044172134107121555;0.00020834893821756914;0.0002689860809551034
0.00010244798505621566;0.00033577952276021215;-0.00037797689496313146;-0.00011358341761680212;3.2050523973157004e-05;3.5213464372932185e-06;0.0003483746318689048;0.0001207242780511118;0.00018693280574881604
0.0001046577416315976;0.0003038362939192428;-0.00032549776349388503;-2.3902221547128217e-05;6.849647115262672e-05;-1.7559421914341327e-05;0.00027426592493067365;4.888462872911388e-05;0.00012653748759877163
0.00011131145616923541;0.00028219179173789367;-0.0002768997463593222;2.974186636404085e-05;0.00010089801295841617;-3.216834348418274e-05;0.00022598072703585201;-1.562945481369991e-06;9.376880235353985e-05
0.00012212922229632282;0.0002709360326795234;-0.00023314223369226534;4.740255640894864e-05;0.00012870943803163385;-4.030793397963017e-05;0.00020375164799683835;-3.0221979095461967e-05;8.859639161950658e-05
0.00013606788151460247;0.0002676417619098094;-0.00019364724565685805;3.6253766941903275e-05;0.00015213572733628866;-4.301014126463912e-05;0.0002023184050428591;-4.1204038989125995e-05;0.00010579648215587393
