MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9
-0.0005891119521575913;0.00020731326677945482;-0.0004443519923976456;-5.282188545023859e-05;-4.746058773216934e-05;0.00023838779002292556;5.535833177274703e-05;0.0002718225611890242;-0.00016656145367575286
-0.0006384155480834697;0.00010138452421300288;-0.0005086316538591144;1.734812596275226e-05;-7.677038711967567e-05;0.0001990391050963699;3.483847465866627e-05;0.0002563497111100877;-0.00017586579541043222
-0.0006766404037354119;-2.45545927935771e-06;-0.0005590234706162494;8.959722845279056e-05;-0.00010235600548781789;0.0001623676727677218;1.4213208967599153e-05;0.000237161497985816;-0.00017985654448899406
-0.0007027285861081537;-0.00010180489507373249;-0.0005941068715095263;0.00016237286903484185;-0.00012366427764174962;0.00012925843769743221;-6.074430944076353e-06;0.00021474628793770545;-0.0001784872849299503
-0.0007158839066419293;-0.00019437703862728594;-0.0006128178512530457;0.00023409957132377072;-0.00014025180626526696;0.00010048620713680912;-2.559217385245246e-05;0.00018966399004209856;-0.00017184831444999298
-0.0007155916466360228;-0.00027805538065546736;-0.0006144766814418831;0.0003032152176878884;-0.0001517962185270811;7.669542557451528e-05;-4.3928822318932454e-05;0.00016253269970539793;-0.00016016540162005807
-0.0007016318165256857;-0.0003509450641456559;-0.0005988067408860212;0.00036820718043159795;-0.0001581045963558358;5.838297074185932e-05;-6.070410544790815e-05;0.00013401390631082437;-0.00014379531434854302
-0.0006740856079614809;-0.0004114192925776175;-0.0005659439745767391;0.00042764745212546973;-0.00015911886458638087;4.588439874715072e-05;-7.557783847251715e-05;0.00010479660788675241;-0.0001232182057840361
-0.000633334856153358;-0.0004581596060638091;-0.0005164367083049921;0.00048022594440615997;-0.00015491799265837512;3.936398749681219e-05;-8.82581692752364e-05;7.558070330002139e-05;-9.902701925391475e-05
-0.0005800544931398547;-0.000490189041296951;-0.0004512357719875147;0.0005247811632460505;-0.00014571693901374735;3.880883959316809e-05;-9.850871228886374e-05;4.706005144091004e-05;-7.191414434841866e-05
-0.0005151981377116015;-0.0005068973531128914;-0.00037167511203327553;0.0005603275272937394;-0.00013186234437906273;4.402721207571381e-05;-0.00010615439532931831;1.9905596837133226e-05;-4.265562239600047e-05
-0.0004399771296079808;-0.0005080576584929567;-0.00027944329801626633;0.0005860786707646279;-0.00011382505628070967;5.4651141831490714e-05;-0.00011108587424146089;-5.251038199518766e-06;-1.2093258865450603e-05
-0.00035583347191753164;-0.0004938340629835569;-0.00017654654537561002;0.0006014661636580393;-9.218964265884313e-05;7.014333387218925e-05;-0.00011326240375268351;-2.7833104153485318e-05;1.888494849304358e-05
-0.00026440729145021133;-0.0004647800396644929;-6.52640786396431e-05;0.0006061531869196204;-6.764112437179311e-05;8.980817872359764e-05;-0.00011271308877617247;-4.733304516266835e-05;4.936561495376637e-05
-0.0001674995576840759;-0.0004218275470823824;5.190315603793325e-05;0.0006000428173560372;-4.094922257286878e-05;0.0001128066687111041;-0.00010953647760178819;-6.332524387421979e-05;7.843152545339597e-05
-6.703091662681968e-05;-0.00036626708951707353;0.00017228925900017626;0.0005832807029551579;-1.2950477025017814e-05;0.0001381748903899051;-0.00010389849661171979;-7.547687886717644e-05;0.00010518344093248199
3.5002408068898796e-05;-0.000299719140053282;0.0002931243205178112;0.0005562520386730338;1.5471355849976383e-05;0.00016484568179915858;-9.602876720687423e-05;-8.35566278220218e-05;0.00012876164260114747
0.00013657461833717404;-0.00022409755333452632;0.0004115981278857955;0.0005195728859400061;4.3406172417773077e-05;0.00019167296371148625;-8.621538499993909e-05;-8.74410001949508e-05;0.00014836670609229142
0.00023567717540302406;-0.00014156578363720639;0.0005249251542492304;0.00047407601473309916;6.993917631309755e-05;0.00021745819432461035;-7.4798274797448e-05;-8.711813425176478e-05;0.0001632790134598999
0.00033036536722087475;-5.4486894084233685e-05;0.000630409311517762;0.00042079158057465726;9.417281550644023e-05;0.00024097834973011592;-6.216126588221944e-05;-8.268894910445894e-05;0.00017287654006082083
0.00041880350753553246;3.463149814481067e-05;0.0007255069448295628;0.0003609230663153734;0.00011524848646481054;0.0002610147812022421;-4.872306991730295e-05;-7.4365611306317e-05;0.00017665048821734216
0.0004993076848795675;0.00012319606176405189;0.0008078865746071912;0.0002958190253649623;0.00013236748827142794;0.0002763822620001223;-3.4927378227773204e-05;-6.246734638273845e-05;0.00017421838438732665
0.0005703850452788328;0.000208589016762735;0.0008754839669160898;0.00022694127551938677;0.0001448107321602989;0.00028595755110016945;-2.1232303775519976e-05;-4.741367388895276e-05;0.00016533431997219427
0.0006307686848294907;0.000288230421036639;0.000926551226789969;0.00015583029597655162;0.00015195674857344425;0.0002887068423984275;-8.099391629137002e-06;-2.9715187481806463e-05;0.00014989608939114233
0.000679447301586101;0.0003596400135843422;0.0009596987333273123;8.406862947825152e-05;0.00015329755612964366;0.00028371144562102936;4.017540778321492e-06;-9.96208790263566e-06;0.00012794903999322705
0.0007156888390533686;0.00042049710507035463;0.0009739288725801192;1.3243104267848253e-05;0.00014845198112445424;0.00027019100535372243;1.4683424462212953e-05;1.1189226034543378e-05;9.968650474065904e-05
0.0007390575404750018;0.00046869709966994457;0.0009686607293559765;-5.509323887551004e-05;0.00013717610303035812;0.0002475237028278061;2.3492562771784314e-05;3.303120963801884e-05;6.544678952033383e-05
0.000749424071371649;0.0005024034117798205;0.0009437451648318653;-0.00011945853092852339;0.00011937062163461872;0.00021526313040766347;3.0078705772002563e-05;5.482162807811001e-05;2.5706811634497764e-05
0.0007469684366794216;0.0005200935402999395;0.0008994699007899247;-0.00017847786706654288;9.508495835928508e-05;0.00017315145023225105;3.412434260135185e-05;7.580104146096011e-05;-1.892747317188782e-05
0.000732175392126197;0.000520597949066232;0.0008365543391126934;-0.00023091683262350634;6.451785588361286e-05;0.00012112813254118215;3.536877559755115e-05;9.52106922175564e-05;-6.773374127377646e-05
0.0007058223953018382;0.0005031307480233958;0.0007561341303123812;-0.00027571201729213144;2.8014419799925463e-05;5.9333941932150966e-05;3.361473113801476e-05;0.00011231033664006318;-0.00011988881437403278
0.0006689607594535932;0.00046731190529949795;0.0006597360204469823;-0.00031199740499905486;-1.3940092742149196e-05;-1.1889156890915252e-05;2.8733789299805214e-05;0.00012639607028843452;-0.00017448647117580406
0.0006228905361275326;0.00041318060318690496;0.0005492436802944845;-0.00033912581451325287;-6.072952493732122e-05;-9.200185949539799e-05;2.0670662523442178e-05;0.00013681788120419825;-0.00023055706854925966
0.0005691288203929281;0.00034119834335771083;0.0004268548440311739;-0.00035668563131144635;-0.00011161944550847248;-0.00018027671424211957;9.445286592521472e-06;0.00014299554044431773;-0.0002870889279578305
0.0005093718281796155;0.0002522411397427288;0.00029503032833531385;-0.0003645129010664546;-0.00016577312624854553;-0.0002758134036224804;-4.847821716068462e-06;0.00014443198419638817;-0.000343051230194282
0.000445453412248094;0.00014758304902429942;0.00015643696541215726;-0.0003626968915027936;-0.0002222694161808439;-0.0003775564324630935;-2.2041028701868472e-05;0.0001407258780418438;-0.000397417058177452
0.000379302017752263;2.8872815667544538e-05;1.388673752240714e-05;-0.0003515776823765552;-0.0002801214019310834;-0.0004843123350503827;-4.189453840437872e-05;0.00013158433881125674;-0.00044918543025567907
0.0003128933942283199;-0.00010190018824372306;-0.00012972819050577377;-0.00033173898861292225;-0.0003382976678812166;-0.0005947728029339702;-6.41007074197567e-05;0.0001168313931720362;-0.0004974034901519724
0.0002481974258478401;-0.00024245366562491435;-0.0002715053442477463;-0.00030399952444575804;-0.00039574748886087176;-0.0007075494931895758;-8.829496626710765e-05;9.640864911018624e-05;-0.0005411898946329652
0.0001871277983587981;-0.00039026398013015636;-0.00040860175412555614;-0.0002693967425103472;-0.0004514248550940449;-0.0008212061398996467;-0.00011406529559272606;7.037644777537128e-05;-0.0005797554821249132
0.0001315026044782558;-0.0005426113568755996;-0.0005382966535895412;-0.0002291556363350247;-0.0005043062473229942;-0.0009342719085314975;-0.00014095182038935413;3.892369304554892e-05;-0.0006124169235306768
8.300188201365725e-05;-0.0006966349009815107;-0.0006580519044758568;-0.000184655739113854;-0.0005534107399083135;-0.00104526247748911;-0.00016845201926796014;2.369585620309928e-06;-0.0006386096634454233
4.310624861554782e-05;-0.0008494180087557558;-0.0007655811521749632;-0.00013741517142907436;-0.0005978328815649367;-0.0011527448299375152;-0.0001960511619542861;-3.8862705443514003e-05;-0.0006579089004244599
1.3047587659159503e-05;-0.0009980685358780327;-0.0008589143269010873;-8.906815196258875e-05;-0.0006367699513852669;-0.0012553922867005723;-0.00022324704933722464;-8.426740559283053e-05;-0.0006700452356536397
-6.186903948520805e-06;-0.001139740515447542;-0.0009364277482882968;-4.1294488365985585e-05;-0.0006695171603488398;-0.001351943364512155;-0.00024952212764464557;-0.000133224991429036;-0.000674893464114708
-1.3854561110414166e-05;-0.001271661413650008;-0.0009968601132751434;4.252203709929736e-06;-0.000695464847256281;-0.0014411641680765364;-0.00027432150844320085;-0.0001849817698050445;-0.0006724592054079292
-9.554608540145015e-06;-0.0013912828984623323;-0.001039377049988729;4.5919931558039656e-05;-0.0007141575244867677;-0.0015220107236295695;-0.0002971444566841393;-0.00023874986549041508;-0.0006629122341657942
