MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;56;17,4698;22,2066;0,9994
2;73;15,8297;19,3605;0,999
3;65;16,0188;17,3938;0,9988
4;63;18,1893;23,337;0,9985
5;80;19,3706;24,9514;0,9976
6;73;17,1904;23,112;0,9972
7;113;24,7395;28,6093;0,9961
8;107;22,5864;26,4995;0,995
9;103;22,5799;28,1426;0,9926
10;135;38,739;26,5956;0,9902
11;110;27,5475;27,3273;0,9825
12;120;31,499;29,5569;0,9804
13;103;20,6515;21,2819;0,9772
14;103;18,5733;19,0565;0,975
15;80;17,0909;21,3701;0,9692
16;124;27,9082;28,9026;0,9578
17;104;26,735;27,0749;0,9513
18;101;20,5406;26,8185;0,9465
19;119;25,433;28,2929;0,941
20;60;17,7894;18,5445;0,9169
21;96;21,0591;26,6254;0,9049
22;122;29,7138;27,0471;0,8956
23;105;22,9548;29,2712;0,8853
24;91;20,488;24,4219;0,8627
25;99;20,1742;23,8422;0,8456
26;128;37,8435;28,7131;0,8344
27;97;20,8144;23,9161;0,8208
28;99;24,1118;29,6157;0,7899
29;93;23,4057;27,8032;0,7695
30;100;23,1367;23,3759;0,7636
31;86;21,436;27,8017;0,7572
32;67;19,6123;19,6992;0,7347
33;84;22,3481;27,4733;0,7114
34;88;21,3293;26,8929;0,7042
35;109;23,3141;26,6969;0,6654
36;77;15,5085;16,1409;0,5218
37;115;33,0651;26,5591;0,4692
