MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;19;6,2983;19,8333;12,592;0,9085
MU_2;30;6,798;23,1448;12,5148;0,7396
MU_3;17;6,8758;22,268;12,1441;0,7206
MU_4;17;5,7387;29,6915;13,0088;0,6488
MU_5;16;4,2389;20,5072;13,4283;0,6095
MU_6;16;4,5461;8,8575;12,2701;0,4441
