MU_1;MU_2;MU_3;MU_4
-6.607507692870818e-05;0.0006032548253568602;7.871930725141466e-05;2.224161884185078e-05
-6.937115838854536e-05;0.0006035748551249682;4.5448335284445745e-05;-1.5189088048440954e-05
-7.475054449668734e-05;0.0005843062788723177;6.124039813493426e-06;-5.203875917732136e-05
-8.204234468608317e-05;0.0005457916388324754;-3.8201184604441565e-05;-8.743964658868604e-05
-9.102537193053935e-05;0.0004888332929899561;-8.634351306550523e-05;-0.00012055423077918108
-0.00010143304789264082;0.000414677006416178;-0.00013701482726947227;-0.00015059510225902756
-0.00011295940497329046;0.00032498501634851485;-0.00018885245215774518;-0.0001768437648402198
-0.0001252660497623596;0.00022179915133544142;-0.00024045080619625726;-0.00019866791209285426
-0.00013798992891574043;0.00010749482170027471;-0.0002903942295227891;-0.00021553676259432802
-0.00015075171887817782;-1.5273082376777486e-05;-0.0003372902237163013;-0.00022703408299788903
-0.0001631646452671124;-0.00014363115300770259;-0.00037980232280239933;-0.00023286858012515075
-0.00017484352642583128;-0.0002745538866666983;-0.0004166818195074918;-0.00023288140434547656
-0.00018541382971388337;-0.00040493403071118053;-0.00044679759463898424;-0.00022705057240546611
-0.00019452052726409824;-0.0005316552180822806;-0.000469163337231016;-0.00021549218969331657
-0.00020183654195662703;-0.0006516651920827897;-0.00048296150137192413;-0.00019845842690378401
-0.00020707058265737385;-0.000762047900209659;-0.0004875634193490819;-0.00017633228171772854
-0.0002099741812826748;-0.0008600927539666969;-0.0004825450776754133;-0.00014961923270172454
-0.0002103477619380113;-0.0009433594093166375;-0.0004676981630428433;-0.00011893596587111182
-0.00020804559432015607;-0.0010097365196475368;-0.0004430360939175258;-8.499642500958704e-05
-0.0002029795091427978;-0.0010574930469534182;-0.0004087948705936247;-4.8595500048537975e-05
-0.00019512128170796767;-0.001085320885007401;-0.0003654286967861862;-1.0590726027037476e-05
-0.0001845036208878564;-0.0010923677469907738;-0.00031360044902699693;2.811758770822103e-05
-0.00017121973318090687;-0.0010782594936504723;-0.00025416719111681787;6.660733851020332e-05
-0.00015542146502238533;-0.0010431113228184044;-0.0001881610490614521;0.00010395623435562818
-0.0001373160599194235;-0.0009875274999094634;-0.00011676587313842839;0.00013926351512266643
-0.0001171615996812318;-0.0009125895766731171;-4.1290215984744e-05;0.00017167127951376842
-9.526123010622689e-05;-0.000819833315552311;3.6862754177339625e-05;0.0002003849115977147
-7.195630054785883e-05;-0.0007112148039545444;0.00011622771079242876;0.0002246921190981878
-4.761857299279214e-05;-0.0005890665001684751;0.00019531124452765432;0.00024398012717118
-2.2641679336190263e-05;-0.00045604419522153573;0.000272626764884755;0.00025775061514105594
2.5679752881033426e-06;-0.00031506609574649886;0.0003467294152558455;0.0002656320376628325
2.7600650785077747e-05;-0.0001692454258473347;0.00041625018437655895;0.0002673890336683965
5.205283034801295e-05;-2.1818104906228795e-05;0.0004799284098911136;0.0002629286912373795
7.553667383741534e-05;0.00012393282166050875;0.0005366418968017374;0.0002523035027106133
9.768914416753886e-05;0.00026475424212184505;0.0005854339181288733;0.0002357109118636453
0.00011818059277959885;0.00039749973292018764;0.0006255364303741885;0.00021348942733275867
0.00013672260270388724;0.0005192042098616543;0.0006563889259872807;0.00018611135887395435
0.00015307490296060066;0.0006271547100475945;0.0006776524603682216;0.00015417232827309583
0.00016705118532215092;0.0007189556050276077;0.0006892185249109262;0.0001183778104962341
0.0001785236745147519;0.0007925866517188127;0.0006912125756787954;7.95270580586157e-05
0.00018742632794960487;0.0008464524425390481;0.0006839921498378663;3.8494831028269705e-05
0.00019375657410811755;0.0008794220276287171;0.0006681395941170348;-3.7886231642344848e-06
0.00019757554113945312;0.0008908577476100576;0.0006444494932314435;-4.6358924058503556e-05
0.000199006776684221;0.0008806326156220788;0.0006139109472383073;-8.823988126947574e-05
0.0001982335084649471;0.0008491358846617077;0.0005776849505480585;-0.00012846644089902322
0.00019549453160338308;0.000797266688074411;0.0005370773123358096;-0.0001661078383828024
0.00019107882319896834;0.0007264158226093913;0.0004935078316282901;-0.00020029035571277168
