MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;87;17,6393;15,556;0,9999
2;76;15,3278;16,3899;0,9996
3;101;20,0925;15,1251;0,9964
4;95;17,9346;17,5493;0,9952
5;67;19,3948;22,8782;0,9925
6;53;12,6368;29,341;0,9924
7;112;21,4478;18,2032;0,9751
8;93;27,7056;28,4475;0,9729
9;77;15,5694;16,6766;0,8975
10;51;13,3662;24,3592;0,8652
11;86;22,3323;23,1411;0,824
12;21;6,4273;25,9724;0,6651
