1;2;3;4;5;6;7;8;9;10;11;12
6824.0;7770.0;5915.0;6375.0;8573.0;;5699.0;5688.0;7665.0;;7356.0;
6938.0;7874.0;6036.0;6500.0;8759.0;;5807.0;5830.0;7786.0;;7473.0;
7043.0;8005.0;6133.0;6616.0;8961.0;;5830.0;6218.0;7890.0;;7560.0;
7150.0;8126.0;6246.0;6646.0;9095.0;;5899.0;6271.0;8029.0;;7655.0;
7263.0;8234.0;6374.0;6732.0;9467.0;;5927.0;6501.0;8142.0;;7715.0;
7376.0;8377.0;6468.0;6826.0;9572.0;;6024.0;6572.0;8250.0;;7749.0;
7481.0;8522.0;6550.0;6928.0;9669.0;;6129.0;6865.0;8367.0;;7831.0;
7622.0;8655.0;6648.0;7038.0;9886.0;;6155.0;6991.0;8393.0;;7925.0;
7729.0;8819.0;6777.0;7062.0;10065.0;;6243.0;7136.0;8539.0;;8068.0;
7822.0;8955.0;6873.0;7140.0;10153.0;;6360.0;7422.0;8835.0;;8138.0;
7935.0;9096.0;6974.0;7253.0;;;6457.0;7448.0;8978.0;;8171.0;
8085.0;9216.0;7062.0;7366.0;;;6538.0;7503.0;9119.0;;8242.0;
8167.0;9319.0;7179.0;7471.0;;;6636.0;7557.0;9232.0;;8351.0;
8271.0;9447.0;7268.0;7612.0;;;6660.0;7599.0;9470.0;;8438.0;
8373.0;9602.0;7357.0;7719.0;;;6762.0;7660.0;9618.0;;8530.0;
8457.0;9741.0;7467.0;7817.0;;;6860.0;7750.0;9731.0;;8633.0;
8564.0;9880.0;7541.0;7841.0;;;6960.0;7861.0;9757.0;;8780.0;
8686.0;10016.0;7624.0;7926.0;;;7049.0;7947.0;9911.0;;8869.0;
8831.0;10176.0;7729.0;8075.0;;;7165.0;8002.0;10039.0;;8953.0;
8942.0;;7841.0;8157.0;;;7265.0;8084.0;10200.0;;9093.0;
9056.0;;7957.0;8266.0;;;7352.0;8106.0;;;9306.0;
9191.0;;8041.0;8369.0;;;7453.0;8171.0;;;9388.0;
9311.0;;8143.0;8447.0;;;7478.0;8273.0;;;9565.0;
9434.0;;8254.0;8558.0;;;7536.0;8373.0;;;9673.0;
9544.0;;8361.0;8676.0;;;7621.0;8398.0;;;9765.0;
9697.0;;8459.0;8826.0;;;7725.0;8682.0;;;9847.0;
9845.0;;8568.0;8933.0;;;7827.0;8741.0;;;9952.0;
9942.0;;8682.0;9046.0;;;7944.0;8984.0;;;10107.0;
10055.0;;8764.0;9182.0;;;8027.0;9124.0;;;10206.0;
10167.0;;8863.0;9318.0;;;8146.0;9310.0;;;;
;;8967.0;9424.0;;;8255.0;9466.0;;;;
;;9083.0;9445.0;;;8348.0;9612.0;;;;
;;9187.0;9534.0;;;8398.0;9769.0;;;;
;;9280.0;9687.0;;;8458.0;9856.0;;;;
;;9381.0;9840.0;;;8565.0;9907.0;;;;
;;9472.0;9949.0;;;8670.0;9953.0;;;;
;;9577.0;10045.0;;;8750.0;;;;;
;;9601.0;10175.0;;;8851.0;;;;;
;;9675.0;;;;8960.0;;;;;
;;9778.0;;;;9069.0;;;;;
;;9879.0;;;;9094.0;;;;;
;;9971.0;;;;9174.0;;;;;
;;10060.0;;;;9267.0;;;;;
;;10148.0;;;;9368.0;;;;;
;;;;;;9391.0;;;;;
;;;;;;9459.0;;;;;
;;;;;;9483.0;;;;;
;;;;;;9564.0;;;;;
;;;;;;9592.0;;;;;
;;;;;;9661.0;;;;;
;;;;;;9686.0;;;;;
;;;;;;9764.0;;;;;
;;;;;;9876.0;;;;;
;;;;;;10056.0;;;;;
;;;;;;10144.0;;;;;
