CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17;CCA_MU_18;CCA_MU_19
;;;;;;;;;;;;;8186.0;;9476.0;9047.0;5860.0;6883.0
;;;;;;;;;;;;;8457.0;;9625.0;9203.0;5957.0;7432.0
;;;;;;;;;;;;;8577.0;;9840.0;9361.0;6043.0;7489.0
;;;;;;;;;;;;;8675.0;;10213.0;9493.0;6072.0;7683.0
;;;;;;;;;;;;;8795.0;;;9525.0;6231.0;7716.0
;;;;;;;;;;;;;8945.0;;;9607.0;6322.0;7994.0
;;;;;;;;;;;;;9097.0;;;9775.0;6406.0;8283.0
;;;;;;;;;;;;;9231.0;;;10004.0;6433.0;8314.0
;;;;;;;;;;;;;9389.0;;;10140.0;6614.0;8459.0
;;;;;;;;;;;;;9509.0;;;10175.0;6698.0;8494.0
;;;;;;;;;;;;;9669.0;;;;6915.0;8564.0
;;;;;;;;;;;;;9783.0;;;;7066.0;8699.0
;;;;;;;;;;;;;9904.0;;;;7160.0;9043.0
;;;;;;;;;;;;;10048.0;;;;7248.0;9092.0
;;;;;;;;;;;;;10168.0;;;;7454.0;9210.0
;;;;;;;;;;;;;10202.0;;;;7646.0;9247.0
;;;;;;;;;;;;;;;;;7683.0;9649.0
;;;;;;;;;;;;;;;;;7717.0;9781.0
;;;;;;;;;;;;;;;;;7740.0;9894.0
;;;;;;;;;;;;;;;;;7864.0;10029.0
;;;;;;;;;;;;;;;;;7994.0;10050.0
;;;;;;;;;;;;;;;;;8042.0;
;;;;;;;;;;;;;;;;;8110.0;
;;;;;;;;;;;;;;;;;8244.0;
;;;;;;;;;;;;;;;;;8283.0;
;;;;;;;;;;;;;;;;;8389.0;
;;;;;;;;;;;;;;;;;8468.0;
;;;;;;;;;;;;;;;;;8561.0;
;;;;;;;;;;;;;;;;;8641.0;
;;;;;;;;;;;;;;;;;8854.0;
;;;;;;;;;;;;;;;;;8940.0;
;;;;;;;;;;;;;;;;;8999.0;
;;;;;;;;;;;;;;;;;9058.0;
;;;;;;;;;;;;;;;;;9091.0;
;;;;;;;;;;;;;;;;;9286.0;
;;;;;;;;;;;;;;;;;9314.0;
;;;;;;;;;;;;;;;;;9576.0;
;;;;;;;;;;;;;;;;;9746.0;
;;;;;;;;;;;;;;;;;9839.0;
;;;;;;;;;;;;;;;;;10041.0;
;;;;;;;;;;;;;;;;;10146.0;
;;;;;;;;;;;;;;;;;10175.0;
