MU;Nb_Spikes;Fr_Hz;CoV_%
CCA_MU_1;11;2,07;19,27
CCA_MU_2;7;1,75;14,69
CCA_MU_3;9;5,05;18,63
CCA_MU_4;14;3,7;17,96
CCA_MU_5;21;6,14;22,65
CCA_MU_6;12;3,34;20,29
CCA_MU_7;17;4,93;19,83
CCA_MU_8;21;5,14;15,62
CCA_MU_9;48;15,44;20,37
CCA_MU_10;59;18,62;23,07
CCA_MU_11;49;16,89;28,83
CCA_MU_12;57;16,45;19,78
