CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17;CCA_MU_18
;;;;;;;;;;;;;7747.0;9081.0;4307.0;6371.0;7094.0
;;;;;;;;;;;;;7967.0;9255.0;4389.0;6455.0;7242.0
;;;;;;;;;;;;;8179.0;9298.0;4466.0;6630.0;7276.0
;;;;;;;;;;;;;8293.0;9332.0;4561.0;6824.0;7396.0
;;;;;;;;;;;;;8421.0;9571.0;4630.0;7022.0;7479.0
;;;;;;;;;;;;;8531.0;9920.0;4663.0;7059.0;7505.0
;;;;;;;;;;;;;8641.0;9957.0;4826.0;7202.0;7582.0
;;;;;;;;;;;;;8761.0;;4916.0;7276.0;7608.0
;;;;;;;;;;;;;8998.0;;4953.0;7479.0;7743.0
;;;;;;;;;;;;;9120.0;;5010.0;7670.0;7922.0
;;;;;;;;;;;;;9332.0;;5082.0;7774.0;7951.0
;;;;;;;;;;;;;9572.0;;5145.0;7922.0;8191.0
;;;;;;;;;;;;;9615.0;;5402.0;7951.0;8290.0
;;;;;;;;;;;;;9684.0;;5488.0;8191.0;8385.0
;;;;;;;;;;;;;10089.0;;5620.0;8290.0;8640.0
;;;;;;;;;;;;;10178.0;;5700.0;8387.0;8759.0
;;;;;;;;;;;;;;;5797.0;8550.0;8957.0
;;;;;;;;;;;;;;;5871.0;8636.0;9081.0
;;;;;;;;;;;;;;;5962.0;8845.0;9171.0
;;;;;;;;;;;;;;;5993.0;8905.0;9331.0
;;;;;;;;;;;;;;;6030.0;8987.0;9476.0
;;;;;;;;;;;;;;;6097.0;9176.0;9624.0
;;;;;;;;;;;;;;;6184.0;9284.0;9920.0
;;;;;;;;;;;;;;;6255.0;9364.0;9951.0
;;;;;;;;;;;;;;;6439.0;9476.0;10049.0
;;;;;;;;;;;;;;;6529.0;9621.0;10091.0
;;;;;;;;;;;;;;;6608.0;9673.0;
;;;;;;;;;;;;;;;6643.0;9755.0;
;;;;;;;;;;;;;;;6790.0;9843.0;
;;;;;;;;;;;;;;;6882.0;9920.0;
;;;;;;;;;;;;;;;6933.0;9991.0;
;;;;;;;;;;;;;;;6986.0;10033.0;
;;;;;;;;;;;;;;;7061.0;10087.0;
;;;;;;;;;;;;;;;7134.0;10162.0;
;;;;;;;;;;;;;;;7241.0;10190.0;
;;;;;;;;;;;;;;;7338.0;;
;;;;;;;;;;;;;;;7426.0;;
;;;;;;;;;;;;;;;7504.0;;
;;;;;;;;;;;;;;;7529.0;;
;;;;;;;;;;;;;;;7708.0;;
;;;;;;;;;;;;;;;7875.0;;
;;;;;;;;;;;;;;;7955.0;;
;;;;;;;;;;;;;;;8161.0;;
;;;;;;;;;;;;;;;8206.0;;
;;;;;;;;;;;;;;;8275.0;;
;;;;;;;;;;;;;;;8452.0;;
;;;;;;;;;;;;;;;8509.0;;
;;;;;;;;;;;;;;;8577.0;;
;;;;;;;;;;;;;;;8602.0;;
;;;;;;;;;;;;;;;8683.0;;
;;;;;;;;;;;;;;;8845.0;;
;;;;;;;;;;;;;;;9061.0;;
;;;;;;;;;;;;;;;9081.0;;
;;;;;;;;;;;;;;;9173.0;;
;;;;;;;;;;;;;;;9255.0;;
;;;;;;;;;;;;;;;9331.0;;
;;;;;;;;;;;;;;;9403.0;;
;;;;;;;;;;;;;;;9534.0;;
;;;;;;;;;;;;;;;9618.0;;
;;;;;;;;;;;;;;;9698.0;;
;;;;;;;;;;;;;;;9784.0;;
;;;;;;;;;;;;;;;9841.0;;
;;;;;;;;;;;;;;;9920.0;;
;;;;;;;;;;;;;;;10089.0;;
;;;;;;;;;;;;;;;10178.0;;
