1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
2902.0;3052.0;2795.0;3175.0;4139.0;2125.0;2218.0;2491.0;2101.0;1986.0;2227.0;1806.0;3980.0;2421.0;2076.0;1852.0;2089.0;2254.0;2006.0;2514.0;1933.0;2339.0;3101.0;2340.0;6945.0;3741.0;2654.0;4707.0;5208.0;;4127.0;4568.0;4117.0
3058.0;3166.0;2893.0;3224.0;4286.0;2213.0;2297.0;2541.0;2214.0;2009.0;2293.0;1838.0;4431.0;2471.0;2111.0;1934.0;2177.0;2481.0;2108.0;2769.0;2261.0;2410.0;3152.0;2485.0;7368.0;3844.0;2847.0;4799.0;5583.0;;4287.0;4989.0;4992.0
3173.0;3310.0;3009.0;3329.0;4313.0;2299.0;2407.0;2777.0;2330.0;2077.0;2320.0;1922.0;4642.0;2615.0;2243.0;2190.0;2224.0;2526.0;2152.0;2789.0;2293.0;2484.0;3205.0;2621.0;7754.0;3884.0;2874.0;5029.0;5748.0;;4430.0;5010.0;5101.0
3317.0;3438.0;3133.0;3429.0;4442.0;2400.0;2592.0;2888.0;2459.0;2102.0;2493.0;1950.0;5143.0;2741.0;2285.0;2255.0;2259.0;2613.0;2176.0;2864.0;2344.0;2514.0;3321.0;2658.0;7865.0;4012.0;3097.0;5276.0;5978.0;;4468.0;5100.0;5356.0
3444.0;3581.0;3180.0;3456.0;4607.0;2449.0;3052.0;2992.0;2691.0;2223.0;2519.0;2012.0;5288.0;2880.0;2332.0;2291.0;2288.0;2667.0;2398.0;2893.0;2473.0;2612.0;3410.0;2816.0;9361.0;4109.0;3192.0;5356.0;6120.0;;4573.0;5152.0;5462.0
3576.0;3715.0;3237.0;3541.0;4709.0;2481.0;3171.0;3068.0;2743.0;2250.0;2603.0;2041.0;5464.0;2915.0;2354.0;2317.0;2417.0;2751.0;2590.0;3214.0;2509.0;2904.0;3522.0;2839.0;9723.0;4364.0;3304.0;5478.0;6259.0;;4710.0;5203.0;5546.0
3722.0;3870.0;3353.0;3568.0;4919.0;2553.0;3261.0;3116.0;2909.0;2358.0;2661.0;2083.0;5575.0;3076.0;2393.0;2349.0;2516.0;2781.0;2618.0;3338.0;2529.0;3025.0;3616.0;2873.0;9845.0;4468.0;3346.0;5533.0;6369.0;;4799.0;5510.0;5628.0
3865.0;4001.0;3555.0;4014.0;5015.0;2585.0;3373.0;3220.0;3034.0;2382.0;3079.0;2119.0;5888.0;3223.0;2469.0;2509.0;2585.0;2873.0;2714.0;3367.0;2553.0;3126.0;3859.0;2942.0;;4707.0;3380.0;5589.0;6500.0;;4881.0;5584.0;5689.0
4007.0;4161.0;3648.0;4443.0;5179.0;2684.0;3491.0;3346.0;3252.0;2486.0;3288.0;2148.0;5994.0;3293.0;2618.0;2614.0;2626.0;2898.0;2801.0;3742.0;2624.0;3264.0;3987.0;3033.0;;4929.0;3712.0;5619.0;6624.0;;5100.0;5886.0;5859.0
4156.0;4308.0;3778.0;4470.0;5501.0;2803.0;3597.0;3424.0;3418.0;2510.0;3337.0;2235.0;6123.0;3475.0;2765.0;2664.0;2789.0;3029.0;2893.0;3844.0;2652.0;3365.0;4132.0;3141.0;;5029.0;3792.0;5748.0;7088.0;;5142.0;5986.0;5951.0
4303.0;4464.0;3891.0;4604.0;5620.0;2900.0;3690.0;3548.0;3441.0;2630.0;3398.0;2325.0;6359.0;3553.0;2874.0;2692.0;2874.0;3188.0;3043.0;3886.0;2881.0;3467.0;4512.0;3413.0;;5320.0;4024.0;5784.0;7226.0;;5460.0;6014.0;6120.0
4459.0;4583.0;4031.0;4690.0;5750.0;2941.0;3786.0;3630.0;3571.0;2655.0;3698.0;2424.0;6397.0;3574.0;2909.0;2778.0;3205.0;3299.0;3066.0;3955.0;3027.0;3545.0;4565.0;3453.0;;5628.0;4112.0;5894.0;7768.0;;5571.0;6259.0;6251.0
4590.0;4732.0;4132.0;4714.0;6013.0;3058.0;3904.0;3772.0;3663.0;2782.0;3741.0;2513.0;6782.0;3798.0;3030.0;2811.0;3246.0;3414.0;3167.0;4126.0;3070.0;3652.0;4670.0;3701.0;;5875.0;4189.0;6036.0;7864.0;;5738.0;6369.0;6369.0
4739.0;4914.0;4279.0;4904.0;6159.0;3163.0;4000.0;3874.0;3697.0;2883.0;3797.0;2608.0;6944.0;4024.0;3058.0;2870.0;3334.0;3546.0;3252.0;4210.0;3109.0;3692.0;4711.0;3740.0;;5983.0;4267.0;6120.0;8006.0;;5876.0;6496.0;6735.0
4909.0;5163.0;4390.0;4996.0;6276.0;3253.0;4104.0;4015.0;4711.0;2915.0;3917.0;2711.0;7220.0;4257.0;3150.0;3151.0;3443.0;3571.0;3293.0;4231.0;3246.0;3802.0;4788.0;3799.0;;6244.0;4344.0;6381.0;8436.0;;6014.0;6567.0;6973.0
5031.0;5308.0;4494.0;5024.0;6478.0;3380.0;4213.0;4114.0;4885.0;3046.0;4034.0;2803.0;7366.0;4473.0;3192.0;3239.0;3464.0;3848.0;3330.0;4272.0;3414.0;3883.0;4977.0;3839.0;;6496.0;4470.0;6504.0;8582.0;;6122.0;6624.0;7050.0
5170.0;5496.0;4597.0;5105.0;6818.0;3445.0;4321.0;4272.0;4947.0;3071.0;4125.0;2833.0;7523.0;4561.0;3288.0;3361.0;3580.0;3991.0;3392.0;4302.0;3531.0;3977.0;5150.0;4026.0;;6780.0;4570.0;6662.0;8711.0;;6359.0;6807.0;7331.0
5315.0;5596.0;4702.0;5155.0;6952.0;3484.0;4448.0;4372.0;5026.0;3184.0;4225.0;2964.0;7768.0;4836.0;3329.0;3446.0;3708.0;4035.0;3510.0;4325.0;3551.0;4029.0;5344.0;4125.0;;6816.0;4707.0;6779.0;8855.0;;6496.0;7189.0;7558.0
5491.0;5760.0;4817.0;5203.0;7064.0;3592.0;4537.0;4581.0;5133.0;3305.0;4331.0;3083.0;7876.0;4994.0;3548.0;3556.0;3865.0;4171.0;3548.0;4366.0;3629.0;4125.0;5474.0;4428.0;;6974.0;4919.0;6975.0;9143.0;;6692.0;7226.0;7663.0
5602.0;5901.0;4933.0;5300.0;7386.0;3654.0;4580.0;4694.0;5391.0;3565.0;4453.0;3292.0;7898.0;5030.0;3877.0;3636.0;3970.0;4319.0;3584.0;4459.0;3705.0;4295.0;5576.0;4567.0;;7086.0;4956.0;7058.0;9451.0;;6778.0;7326.0;7762.0
5767.0;6035.0;5010.0;5363.0;7689.0;3683.0;4614.0;4810.0;5505.0;3588.0;4563.0;3373.0;7995.0;5088.0;3984.0;3759.0;4040.0;4442.0;3617.0;4527.0;3877.0;4434.0;5625.0;4608.0;;7215.0;5112.0;7085.0;9578.0;;6939.0;7439.0;7879.0
5907.0;6143.0;5118.0;5494.0;7778.0;3781.0;4687.0;5002.0;5729.0;3702.0;4605.0;3403.0;8017.0;5111.0;4275.0;3779.0;4101.0;4476.0;3665.0;4553.0;4024.0;4601.0;5841.0;5000.0;;7709.0;5287.0;7216.0;9615.0;;7089.0;7550.0;7987.0
6030.0;6269.0;5229.0;5579.0;8007.0;3898.0;4824.0;5101.0;5881.0;3735.0;4635.0;3507.0;8429.0;5493.0;4430.0;4135.0;4247.0;4510.0;3711.0;4596.0;4109.0;4723.0;6108.0;5031.0;;7767.0;5364.0;7236.0;10071.0;;7231.0;7879.0;8175.0
6150.0;6392.0;5376.0;5605.0;8161.0;4021.0;4925.0;5211.0;6128.0;3853.0;4721.0;3586.0;8571.0;5587.0;4451.0;4155.0;4303.0;4559.0;3784.0;4707.0;4272.0;4826.0;6166.0;5505.0;;7866.0;5533.0;7380.0;10098.0;;7362.0;8001.0;8253.0
6275.0;6510.0;5504.0;5701.0;8318.0;4098.0;5005.0;5359.0;6155.0;3878.0;4834.0;3614.0;8702.0;5628.0;4602.0;4281.0;4340.0;4606.0;3882.0;4892.0;4304.0;4895.0;6239.0;5621.0;;7902.0;5588.0;7439.0;;;7767.0;8578.0;8319.0
6387.0;6633.0;5609.0;5883.0;8858.0;4137.0;5186.0;5487.0;6249.0;4021.0;4907.0;3705.0;9008.0;5691.0;4646.0;4532.0;4434.0;4893.0;3912.0;4987.0;4436.0;5018.0;6337.0;5683.0;;8199.0;5626.0;7865.0;;;7865.0;8904.0;8832.0
6517.0;6802.0;5714.0;6134.0;9285.0;4206.0;5297.0;5603.0;6287.0;4144.0;5027.0;3761.0;9031.0;5734.0;4711.0;4610.0;4462.0;4927.0;3984.0;5054.0;4474.0;5140.0;7038.0;5783.0;;8286.0;5699.0;8184.0;;;8161.0;9036.0;8930.0
6640.0;6965.0;5873.0;6259.0;9382.0;4284.0;5512.0;5696.0;6361.0;4168.0;5123.0;3802.0;9272.0;5885.0;4787.0;4718.0;4536.0;5014.0;4033.0;5296.0;4542.0;5285.0;7186.0;5866.0;;8567.0;5881.0;8263.0;;;8578.0;9151.0;9012.0
6808.0;7100.0;6006.0;6286.0;9578.0;4395.0;5593.0;5855.0;6487.0;4291.0;5167.0;3922.0;9314.0;5998.0;4922.0;4978.0;4609.0;5047.0;4055.0;5369.0;4570.0;5390.0;7372.0;5999.0;;8618.0;5946.0;8673.0;;;9017.0;9183.0;9079.0
6970.0;7241.0;6139.0;6381.0;9601.0;4426.0;5617.0;5989.0;6588.0;4314.0;5193.0;3987.0;9349.0;6072.0;5025.0;5011.0;4816.0;5185.0;4218.0;5506.0;4708.0;5723.0;7427.0;6123.0;;8900.0;5973.0;8837.0;;;9151.0;9451.0;9151.0
7107.0;7387.0;6383.0;6459.0;9854.0;4500.0;5755.0;6134.0;6615.0;4577.0;5473.0;4029.0;9566.0;6126.0;5142.0;5126.0;4990.0;5332.0;4252.0;5585.0;4793.0;5877.0;7650.0;6157.0;;8922.0;6041.0;9004.0;;;9310.0;9578.0;9255.0
