MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;73;14,8585;13,9272;1,0
2;71;14,7901;14,8403;1,0
3;85;17,6147;16,0591;0,9999
4;81;22,6185;26,4685;0,9999
5;54;15,1528;23,0362;0,9998
6;114;22,7225;23,7589;0,9997
7;90;20,0698;16,2713;0,9996
8;88;18,2671;20,7968;0,9996
9;76;19,5461;24,1814;0,9994
10;115;17,3632;16,9377;0,9994
11;110;24,0941;27,3103;0,9989
12;126;23,1674;22,4918;0,9988
13;55;14,6402;20,3826;0,9983
14;85;20,3849;27,785;0,9974
15;100;21,2779;28,9541;0,9971
16;95;21,5013;22,6296;0,9948
17;104;26,8791;28,2866;0,9937
18;100;18,3644;20,4079;0,9916
19;118;24,4475;22,3764;0,9895
20;90;23,9496;24,6779;0,9841
21;106;25,6408;26,7129;0,9742
22;90;21,6286;25,7779;0,9735
23;72;19,185;22,5416;0,9513
24;88;20,1385;25,1218;0,9437
25;27;13,0446;29,4482;0,8153
26;58;19,3208;23,0984;0,7951
27;90;22,7443;26,5669;0,7738
28;58;17,4723;23,8109;0,752
29;44;14,8099;13,5013;0,7314
30;17;5,9883;16,6137;0,6673
31;53;15,7773;19,921;0,6577
32;55;17,0926;25,2528;0,638
33;55;19,072;29,7452;0,4268
