MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;61;17,5312;15,803;1,0
2;81;17,2915;14,7972;1,0
3;67;15,4401;15,4576;0,9999
4;55;16,2875;18,92;0,9999
5;79;15,6209;16,5178;0,9998
6;124;23,9747;26,9611;0,9997
7;95;20,0697;14,8223;0,9996
8;81;17,1655;24,3761;0,9996
9;98;19,9393;21,4357;0,9995
10;78;19,4123;22,7246;0,9993
11;97;24,6033;25,4369;0,999
12;113;21,6955;23,7184;0,9988
13;101;26,7712;28,1395;0,9984
14;115;28,5957;28,5723;0,998
15;94;21,2964;27,3594;0,9974
16;91;26,4876;29,2383;0,9952
17;97;22,4034;27,3655;0,9948
18;114;24,9376;26,3766;0,9935
19;105;24,9815;29,8343;0,9897
20;113;27,0975;26,5238;0,9826
21;82;19,3939;23,9977;0,9807
22;94;24,9492;29,2625;0,9756
23;109;28,3215;29,6625;0,9679
24;98;22,5475;27,5355;0,9487
25;61;15,4701;19,977;0,9457
26;72;21,8979;29,4641;0,9388
27;75;18,5121;25,321;0,9186
28;66;19,5048;27,2898;0,8129
29;98;25,9643;29,6269;0,7736
30;52;14,1646;20,1451;0,716
31;80;18,1525;20,7551;0,5766
32;95;22,7657;26,058;0,5474
33;80;15,6606;16,4616;0,5063
34;66;15,4923;26,9435;0,4687
35;56;16,4498;25,4867;0,4194
