MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;106;24,2483;27,3044;1,0
2;72;15,2753;12,5524;1,0
3;85;18,1299;15,5168;1,0
4;71;15,0407;14,7448;0,9999
5;109;22,6995;23,4818;0,9999
6;93;20,8479;26,2695;0,9998
7;90;18,7477;20,1205;0,9997
8;98;20,3836;16,3762;0,9997
9;74;18,4159;24,7106;0,9996
10;74;18,9678;22,2027;0,9995
11;71;16,4447;19,5225;0,9994
12;86;20,6019;23,6869;0,9992
13;91;21,0428;23,5886;0,999
14;143;29,5893;25,258;0,9989
15;95;17,7862;26,1792;0,9983
16;74;19,4847;25,0771;0,9975
17;103;22,2694;26,8684;0,996
18;86;20,7204;25,7469;0,9953
19;104;23,5599;26,451;0,9949
20;104;24,4752;24,94;0,9938
21;81;18,7435;21,4524;0,9919
22;50;11,3895;27,745;0,9909
23;106;26,7167;26,2715;0,9903
24;105;28,4812;29,9515;0,9843
25;86;22,0277;26,2401;0,976
26;76;20,0878;25,6347;0,9731
27;92;25,0629;25,8505;0,9666
28;95;21,1689;28,904;0,9608
29;114;25,1134;28,0826;0,9477
30;61;15,0927;20,7918;0,9439
31;86;17,3416;21,5272;0,9383
32;123;31,5887;28,4022;0,9171
33;92;23,4284;29,3844;0,8851
34;93;20,2041;25,66;0,8589
35;87;16,8844;22,2447;0,8307
36;108;27,0775;28,8225;0,8205
37;60;16,0513;27,0591;0,79
38;100;23,5886;26,0121;0,7652
39;50;14,0312;24,2408;0,7136
40;51;16,1014;21,234;0,6724
41;86;15,9202;14,2299;0,4999
42;75;16,4709;22,0284;0,4507
43;61;18,9836;26,5241;0,4185
