MU;Nb_Spikes;Fr_Hz;CoV_%;Correlation_CCA
1;91;17,0366;22,6372;1,0
2;70;15,1224;14,8631;0,9999
3;79;18,7597;23,0514;0,9999
4;86;18,1264;18,7952;0,9998
5;61;17,1215;22,9058;0,9998
6;78;18,9421;20,3321;0,9996
7;87;20,9924;19,32;0,9996
8;96;17,6749;19,1221;0,9994
9;80;18,3419;21,5826;0,9994
10;104;27,6123;27,7904;0,9988
11;105;23,0875;24,4625;0,9988
12;93;20,6478;22,3861;0,9973
13;92;22,9711;28,2153;0,9957
14;124;27,8331;27,312;0,9949
15;94;22,2656;25,9692;0,9946
16;90;22,7062;26,124;0,9929
17;102;23,7533;25,2714;0,991
18;108;27,4812;29,3176;0,9901
19;70;16,6251;24,8507;0,9899
20;113;27,6888;27,7307;0,9844
21;72;17,7996;26,4408;0,9739
22;126;27,9418;29,3498;0,9669
23;99;22,5004;27,5443;0,963
24;124;26,1716;26,6125;0,9551
25;109;30,4555;28,45;0,9479
26;73;18,2667;22,7124;0,9256
27;92;26,0497;29,6655;0,908
28;86;25,0154;27,0987;0,893
29;100;21,8253;27,1494;0,8608
30;66;15,8378;19,3334;0,6652
31;92;19,7271;25,2285;0,6087
32;44;12,4469;29,9364;0,5386
33;76;15,1631;14,894;0,5002
34;53;16,4866;19,9826;0,4615
35;49;12,1543;29,3321;0,4166
