CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17
;;;;;;;;;5993.0;;4926.0;6099.0;4045.0;9201.0;7043.0;9399.0
;;;;;;;;;6101.0;;5015.0;6158.0;4164.0;9248.0;7103.0;9758.0
;;;;;;;;;6224.0;;5303.0;6582.0;4247.0;9399.0;7145.0;9929.0
;;;;;;;;;6346.0;;5415.0;6718.0;4295.0;9560.0;7337.0;9990.0
;;;;;;;;;6454.0;;5456.0;6814.0;4422.0;10095.0;7565.0;10117.0
;;;;;;;;;6687.0;;5736.0;6933.0;4542.0;10116.0;7633.0;10235.0
;;;;;;;;;6774.0;;5825.0;7042.0;4638.0;;7738.0;
;;;;;;;;;6872.0;;5903.0;7145.0;4819.0;;7864.0;
;;;;;;;;;6999.0;;5984.0;7311.0;4856.0;;8128.0;
;;;;;;;;;7111.0;;6612.0;7463.0;4939.0;;8152.0;
;;;;;;;;;7270.0;;6652.0;7556.0;5192.0;;8381.0;
;;;;;;;;;7572.0;;6718.0;7635.0;5415.0;;8476.0;
;;;;;;;;;7639.0;;6819.0;7682.0;5702.0;;8615.0;
;;;;;;;;;7743.0;;6854.0;7740.0;5752.0;;8768.0;
;;;;;;;;;7882.0;;6960.0;8021.0;5950.0;;9434.0;
;;;;;;;;;8133.0;;6999.0;8111.0;6181.0;;9547.0;
;;;;;;;;;8223.0;;7337.0;8159.0;6303.0;;9673.0;
;;;;;;;;;8346.0;;7556.0;8325.0;6550.0;;9707.0;
;;;;;;;;;8468.0;;7603.0;8416.0;6644.0;;9760.0;
;;;;;;;;;8576.0;;7647.0;8489.0;6698.0;;9929.0;
;;;;;;;;;8833.0;;7737.0;8615.0;6731.0;;9997.0;
;;;;;;;;;8954.0;;7879.0;8779.0;6890.0;;10132.0;
;;;;;;;;;9060.0;;7932.0;8945.0;6936.0;;10225.0;
;;;;;;;;;9200.0;;8174.0;9107.0;6960.0;;;
;;;;;;;;;9345.0;;8562.0;9410.0;7068.0;;;
;;;;;;;;;9442.0;;8761.0;9552.0;7227.0;;;
;;;;;;;;;9555.0;;8814.0;9595.0;7263.0;;;
;;;;;;;;;9678.0;;8975.0;9715.0;7337.0;;;
;;;;;;;;;9791.0;;9062.0;9856.0;7529.0;;;
;;;;;;;;;9927.0;;9093.0;10005.0;7595.0;;;
;;;;;;;;;10009.0;;9223.0;10138.0;7700.0;;;
;;;;;;;;;10122.0;;9248.0;10234.0;7818.0;;;
;;;;;;;;;10233.0;;9401.0;;7896.0;;;
;;;;;;;;;;;9476.0;;7984.0;;;
;;;;;;;;;;;9565.0;;8090.0;;;
;;;;;;;;;;;9655.0;;8180.0;;;
;;;;;;;;;;;9833.0;;8457.0;;;
;;;;;;;;;;;9859.0;;8533.0;;;
;;;;;;;;;;;10053.0;;8668.0;;;
;;;;;;;;;;;10233.0;;8761.0;;;
;;;;;;;;;;;;;8790.0;;;
;;;;;;;;;;;;;8858.0;;;
;;;;;;;;;;;;;8902.0;;;
;;;;;;;;;;;;;8975.0;;;
;;;;;;;;;;;;;9157.0;;;
;;;;;;;;;;;;;9302.0;;;
;;;;;;;;;;;;;9399.0;;;
;;;;;;;;;;;;;9512.0;;;
;;;;;;;;;;;;;9552.0;;;
;;;;;;;;;;;;;9635.0;;;
;;;;;;;;;;;;;9821.0;;;
;;;;;;;;;;;;;9966.0;;;
;;;;;;;;;;;;;9997.0;;;
;;;;;;;;;;;;;10079.0;;;
;;;;;;;;;;;;;10190.0;;;
