1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
2580.0;5194.0;1904.0;1746.0;2827.0;1498.0;1888.0;2127.0;1735.0;1970.0;1592.0;1467.0;1565.0;1356.0;1349.0;1872.0;1743.0;1570.0;1295.0;2236.0;1854.0;1568.0;2106.0;2193.0;2035.0;2033.0;1282.0;2569.0;2575.0;3383.0;1552.0;1739.0;1929.0;1606.0;2120.0;1971.0;2075.0;2538.0
2682.0;5724.0;2125.0;1862.0;2957.0;1558.0;1915.0;2206.0;1864.0;2080.0;1612.0;1488.0;1636.0;1390.0;1374.0;2013.0;1871.0;1590.0;1360.0;2333.0;1878.0;1698.0;2283.0;2326.0;2076.0;2103.0;1368.0;2616.0;2638.0;3628.0;1736.0;1858.0;2030.0;1700.0;2179.0;2193.0;2179.0;2653.0
2799.0;5949.0;2273.0;2095.0;2988.0;1703.0;1972.0;2330.0;1894.0;2141.0;1756.0;1567.0;1853.0;1459.0;1404.0;2097.0;2026.0;1638.0;1397.0;2392.0;1975.0;1762.0;2333.0;2450.0;2107.0;2150.0;1388.0;3117.0;2658.0;3864.0;1811.0;1933.0;2300.0;1739.0;2296.0;2218.0;2223.0;2821.0
2935.0;6528.0;2412.0;2130.0;3175.0;1759.0;2138.0;2382.0;2058.0;2341.0;1854.0;1612.0;2027.0;1493.0;1449.0;2120.0;2140.0;1757.0;1450.0;2502.0;2011.0;1853.0;2409.0;2653.0;2154.0;2495.0;1469.0;3387.0;2747.0;4035.0;1931.0;2034.0;2380.0;1820.0;2376.0;2339.0;2385.0;2982.0
3086.0;7182.0;2533.0;2208.0;3407.0;1973.0;2225.0;2518.0;2096.0;2385.0;1976.0;1698.0;2074.0;1582.0;1503.0;2145.0;2252.0;1885.0;1497.0;2603.0;2131.0;1881.0;2520.0;2766.0;2239.0;2633.0;1563.0;3510.0;2814.0;4127.0;2108.0;2079.0;2402.0;2019.0;2398.0;2454.0;2484.0;3059.0
3185.0;7449.0;2558.0;2334.0;3547.0;2028.0;2260.0;2618.0;2287.0;2510.0;2035.0;1735.0;2199.0;1749.0;1567.0;2215.0;2384.0;2040.0;1561.0;2654.0;2241.0;1975.0;2654.0;2902.0;2287.0;2720.0;1726.0;3641.0;2892.0;4226.0;2364.0;2100.0;2492.0;2051.0;2488.0;2551.0;2584.0;3116.0
3294.0;7555.0;2776.0;2406.0;3678.0;2087.0;2399.0;2654.0;2419.0;2621.0;2076.0;1760.0;2390.0;1857.0;1614.0;2244.0;2417.0;2229.0;1605.0;2771.0;2266.0;2012.0;2859.0;3055.0;2338.0;2809.0;1758.0;3744.0;2947.0;4460.0;2498.0;2183.0;2662.0;2112.0;2519.0;2573.0;2607.0;3152.0
3523.0;7901.0;2815.0;2565.0;3901.0;2199.0;2425.0;2690.0;2544.0;2769.0;2224.0;1874.0;2415.0;1995.0;1635.0;2284.0;2506.0;2510.0;1741.0;2956.0;2341.0;2098.0;2891.0;3156.0;2394.0;2968.0;1910.0;3868.0;2982.0;4706.0;2600.0;2208.0;2728.0;2232.0;2577.0;2652.0;2716.0;3263.0
3757.0;8034.0;2979.0;2596.0;3957.0;2255.0;2646.0;2776.0;2614.0;2792.0;2288.0;1967.0;2596.0;2214.0;1698.0;2384.0;2592.0;2547.0;1854.0;3157.0;2369.0;2223.0;3059.0;3264.0;2432.0;3093.0;2075.0;4047.0;3098.0;4827.0;2650.0;2248.0;2830.0;2368.0;2600.0;2791.0;2764.0;3414.0
3879.0;8396.0;3143.0;2666.0;4087.0;2331.0;2826.0;2802.0;2647.0;2962.0;2364.0;2028.0;2637.0;2387.0;1754.0;2511.0;2620.0;2613.0;1878.0;3214.0;2419.0;2390.0;3105.0;3495.0;2558.0;3123.0;2106.0;4126.0;3439.0;4928.0;2716.0;2384.0;2999.0;2394.0;2724.0;2906.0;2928.0;3536.0
