MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;15;4,2177;29,3258;11,1797;0,999
MU_2;30;9,7739;28,3568;11,037;0,9976
MU_3;24;4,794;27,3811;11,2383;0,9893
MU_4;18;5,7833;22,4734;11,6718;0,9783
MU_5;19;4,9066;26,7615;11,5671;0,9116
MU_6;18;4,3096;25,5457;11,7287;0,8253
MU_7;15;3,2739;20,5484;11,1499;0,8098
