MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;21;6,0983;25,5758;11,1938;0,9992
MU_2;19;4,7407;28,6592;11,4071;0,998
MU_3;22;5,5611;21,109;11,0253;0,9875
MU_4;15;4,708;29,3649;11,1209;0,9814
MU_5;16;6,6407;18,785;11,0689;0,9481
MU_6;28;7,6973;31,6004;11,0288;0,9238
MU_7;28;9,2894;30,6666;11,1063;0,9047
MU_8;18;6,7192;31,371;11,1541;0,8943
MU_9;24;8,2139;22,8641;11,3427;0,8613
MU_10;18;4,2377;16,5388;11,3148;0,8485
