MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7
-0.002267557152551229;0.00065499103103569;0.006277823861846319;-0.0033168626488185057;-0.0016876108345057928;-0.002179482362060461;0.0009549254676637343
-0.0013864690080183856;0.0006177399542412719;0.0044600025898873935;-0.002362618789133105;-0.001045349629057071;-0.0014805589817694581;0.000891675510175825
-0.0005439706497532197;0.0005778074661040111;0.002705734012924438;-0.0014468388084761476;-0.0004160513814857968;-0.0008041778101327559;0.0008228186842959774
0.0002605577985498763;0.0005348254802039393;0.0010159639398793704;-0.0005696276458682891;0.0002037745676650458;-0.00015301950676347903;0.0007505345713679076
0.0010278919600750513;0.0004884535845934998;-0.0006087454891319498;0.0002694868076851878;0.0008158685094060628;0.0004709901089423923;0.0006764026805020065
0.0017590680978142802;0.0004383834208448415;-0.002168456838273299;0.001071649455400407;0.0014203572536171049;0.0010667707017102885;0.0006014043470911582
0.0024553920369279297;0.0003843791879641223;-0.0036638000702348206;0.0018385305679229761;0.002016229026118219;0.0016339160719137844;0.0005261234408013149
0.0031183786688499422;0.00032633063233402466;-0.005095743199361551;0.0025720578685621514;0.0026018971970896577;0.0021724091712315616;0.00045101262101842195
0.003749666722794455;0.0002642947884966688;-0.006465349304285754;0.0032741647382599427;0.003175635024507615;0.0026823760110881037;0.0003766001670317606
0.0043509451181304275;0.00019851361181239143;-0.007773626371069423;0.003946637560293579;0.003735784744154793;0.003163963102071284;0.0003035758296016605
0.004923906617240009;0.0001294076065504045;-0.009021496041214844;0.004591073585994392;0.004280769124469829;0.003617340288692295;0.00023276432241080218
0.005470225578589911;5.755392895773958e-05;-0.010209845718039156;0.005208910457759793;0.004809003289769342;0.004042776653352234;0.0001650373028043687
0.005991547001464124;-1.6340815959190432e-05;-0.011339606020890208;0.005801474242666745;0.005318807449084107;0.004440725488799274;0.00010122006354597332
0.006489474270094521;-9.146601811072093e-05;-0.012411807135737193;0.0063700072053493656;0.0058083802933925404;0.004811874507937665;4.202888853653032e-05
0.006965549028325335;-0.00016692845291070191;-0.013427594891205553;0.006915662253569894;0.006275842347584359;0.005157148591573135;-1.1952396176304819e-05
0.007421223458065415;-0.00024177098725864057;-0.014388212268343897;0.007439472360597348;0.006719323923522199;0.005477676719087761;-6.0268110537363794e-05
0.007857829520099315;-0.000314991347194927;-0.015294964583133706;0.007942312639350276;0.007137062233895629;0.005774744373265371;-0.00010257689325779675
0.008276550531650885;-0.00038556308554307524;-0.01614918618338388;0.008424870724527533;0.007527481287164004;0.0060497492565768874;-0.00013864253208010818
0.008678398784064525;-0.00045245935417116305;-0.016952218525094032;0.008887633081220226;0.007889244755382468;0.006304168309044985;-0.0001683348048202759
0.009064200441129405;-0.0005146786724665022;-0.017705400491033713;0.009330886695906962;0.008221285799852958;0.006539534668010435;-0.00019163789991040556
0.009434587081254907;-0.0005712711583694421;-0.018410066149159805;0.009754730931232476;0.008522823934399598;0.0067574183608913145;-0.00020866027407143736
0.009789992525710172;-0.0006213636720577541;-0.019067543920877686;0.010159093779431194;0.008793377903373837;0.006959404681240461;-0.00021964022326677424
0.010130653851849983;-0.000664182705483649;-0.019679153003190453;0.010543748889552307;0.009032778780703733;0.007147067490135708;-0.00022494422888343654
0.01045661616168911;-0.0006990742829795297;-0.02024619570943243;0.010908332510452473;0.009241182792569368;0.007321938531196033;-0.00022505821275555112
0.010767741215418517;-0.0007255204334016039;-0.020769946550475184;0.011252361363429927;0.00941908083905679;0.007485476259883376;-0.00022057381041847972
0.011063720164527772;-0.0007431519717725175;-0.02125163986465959;0.011575252918902955;0.009567301476757715;0.007639037849036295;-0.0002121722596419148
0.011344090364277389;-0.0007517575162956482;-0.021692457980122377;0.01187634893177154;0.009687005121092567;0.007783856261848226;-0.00020060784439266126
0.011608255855690508;-0.0007512889447354173;-0.022093521833380356;0.01215494208797299;0.009779668236197756;0.007921021685635228;-0.00018669165343256184
0.011855510867121685;-0.0007418637845748202;-0.022455885876078552;0.012410304841309151;0.009847056825361886;0.008051464633270155;-0.0001712752731650742
0.012085065753612782;-0.0007237651006566021;-0.02278053863544342;0.012641719241315269;0.009891189040143784;0.00817593793377733;-0.00015523332469944684
0.012296075109216379;-0.0006974390524946753;-0.023068408899556532;0.012848506688260784;0.009914287995840366;0.008294997220203982;-0.00013944371294654392
0.012487668083296963;-0.0006634894162027495;-0.02332037505829481;0.013030056824679115;0.009918728261490003;0.008408983729007842;-0.0001247651924237192
0.012658980852490695;-0.0006226673707697129;-0.023537272511381217;0.013185854915718961;0.009906982192806887;0.008518017164315134;-0.00011201327072598608
0.012809190518928993;-0.0005758544720803823;-0.023719893092310925;0.013315506985509106;0.00988157335989734;0.008622007056348337;-0.00010193711867822192
0.012937548547065601;-0.0005240377592935179;-0.02386897311472981;0.01341876177681494;0.009845041648661422;0.00872068598104798;-9.520118745374914e-05
0.013043410791629347;-0.00046827861665114093;-0.02398517352428277;0.013495528553722413;0.009799917466981278;0.008813657265725444;-9.237464290806299e-05
0.01312626108297503;-0.0004096805441996385;-0.02406906455101387;0.013545890119731773;0.009748693117477463;0.008900437522804084;-9.392893215615967e-05
0.013185726945796263;-0.00034936339861271445;-0.0241211330068063;0.013570111219915418;0.00969377328448894;0.00898046840128112;-0.00010023934976372542
0.013221589280369152;-0.0002884504861507117;-0.024141826607002384;0.01356864343825683;0.009637390459558994;0.009053080674932235;-0.00011158244513323888
0.013233791448346693;-0.0002280686608905815;-0.024131632848132557;0.013542128195637743;0.009581488800944594;0.009117420286721247;-0.00012812063063803147
0.013222454804528478;-0.0001693515678455869;-0.02409116372834248;0.013491398874444166;0.009527607525374427;0.009172382406291282;-0.00014987101295762384
0.013187904864495665;-0.00011342722813139292;-0.02402119495514865;0.013417481227829254;0.009476818737205047;0.00921662574877992;-0.00017666711728037867
0.01313070423100168;-6.137053696429953e-05;-0.02392260815614699;0.01332158868713113;0.00942977461964437;0.009248729476556704;-0.0002081351831937245
0.0130516776763621;-1.4114836904522938e-05;-0.02379622184166076;0.013205107473484853;0.00938687942933276;0.009267492557835147;-0.00024371243872671356
0.012951907572407932;2.7656098269215957e-05;-0.0236425687304231;0.013069567436066666;0.009348525615822173;0.009272271735363373;-0.0002827242142400726
0.012832681825404554;6.358456966961302e-05;-0.023461753702086575;0.012916599397569476;0.009315252155357402;0.00926315803182035;-0.00032450694544561146
0.0126953961063957;9.362058412452943e-05;-0.02325355520503722;0.012747887517281288;0.009287652746468976;0.009240778209919448;-0.0003685241511977421
0.012541443454276824;0.0001178709399619431;-0.023017861068791813;0.012565132069676186;0.009265937242245812;0.009205640839857357;-0.00041439486129359726
0.012372152110131599;0.00013634787923656025;-0.02275534412404796;0.012370038545520488;0.00924924563035576;0.009157225320047977;-0.00046176692499076677
0.012188834191050608;0.00014874120720711809;-0.022468045014119427;0.01216433860985647;0.009235065389741249;0.009093327939910347;-0.0005100382010708071
0.01199296527614767;0.00015439896714220368;-0.022159378698362785;0.011949827690179429;0.009219262596624877;0.009010325422089014;-0.0005580429264011577
0.011786430309802039;0.00015266765934845292;-0.021833184733271734;0.011728381219480048;0.009197127784550651;0.008904775547445457;-0.0006039236546887722
0.01157167877142849;0.0001435762144369994;-0.02149189038309077;0.01150190216554902;0.009165363044832568;0.008776069047089195;-0.0006454183543845096
0.011351594327870125;0.00012858356520187907;-0.021134547977965837;0.011272172057346416;0.009124204819649788;0.008628888399329236;-0.0006806393401653151
0.01112896460775112;0.00011087709690284105;-0.02075609706252386;0.01104063093285311;0.009078253621331755;0.008473552404467259;-0.0007091112813057698
0.010905653923020505;9.46993563803375e-05;-0.020349189595209403;0.010808181611043082;0.009034594209679614;0.008322609644358714;-0.0007324932103372043
0.010681866548403212;8.354627361266615e-05;-0.019908917916480407;0.010575160273182371;0.008997844745316518;0.008183710824364261;-0.0007542628255493062
0.010456076709718714;7.78005392609577e-05;-0.019438884285046122;0.010341589179402111;0.008963782952661882;0.0080515268807111;-0.0007779256322798315
0.010226092953640024;7.314443568785942e-05;-0.018955045715280595;0.01010769995246691;0.008915317966359776;0.007903987319844982;-0.0008041008873957972
0.009991203908497105;6.140633214333211e-05;-0.01848305574279263;0.009874514016121503;0.008825331288965661;0.0077084089179740925;-0.0008278847725226148
0.009754530199907777;3.479933358612398e-05;-0.018046773267448878;0.009644089001957975;0.008668852333669026;0.007439503443960983;-0.0008386026191757966
0.009523986669455463;-7.341682399186447e-06;-0.017650538714080958;0.009419031088131734;0.008441821954388518;0.007103869553085337;-0.0008236975350224744
0.009310232475314572;-5.2633399828672594e-05;-0.017264086874964668;0.00920114817339154;0.008177064505128272;0.006757284440396229;-0.0007766289772381609
0.009121126056374345;-7.542394731314042e-05;-0.016822888488033212;0.00898965736149961;0.007943927935823642;0.006497355738353791;-0.0007056630480324455
0.008954433868918955;-4.6245855279775776e-05;-0.016253925228262328;0.008779931210022756;0.007820972100120943;0.00642053788732476;-0.0006378009886089403
0.00879294235716783;4.948465171269572e-05;-0.015525119439573399;0.00856395605934849;0.007843502593433707;0.006551042993259227;-0.000612007473080634
0.00860703389384188;0.00019082967177154876;-0.01469868871050729;0.008333065705787587;0.00794667367456873;0.006774030723575256;-0.0006601482580145231
0.008367548071271887;0.00031199320520747937;-0.013953776473286977;0.008081993778481629;0.007940608772369967;0.006822495648278487;-0.0007824113449108372
0.008065912776151138;0.00031755115436067584;-0.013544734043637728;0.007811361267158734;0.00755291654525183;0.006358929129972783;-0.0009330402141341992
0.007731008680606676;0.00012587539886057088;-0.013687692533288312;0.007524612853867614;0.006546441101812495;0.00514917078815747;-0.0010355447546883416
0.00742751633821094;-0.00027369071614722506;-0.014415318976294408;0.0072168687649883;0.004870936813535996;0.003257764106519027;-0.0010371182463702212
0.007224165472676287;-0.0007818516526527237;-0.015483202461015857;0.006858695681456356;0.0027631716742466794;0.0011402968630902911;-0.00098638077194664
0.007135519751285299;-0.0012024753640291202;-0.01641215447903892;0.00638695158576269;0.0007111239495498911;-0.0004772397438108758;-0.0010832940407468844
0.007063678844942946;-0.0013174712364835927;-0.016684316510547807;0.005721986290388327;-0.0007338033058184638;-0.0009313097955613627;-0.0016282098218994509
0.006782951646964593;-0.0009912485216211798;-0.016004752024146716;0.00482418890043419;-0.0012108203584493607;-5.421615262199427e-06;-0.002824863366286737
0.006003466250226694;-0.00024263087462165966;-0.014472199870211495;0.0037750655718620137;-0.0007266706536784031;0.001886577689035418;-0.004491257423711353
0.004510954113002904;0.0007678474047192835;-0.012539546660115891;0.0028294772712611324;0.0003483947426825095;0.0038966728411109768;-0.005866377372002959
0.0023242456095245445;0.0018364675503841847;-0.01077510238608061;0.0023705165806768456;0.0014596603452599922;0.005262576273575956;-0.00576104300619199
-0.00022384514351535286;0.0028388034348986587;-0.009570223697247545;0.0027421728947043394;0.002122108729905659;0.005835793894417942;-0.0031659780919276017
-0.0025553166691126466;0.0037824060259230587;-0.008974784543982752;0.004029228288994169;0.002133792337620315;0.006209358769175163;0.0019061287116574578
-0.004059285896490429;0.0047335282817062;-0.008745734754438357;0.005924956690124438;0.0016680283796896163;0.007243806411167328;0.007896975782433455
-0.004354076285436232;0.005660492442736629;-0.00854150251329632;0.0077983976124490284;0.0011906452647432821;0.009226584361159187;0.012052544240928532
-0.0034698567748578987;0.0063139171202829985;-0.008120089675201631;0.008958405892163967;0.0011918219417727804;0.011253924555103477;0.011730455750574015
-0.00185734820041412;0.0062393581841962715;-0.007455586954776788;0.008997740220260788;0.0018464325283725192;0.011372235488691802;0.006037364326448173
-0.00020606152011150479;0.004923742684015141;-0.006774704436803818;0.008044174943063993;0.0028379446327789393;0.007561300592300289;-0.0032462713339777415
0.0008600695214420949;0.0020139830924475123;-0.006508463347140487;0.006759497545179111;0.0035133213184698328;-0.0008868205393802882;-0.012200246337317783
0.0010754745894363885;-0.0024681837407979925;-0.007105874700742704;0.0060304704917021465;0.003284408566251578;-0.01234121869901155;-0.016652824338921523
0.0006573369974063446;-0.008014085847891884;-0.008723025069775731;0.006483535242295589;0.0019969781365260773;-0.022894585615567033;-0.014500511637995308
0.00016786422945100699;-0.013731192092369641;-0.010968872363603895;0.008113794608800077;3.6230953244089726e-05;-0.02787695494450396;-0.0071776323181341655
0.00017671633096803468;-0.018670893678336315;-0.012939130119165006;0.010271145091291775;-0.001848267772863647;-0.024382777263923877;0.0007765167291621077
0.0009298724664947504;-0.02217342173724569;-0.01358341856605487;0.011976717334366874;-0.0028602788537142763;-0.013432820060589944;0.00420371530733394
0.0022161264125635785;-0.023937946487818437;-0.01219958835589864;0.012307584396295566;-0.0024902860896939597;-0.00011407962670662947;0.000644540260001794
0.0034571825960557946;-0.023795401213685376;-0.008771436363376;0.010627641412426765;-0.0007771924787897728;0.008940437166259273;-0.007685609949246822
0.003921801633970119;-0.021536624437014432;-0.003983315086015882;0.006669131427163594;0.00163353069324361;0.009497875790944906;-0.014909543365644632
0.0029902619695328946;-0.017102774569637724;0.0010730830049081553;0.0006206147127928285;0.0037249214999230842;0.002540809856121001;-0.015146765555617336
0.0004337583788371553;-0.010959608165297983;0.00532691718834612;-0.006683825865194423;0.004503685826811869;-0.006159846250103318;-0.006484244480672609
-0.0034096453135453474;-0.004178783838795449;0.008060941797711654;-0.013628021007041016;0.0033369660553082066;-0.009685199201202975;0.007423917565634577
-0.007720739139509057;0.0019549528283171547;0.009029584262982665;-0.0180995331057704;0.00022727686865576385;-0.004475813431934877;0.019283951536899727
-0.011515500045227178;0.006485711780593206;0.008411654155831309;-0.018376318196921895;-0.0039114846410249985;0.007311885073592822;0.02251669253630912
-0.013953779840162014;0.00905603219957479;0.006674628508397538;-0.014178166023805226;-0.00725797452497706;0.019112350228289016;0.01534470352596148
-0.014486693097919442;0.009829357651285144;0.004368243312572219;-0.007055373784531871;-0.007791690383386869;0.02396204809495827;0.0019452735986554795
-0.012921641891819302;0.00927495127621146;0.0019235376797232138;0.0003118416978907143;-0.004532024683999522;0.018655760798076144;-0.010175549336114646
-0.009494540167491534;0.00796312781303812;-0.0003730912938557622;0.005468454155771475;0.0015939954971233184;0.005654362689152287;-0.014878266318681783
-0.004849262495965553;0.006370605786263589;-0.002203834843599728;0.007278747384725538;0.008030743684954196;-0.008222236768458098;-0.011010298791766905
0.00019976619341960207;0.00472928529126774;-0.0030987053554746894;0.006129749735017809;0.011887656386243676;-0.015580562771086603;-0.0026113429184967717
0.004990144826126239;0.0030263728884690234;-0.0026224866390156896;0.003328398685172054;0.011376077153473132;-0.012662332126545368;0.00420784866706843
0.009116292290064729;0.0011757157945215646;-0.0007518501340861604;0.00027180045530493215;0.0065322931930448126;-0.0015420356025613504;0.005392482760571647
0.012259456292154379;-0.0007664389665960914;0.0019446289804385545;-0.0021167550952708673;-0.001054481275006645;0.011060513262283245;0.0012917675149769212
0.014059622302021535;-0.002488703321928013;0.004545882941996216;-0.003589869861047185;-0.009161173006970072;0.01763124217910131;-0.00408794543624437
0.014275775870308264;-0.0034882738604026554;0.006276029914528976;-0.0045119024969178445;-0.01585451110460895;0.014009811670924695;-0.006076356728088082
0.013037281520461635;-0.0033122056153700183;0.006888843279874271;-0.00556768300604432;-0.0199286472264823;0.0014864860151475355;-0.002428749264308816
0.010825995339465263;-0.0018773709757092605;0.006676438594762719;-0.007308931084986433;-0.02080988686490971;-0.014038607023759241;0.005391575254874305
0.00815081441011185;0.00034536946638862585;0.006139716452064479;-0.0097364536932271;-0.018290517606044856;-0.02506281020084068;0.013321447051292986
0.005197482209544765;0.0024673557012099374;0.005594219302008343;-0.012108205189888024;-0.012506819477614228;-0.026030025270607198;0.017317972635093992
0.0017073834481152036;0.003599819435953085;0.004983444989388279;-0.013071543977859111;-0.004235256518985664;-0.015831282574911343;0.015746113260433365
-0.0028632083207476215;0.0033006388349388527;0.003979793567578767;-0.011218992016768315;0.004810536483658615;0.0017449013900411182;0.010005369599405121
-0.008984717241624307;0.0017782520793570545;0.0022550700369364613;-0.006010426667818563;0.01206336023472131;0.01966478912594715;0.0031676968377564838
-0.016645768632861237;-0.0002626388066837088;-0.00026721032506710034;0.0014746668411588762;0.014717105789824074;0.030512083797963226;-0.002129794897450887
-0.025093506671606113;-0.0020141326403907795;-0.0033026514959976477;0.008696617140135044;0.010807906850087126;0.029346727748067045;-0.004909577050467159
-0.03288460301551695;-0.0028994065770070686;-0.006247181741692811;0.012845623413505201;0.0005179007288474467;0.015688719407863833;-0.005545407948665289
-0.03825943104160583;-0.0026241522277943154;-0.008296742558208465;0.012280130861030296;-0.012950306309111079;-0.005906240966591112;-0.004621251298847819
-0.03970957599395179;-0.0010462520424350129;-0.008598178406299797;0.007256569186996355;-0.023976234725645158;-0.027152812666253124;-0.002214304416993209
-0.036550307069123614;0.0018252296436526375;-0.00647339687818193;-0.0003603467500311064;-0.02710914020424157;-0.03931854386487208;0.001733772333044123
-0.02926822734542253;0.005600350973296541;-0.0017645923344951537;-0.008034866033550794;-0.020419277217778885;-0.0374279684052252;0.00645767388928
-0.019411409020310164;0.009338595318890943;0.004817815387496532;-0.013582586508555407;-0.007062581030576196;-0.023125255878735672;0.01001816151632238
-0.008990027150615386;0.011794413742506492;0.011654897444656214;-0.015869077275714568;0.006483493826799373;-0.004070449367937662;0.010295307557969247
0.0002994685209325979;0.01203859710196868;0.01673017789999541;-0.01499748533674555;0.014297204797393418;0.010276156594572055;0.006784219932634894
0.007577604900444841;0.009974244983687834;0.018543351843976662;-0.012031731420544424;0.014137822737975935;0.014068813417451448;0.001708473848419812
0.012792420254133553;0.006289655371125536;0.0168870830183663;-0.008492967745850977;0.007943293404402814;0.00819672944219836;-0.0007805270967732098
0.016356901493813483;0.0019143350786238727;0.012955641622150396;-0.005856532539979615;9.886380114246345e-06;-0.0009427519516292208;0.002758370442006199
0.018695174736578796;-0.002495777830794288;0.008695082808349264;-0.005096050958594032;-0.0055516146221392445;-0.00608082612855745;0.01213203469719415
0.01993651631163871;-0.006644454847039567;0.005820758668471054;-0.006264705066573822;-0.006611221841548354;-0.0038946477147226224;0.02247960808205661
0.019874685141911763;-0.010356746225258421;0.005126642966456417;-0.008272808468704979;-0.0034463729483777913;0.0031669731997202182;0.026439403542701783
0.018184718757208788;-0.013364949937167823;0.006466865116528328;-0.009136979411700576;0.0019447206623782972;0.009008529412843004;0.018715574692979717
0.01475635108152686;-0.015272367286911193;0.009285984476618952;-0.006822126274890474;0.0069470376111773376;0.008268031450176013;0.00023550798711114313
0.009909938218986685;-0.015613892600492275;0.01318187592413445;-0.0004235520662415956;0.009292571504049866;-1.7099379805826468e-05;-0.021161112952510226
0.004330112584384631;-0.013964124186338137;0.01800882206469745;0.009001329136109508;0.0077102364779989534;-0.011718794492590747;-0.03453447669376553
-0.0012168554743106103;-0.010143101331511499;0.023446731775047962;0.018722007606536233;0.00228973689640637;-0.020188750206980192;-0.03216128648535288
-0.006141952256335037;-0.004440871854264028;0.028453491703236394;0.025752167300134948;-0.0054243274450912074;-0.020386794133213017;-0.014459685642899482
-0.010092756269689772;0.0023906174979639165;0.03120216125822141;0.02830749629182097;-0.012676706801305273;-0.01197582762067076;0.0097275686388952
-0.012844481705557744;0.009435599334452075;0.029787395396519274;0.026162822135935924;-0.016267882523035602;0.00048457079891315994;0.02787631671661912
