MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;35;10,5266;32,2185;11,5312;0,9977
MU_2;16;3,6377;32,5461;11,1749;0,9815
MU_3;23;6,8619;27,8391;11,0569;0,9597
MU_4;19;5,6438;14,3435;11,1425;0,9388
MU_5;17;4,882;27,2865;11,7137;0,8609
