MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;17;5,325;17,9942;11,6078;0,9999
MU_2;23;6,8393;26,9917;11,0562;0,9985
MU_3;18;2,9392;19,8155;11,1374;0,9965
MU_4;16;3,9837;31,1774;11,6222;0,9892
MU_5;21;6,0286;23,3982;11,3085;0,9484
MU_6;16;4,6694;32,3223;11,4502;0,907
MU_7;19;5,4439;21,7829;11,5836;0,9048
MU_8;33;8,4126;28,6535;11,2001;0,8588
