MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
0.00023586649080434223;-0.0012535471724132224;0.00016858035505370553;0.00020352056989536896;0.00020225853638939468;0.0001813871675424572;0.00017514218984961895;8.81910798620773e-05
-4.2367091518061165e-06;-0.0011956671691893373;0.0002846284652673267;5.455709561806865e-05;4.784738494905878e-05;0.00011788972565231056;-0.001407799577424691;0.00026690105651930605
-0.00024865082700589644;-0.0011074757542877416;0.00040062552710938554;-8.339732236866574e-05;-9.228365620886096e-05;5.705229171286479e-05;-0.002814417176448931;0.00043397312000768954
-0.0004918694371693484;-0.0009904182448297173;0.0005137666289256641;-0.00019642039238990246;-0.0002057801068924338;4.27560756365789e-06;-0.0039010927342473115;0.0005779029393130978
-0.0007284559036589686;-0.0008468044007096009;0.0006213386675927603;-0.0002750844720031578;-0.00028419488628170366;-3.676031582250533e-05;-0.004572803743927042;0.0006906208245989737
-0.0009531847567132256;-0.0006798035104682945;0.0007207939973995808;-0.00031570805315471776;-0.00032405209176472133;-6.458457822626474e-05;-0.004796166437572699;0.0007684426879821024
-0.001161166511576851;-0.0004933774265733105;0.0008098117904919281;-0.0003205670703523864;-0.00032703402076235844;-8.001852236846765e-05;-0.004601533613896107;0.0008122491617668251
-0.0013479529334657684;-0.00029215290191260255;0.0008863456216685165;-0.00029705716579640887;-0.00029928374620305493;-8.58501467974558e-05;-0.004074056611837249;0.0008268857828827768
-0.00150962252697817;-8.124409612507314e-05;0.0009486577760895486;-0.00025599840205448775;-0.00024998386710948687;-8.617452160784716e-05;-0.0033357239603221244;0.0008199252874270536
-0.0016428483247145033;0.00013395629939740386;0.000995342405166045;-0.0002094332124903323;-0.0001895059033500321;-8.553709710016518e-05;-0.0025220612089703848;0.0008000508595876044
-0.0017449514486471852;0.00034799467761464334;0.0010253406246847126;-0.000168355183619541;-0.0001274977889926396;-8.80506601067978e-05;-0.0017580877017894596;0.0007753834151496279
-0.0018139441967718834;0.0005555601876917205;0.001037950802556515;-0.00014080422665129866;-7.127530667173659e-05;-9.665587586092302e-05;-0.001138105073712356;0.0007520745982914819
-0.0018485655859434406;0.0007516557915310075;0.0010328366369972727;-0.00013067478358093517;-2.480873726821444e-05;-0.0001126606224741123;-0.0007129596732543822;0.0007334215943247202
-0.001848310611743466;0.0009317252036062763;0.001010034359822656;-0.0001374276245069361;1.1534994442350154e-05;-0.00013563237661117286;-0.00048678361978672023;0.0007196446674744844
-0.0018134523976582149;0.0010917330110049083;0.000969958820374333;-0.00015670572140147234;4.049394338355565e-05;-0.00016364370743538189;-0.00042322508105671126;0.0007083280401775372
-0.001745054414049207;0.0012282038688154234;0.0009134066802957909;-0.00018167033878610395;6.681054449085268e-05;-0.0001937989871996885;-0.00045924422680523067;0.0006953886565641341
-0.0016449685439331092;0.0013382333143963508;0.0008415538300221285;-0.00020473281376894115;9.580084646581569e-05;-0.0002229155423107727;-0.0005230753348530726;0.0006763335249780372
-0.001515814321439131;0.0014194861333939066;0.0007559436917026109;-0.00021928885615892616;0.00013192317197456132;-0.0002482057027788151;-0.0005522350637121663;0.0006475156372506352
-0.001360935330295836;0.0014701977395002667;0.0006584634274596991;-0.00022107852258846693;0.00017766195804277545;-0.00026781258837244026;-0.000507627672251764;0.0006071104815467963
-0.001184330446465032;0.00148918992456552;0.0005513061882485097;-0.00020889128046665915;0.000232961579876461;-0.0002810900169972918;-0.0003808071929396744;0.0005556062416929188
-0.0009905600425316088;0.001475905594245828;0.0004369192165465279;-0.00018448997558060087;0.00029531527628169586;-0.0002885771218648424;-0.0001930755727043169;0.0004957148870917471
