MU_1;MU_2;MU_3;MU_4
0.00022654490026545584;-0.000783542957443566;-0.0014559524672975229;0.0025196382182982725
-0.0007214640283043673;-0.0016126455717846938;-0.0026844055486414625;-0.003154326453010232
-0.0016167063467165154;-0.002108668821358767;-0.003750233275184781;-0.00800202360660918
-0.00243328487014245;-0.0021467878864142886;-0.004534665733361341;-0.01092702033444213
-0.0031231262655974073;-0.0018851460390342239;-0.004973380001101945;-0.01080376916459398
-0.003556917880051431;-0.001659598417905624;-0.005053088491279173;-0.007209104706006277
-0.003551582044135572;-0.001777203982852754;-0.004827387151955309;-0.001052652494819514
-0.002999447179676311;-0.0023500518956861673;-0.004433963227586024;0.005509669030905472
-0.0019963747323793295;-0.0032600633337469013;-0.004060273017239608;0.009996334323508795
-0.0008541935200634675;-0.00423975569634384;-0.0038512452687288284;0.0108595673426125
1.8964502568442395e-05;-0.004995211836496036;-0.003829328235790391;0.008284515446201249
0.00028616794239962414;-0.005310149976864868;-0.0039014859129161586;0.00395566232332991
-0.00019950813569355618;-0.0051036402777658385;-0.00394722845302653;-8.335997540800662e-05
-0.001360955344464737;-0.004435252105498944;-0.003910110926734832;-0.002646194878398512
-0.0029316015513511716;-0.0034682441885145543;-0.003824097889144792;-0.0038263943488800554
-0.0045363989776784925;-0.002412430106243031;-0.0037676157057582645;-0.004485532683457948
-0.005803283657684938;-0.0014622175934911005;-0.003784525603232944;-0.005421291758216552
-0.006473127522023643;-0.0007398272350266607;-0.0038230434169986205;-0.006899222733156133
-0.006461076282130797;-0.00026596760832870375;-0.00373854323300616;-0.008723249774095698
-0.005848065356453004;1.676644166301502e-05;-0.003375596329209727;-0.010533533521017687
-0.0048293522251679315;0.00017484661008321218;-0.0026824638902024755;-0.011958040923092697
-0.003658778327838179;0.0002161512460869459;-0.001775365405038565;-0.012559727653983601
-0.002594709965665571;7.412446373836777e-05;-0.0009085295469745714;-0.011831715604243665
-0.0018311566585205105;-0.00034136202064440643;-0.0003717305540222698;-0.009446332464683047
-0.0014254793481982351;-0.001055023209353058;-0.00036285171290106004;-0.005626401094869682
-0.0012755781009882166;-0.0019554794259355824;-0.0008789157951493325;-0.0012664360483812336
-0.0011827657799310552;-0.00280063510199075;-0.0016743703136198275;0.002436213030099755
-0.0009648840707990272;-0.003318425375237306;-0.0023353222179502806;0.004642138123794601
-0.0005427070253999701;-0.0033511775084500307;-0.002468464154403406;0.005281726310893776
4.505253782977939e-05;-0.0029430391819983926;-0.001916628661670979;0.004860623009389261
0.0006832295437972513;-0.002299723901964607;-0.0008672025499772958;0.0038961308203135144
0.0012340794338849346;-0.0016452032183276854;0.0002296115256791696;0.0025608162648160745
0.0015733533234102237;-0.001084455768129622;0.0008962238403041767;0.0008149259301202368
0.0016097836634402889;-0.0005815320074701901;0.0008773656581390009;-0.0012344194022664834
0.0013034609264744872;-6.79553172842658e-05;0.00025503063238673705;-0.003194898991069172
0.0006892430642459241;0.00041937630857488895;-0.0006291581086449706;-0.004597099913221794
-0.00010466152229155525;0.0007040323464739197;-0.0013800846725091232;-0.0051516636311389075
-0.0008686093437536706;0.0005847833020356404;-0.001749532233466187;-0.004747869701968699
-0.0013829209942946717;1.1835671044001966e-05;-0.0017124377524732354;-0.0032884691672069614
-0.0015380741294309566;-0.0008222835802654099;-0.00139480587759896;-0.0007098997206064548
-0.0014259811203983198;-0.0015599968821672881;-0.0009464646156084474;0.002728857648924894
-0.0013135873151555381;-0.0018762239500067848;-0.00048147827594243034;0.0062373414599390985
-0.001494839200792222;-0.0016613690890613017;-0.00010616298930661065;0.008717463776180004
-0.0021184600470109073;-0.0010723196388386718;5.375738546400167e-05;0.009329276099491073
-0.003104248624065694;-0.0004240192806457941;-0.00010680543076712243;0.007952193976721957
-0.004185744521938088;7.263620538053135e-06;-0.0005985764363559138;0.005197213493605154
-0.005031395830759132;0.00013958439596811688;-0.0013021680053683822;0.0020220699328949475
-0.005368552390004235;9.44647602971405e-05;-0.001995134394131379;-0.0007030944284443838
-0.005066947033714935;6.17514057240805e-05;-0.002415107587039613;-0.0023786676951157324
-0.004177272737422878;0.00013183873685053814;-0.0023277348804793263;-0.002629012681254384
-0.0029220313385170714;0.00022133274638482873;-0.0015920249556031847;-0.001304520421471501
-0.0016218418436402802;0.00013528428120218152;-0.0002245956672374472;0.0013296389027179394
-0.0005651290681538113;-0.00028715550064016136;0.0015566215533540093;0.004475793846814165
0.00010731061523417068;-0.0010381493508492866;0.0033480547720863515;0.007083491459869403
0.000408627998030374;-0.0018969923725683196;0.0046575809825780135;0.008394640723262098
0.00039659740993534055;-0.002510304212670128;0.005062971752583498;0.008263063077705446
7.409825107205663e-05;-0.0025687979148715174;0.0043770973411463516;0.00702953034908954
-0.0005677663656744582;-0.0019876606375620726;0.0027493711499432735;0.005219240705124828
-0.0013961334209657778;-0.000969109424032757;0.0006418437574974656;0.0033662441168264287
-0.002062864506769721;0.00011567697465892514;-0.0013332283080929846;0.0019522219575677706
-0.0021557901954972303;0.000955319320525771;-0.002653615718303;0.0013070457992082113
-0.001499492357664911;0.0014688805600897026;-0.0030898196770186223;0.0014687710518820122
