MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;15;4,6667;22,24;11,0573;0,9999
MU_2;15;4,0761;31,314;11,0127;0,9999
MU_3;34;6,3246;25,069;11,3605;0,9986
MU_4;15;7,2197;32,2137;11,6294;0,9921
MU_5;19;6,0438;16,0568;11,5399;0,989
MU_6;16;3,8037;20,9598;11,1219;0,9791
MU_7;17;4,526;17,6505;11,4513;0,9422
MU_8;18;4,2935;30,4343;11,5913;0,8272
