MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;13,0967;32,9878;11,1976;0,9937
MU_2;22;6,2606;22,0637;11,0981;0,9899
MU_3;16;5,0506;9,8974;11,1044;0,986
MU_4;23;5,8348;24,0614;11,0526;0,9254
