MU;Nb_Spikes;Fr_Hz;CoV_%
CCA_MU_1;18;7,72;13,93
CCA_MU_2;13;3,8;18,27
CCA_MU_3;12;5,4;19,77
CCA_MU_4;5;1,76;29,93
CCA_MU_5;14;3,53;18,99
CCA_MU_6;20;7,26;19,92
CCA_MU_7;61;14,27;14,44
CCA_MU_8;15;3,46;15,05
CCA_MU_9;70;17,23;14,79
CCA_MU_10;31;11,31;29,49
CCA_MU_11;70;19,14;26,95
CCA_MU_12;75;15,49;18,15
CCA_MU_13;71;18,08;22,87
