MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10
-0.000803995678543923;-0.0001603785529204316;0.0005086633500520551;-3.825025852768169e-05;-7.408951428785704e-05;0.0001096733480668614;-0.00041056822402835933;-0.000327261795481186;-0.0003747318251333968;-0.00020951015852526186
-0.0006900904605264581;-8.624113778052404e-05;0.0005076018496773724;-7.521514938834726e-05;5.0799810736383754e-05;7.843629237626853e-05;0.00013991868136079065;-0.0002623879252644783;-0.0005490054558082785;-0.000171697305040277
-0.0005591690967811797;-9.88701238841825e-06;0.0005008299823222583;-0.00010925630875389521;0.0001482375739749874;4.4889073136364535e-05;0.0006305328144625062;-0.0002014992100976024;-0.0006933846053452483;-0.000137960484177585
-0.0004148650124898322;6.680410853036786e-05;0.0004886360840003279;-0.0001384834317826075;0.00019758675549212424;1.1480672230028692e-05;0.0010086092364434756;-0.0001520189164391637;-0.0007906784178112405;-0.0001148957683084767
-0.0002609001481263883;0.00014204366056501527;0.0004714182040546913;-0.00016146746893624627;0.00018612005271339657;-1.9909862717558737e-05;0.0012393732384517024;-0.000118847653294085;-0.0008299435453871264;-0.0001067149856214794
-0.00010093653530236335;0.00021420241020601486;0.0004496708770134726;-0.00017736749259099596;0.00011110094659821701;-4.8168263897244033e-05;0.0013107691712334166;-0.00010365651731874102;-0.0008080940169126811;-0.00011458581989225645
6.151642971138599e-05;0.0002818519281465796;0.0004239732162603149;-0.00018596198062771364;-1.9935997977721226e-05;-7.298925844860358e-05;0.0012342307219213072;-0.00010477630716176213;-0.0007301384122275057;-0.00013653664694892578
0.0002231366203462586;0.0003437782797622071;0.0003949786165021187;-0.00018758342611795162;-0.00019071893252316528;-9.476854732884313e-05;0.0010413593269116774;-0.00011768764445694868;-0.000608033630340168;-0.00016793046259983629
0.00038077527065035507;0.00039897198609323026;0.000363405612982563;-0.00018297332975719506;-0.0003792533888691284;-0.0001143702789790002;0.0007772577452090773;-0.00013600175169534476;-0.0004584076488489842;-0.0002024031542311639
0.000531413587132087;0.00044660241000571;0.0003300288636844381;-0.00017308908012780833;-0.0005617090656803538;-0.0001328210717560368;0.0004918862413134189;-0.00015273014573512797;-0.00029961287786392217;-0.00023307464701203878
0.0006721141435823964;0.0004859869951769738;0.0002956689193019526;-0.0001589021240470023;-0.0007164199440515984;-0.00015099434399348943;0.00023114692813059975;-0.00016159167791839687;-0.00014868573653425935;-0.0002537942361600679
0.0007999912163300433;0.0005165658105921158;0.00026117949076497873;-0.0001412267034014662;-0.0008272426107883132;-0.000169348400661835;2.9393939691554066e-05;-0.00015810658078792446;-1.8785479116820552e-05;-0.0002601826124037941
0.0009122189288462882;0.0005378896799707337;0.00022743130440311607;-0.00012061045833598947;-0.0008856716561046968;-0.00018776868797277515;-9.527909334970024e-05;-0.00014027833225799166;8.243135741280531e-05;-0.00025028161589580396
0.0010060867874658634;0.0005496263031854757;0.00019529227307374958;-9.730415065824307e-05;-0.0008913812372018824;-0.00020554175295558154;-0.00014223060031414865;-0.00010875390139057174;0.00015324936075395063;-0.00022470788431761964
0.0010791009009360286;0.0005515840492024643;0.00016560447384967043;-7.131064334846125e-05;-0.0008511909310133911;-0.00022146059688617467;-0.00012593814894306017;-6.646221751051103e-05;0.00019714345967222202;-0.0001863102042038737
0.0011291182741393054;0.0005437485271345213;0.00013915915104208444;-4.249666965002725e-05;-0.000776773143111296;-0.00023403411239441104;-7.085541310427049e-05;-1.7836686792651446e-05;0.00022107889020092178;-0.00013943089205456174
0.0011544933317319526;0.0005263235876893567;0.00011667150649592133;-1.0738266626531893e-05;-0.0006816629433545411;-0.00024175270478430673;-4.721225125275634e-06;3.219154083915562e-05;0.00023328654117537285;-8.894824485378849e-05
0.001154211962248667;0.0004997667913735469;9.87572835555166e-05;2.393540619015525e-05;-0.0005782502307408136;-0.00024335217488438118;4.8149672923084655e-05;7.920336513078046e-05;0.00024102850243623423;-3.931456947595047e-05
0.0011279896504652403;0.00046480992837815154;8.591304631441964e-05;6.123362342879665e-05;-0.0004754062087815397;-0.00023802037938962096;7.212792288589194e-05;0.00012008773944407681;0.00024884736227350895;6.2045255524477255e-06
0.0010763163752561121;0.00042245775623729604;7.850162104560306e-05;0.00010055605076216172;-0.0003772299786243769;-0.00022550534961584499;6.29911737904928e-05;0.00015346231037833335;0.00025766666110900644;4.5936262705451924e-05
0.0010004405715526269;0.00037396217638935596;7.674348964307886e-05;0.00014101614335926887;-0.00028313432823384813;-0.00020610624455061604;2.7615170395505484e-05;0.00017964580550711883;0.00026490751061283336;7.978298386675847e-05
0.0009022955408039815;0.0003207737328730749;8.071414242882232e-05;0.00018153085912268524;-0.00018918108324604183;-0.00018055477313835475;-1.916125133346086e-05;0.00020021191911706777;0.00026555217286618264;0.00010880859136778419
0.0007843819045477116;0.0002644765969559134;9.034666635687664e-05;0.0002209567080228051;-9.029266687171659e-05;-0.00014981886121462055;-5.965383477701218e-05;0.00021724878157951055;0.00025387016972457354;0.00013454653672036743
0.0006496268915193922;0.00020671619688236376;0.00010543831096734034;0.0002582418239514554;1.7231014038049448e-05;-0.00011487716490943817;-7.914491026287941e-05;0.00023251379624716684;0.0002253726792204564;0.0001582090166312796
0.0005012439437595633;0.00014912973612267623;0.00012565954052174425;0.0002925601487801308;0.0001335300970134245;-7.651893624448648e-05;-7.094622886273369e-05;0.00024669657192707186;0.00017850879214324273;0.00017999879428598682
0.00034261379930535917;9.32887975904708e-05;0.00015056418427007295;0.000323397733587647;0.0002539018336030334;-3.521747092436085e-05;-3.9436971207945765e-05;0.00025897795128181577;0.00011567387451487844;0.00019870165912650608
0.00017720140947227123;4.066028976130717e-05;0.00017959970057512085;0.0003505717480959092;0.0003687802537014557;8.891723389957385e-06;-2.5614811364755024e-07;0.0002670060586899596;4.325367383345898e-05;0.0002116739983892459
8.513284490536997e-06;-7.412209828356885e-06;0.00021211716957422725;0.00037417777010289465;0.0004650553861122671;5.592110856169185e-05;2.2527306179996656e-05;0.0002673153037099391;-2.9355013764826873e-05;0.00021524993908332302
-0.0001599107243282239;-4.970921288940211e-05;0.0002473812736784577;0.0003944770712099553;0.0005285005966149727;0.00010604879468560873;1.749060335021012e-06;0.0002561118870371219;-9.157212251331205e-05;0.000205495430130091
-0.0003244862788234101;-8.512460635251546e-05;0.0002845810560431845;0.0004117494239397196;0.0005468128228852307;0.00015928512739741876;-8.612317930298838e-05;0.00023026179754244623;-0.00013393514079145096;0.00017915353097125021
-0.00048157467921873407;-0.00011265233663273375;0.0003228425340608166;0.00042614540665395547;0.0005126092812686784;0.0002152431508986934;-0.0002543442117859709;0.00018826380466026212;-0.0001503749431585588;0.00013457432417551352
-0.0006274956629462143;-0.00013137977922159536;0.00036124421915110735;0.00043757337779195307;0.00042570223639839286;0.0002729697022387439;-0.0005008525823982398;0.00013098268700316383;-0.00013995161140744713;7.241587200723433e-05
-0.0007585799942549265;-0.000140495346215356;0.00039883626472765713;0.00044564986114570526;0.00029409806999921667;0.000330883347563081;-0.0008060830451404362;6.195932848456806e-05;-0.00010762962496043596;-4.0580823343654835e-06
-0.0008712704422860739;-0.0001393143319626161;0.00043466340965121145;0.0004497292720809687;0.0001334145412397974;0.0003868445395704573;-0.0011343177283584392;-1.280350492427608e-05;-6.385974117271372e-05;-8.917977827139455e-05
-0.0009622687255002252;-0.00012732235293847803;0.00046779122424488883;0.0004490123160705808;-3.5269148363961054e-05;0.00043835647100923;-0.0014385420365019598;-8.557449267317837e-05;-2.2978446992751223e-05;-0.00017557320851416258
-0.0010287147746446503;-0.0001042309819453738;0.0004973345214456171;0.00044271541054186737;-0.00018878709574695888;0.00048286760690213103;-0.001668034072352458;-0.0001480322225227014;-6.84790486963426e-07;-0.0002552351222024837
-0.0010683756150396552;-7.003634218354927e-05;0.000522486257877939;0.00043026963113851536;-0.0003058774260479903;0.000518124416991452;-0.0017773172801504242;-0.00019260635015486426;-1.1056504148799773e-05;-0.0003208083115528808
-0.0010798162624541632;-2.50693843059598e-05;0.0005425448729265311;0.0004115098718295795;-0.0003710316690504242;0.0005425100270173224;-0.0017347723390695904;-0.00021376955304191377;-6.367943673460872e-05;-0.00036680777240988597
