MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
0.0008638862392265971;-0.00047317224440681044;-0.0001866953616522086;-0.0002645651281141895;-0.00011584924214158682;0.0004363156984373772;0.00019437214914118974;-0.00024681458742621286
0.0008367994405884077;-0.0004566604330315897;-0.0002469987040384707;-0.00025691482477518116;-0.00013437897591115258;0.0003763435444952319;0.00021499234738834897;-0.0002831948260756294
0.0007902895167909856;-0.00042857002462016205;-0.0003011196341000847;-0.0002470518048157819;-0.00014928461564378293;0.00030961127862837086;0.00022684203385920203;-0.00031539470573291393
0.0007253227047909907;-0.00038944627993539637;-0.00034779073608337183;-0.0002354350011781851;-0.00016019712583838864;0.0002377275681027861;0.00022952120301006476;-0.00034264982076007936
0.0006432998369790288;-0.00034009428869599835;-0.00038591740617592807;-0.00022256955835867778;-0.0001668406177861283;0.00016242645603281453;0.00022284546001369467;-0.0003643077341116194
0.0005460247303245847;-0.0002815608648774379;-0.0004146041398480494;-0.00020899498367930947;-0.00016903914654423923;8.552689034530846e-05;0.00020685112849160874;-0.00037984362859633415
0.0004356630012241143;-0.00021511070430286735;-0.00043317621978684895;-0.00019527245299678103;-0.0001667211829616404;8.890131699052667e-06;0.0001817951786718833;-0.0003888730015397582
0.00031469224440863134;-0.00014219734861593394;-0.00044119628291743165;-0.00018197157483995595;-0.00015992164696607928;-6.562396070065299e-05;0.00014814995494996;-0.0003911610858200607
0.00018584472079055263;-6.442962208192016e-05;-0.0004384753607757825;-0.000169656927563424;-0.00014878144289860533;-0.00013620073951527476;0.00010659280887410219;-0.0003866287615054271
5.204388007856269e-05;1.6465686172088498e-05;-0.0004250781115019925;-0.00015887468244975885;-0.00013354449324788132;-0.00020111364585816697;5.79908718493148e-05;-0.0003753548114623286
-8.366380547279908e-05;9.868403226672146e-05;-0.00040132209335682495;-0.00015013961267896207;-0.00011455232765661744;-0.0002587651461561873;3.3813260361411798e-06;-0.00035757447432891473
-0.0002181801041228692;0.00018038528674685524;-0.00036777106903247285;-0.0001439227722472157;-9.223634714080069e-05;-0.0003077247690335248;-5.605235744916543e-05;-0.0003336743432533867
-0.00034842771562873043;0.0002597368766696504;-0.0003252224769830016;-0.00014064011668829274;-6.710794797697853e-05;-0.0003467633463122326;-0.00011900765496422986;-0.00030418374027548335
-0.00047142268561799124;0.0003349568827454113;-0.0002746893565884394;-0.00014064233625189922;-3.974674914440765e-05;-0.0003748826426921555;-0.00018409308121971094;-0.00026976275707172204
-0.0005843448444976131;0.0004043560661404192;-0.00021737715926856694;-0.00014420617703148747;-1.078721305397091e-05;-0.00039133965070062044;-0.00024986047264127954;-0.0002311871947719025
-0.0006846046167786467;0.00046637782138731496;-0.00015465600501475722;-0.0001515275214981367;1.9096024533868574e-05;-0.00039566494075237644;-0.00031483876672849695;-0.00018933067667603447
-0.0007699046261800058;0.0005196351052525163;-8.802904011376724e-05;-0.00016271646363655206;4.920379360038214e-05;-0.00038767458953415225;-0.00037756853367744696;-0.00014514427272317994
-0.0008382946326124199;0.0005629434760378915;-1.9097612619816143e-05;-0.0001777945253438001;7.882867997359652e-05;-0.00036747537488242293;-0.000436636446321332;-9.963408363013475e-05
