MU_1;MU_2;MU_3;MU_4;MU_5
-0.0003572955092301198;-0.00028429925391087275;-0.0002191589765011185;0.00048761511475085584;0.00034705957344005476
-0.00036149657286031853;-0.0002515422283756053;-0.0002405397184372045;0.0004269197093263011;0.00033625183031942024
-0.00035148230098951426;-0.00021420980748997854;-0.0002638793450871546;0.00035931965680780143;0.00031821460738403953
-0.0003271761202681708;-0.0001731808080462491;-0.00028894397910169854;0.00028637778421049373;0.00029337799108695853
-0.00028883549414114465;-0.00012942181034112884;-0.0003154599245295831;0.00020978273865472952;0.0002623332724878063
-0.00023704705094407906;-8.396461884344591e-05;-0.0003431197571938009;0.00013130953177646767;0.00022581949875199455
-0.00017271395786257548;-3.78821183142669e-05;-0.0003715892222141303;5.27779325509173e-05;0.00018470650715441084
-9.703581401182531e-05;7.73691066323999e-06;-0.00040051477917068086;-2.399031911346134e-05;0.0001399748296603837
-1.14815126753237e-05;5.181342706697148e-05;-0.00042953161959151864;-9.721447554286978e-05;9.269293156684534e-05
8.22443108331575e-05;9.33036152223969e-05;-0.00045827196921320406;-0.00016519691099931407;4.3992310782560204e-05
0.00018224047622421175;0.00013122362023812464;-0.0004863734812899514;-0.00022636342410674206;-4.958962607466373e-06
0.0002864531958805034;0.00016467294923699685;-0.0005134875237940962;-0.00027930075960311225;-5.298364919870902e-05
0.0003927237344821663;0.0001928559842039931;-0.0005392871654270785;-0.0003227904581279715;-9.892304380883929e-05
0.0004988386811717765;0.00021510109416332418;-0.0005634746719119213;-0.00035583822679614423;-0.0001416643294547896
0.0006025816599389854;0.00023087688988356593;-0.0005857883348286549;-0.0003776981255228057;-0.0001801669369873398
0.0007017852660167068;0.00023980522960406926;-0.000606008470027474;-0.0003878909844473225;-0.00021348728757431516
0.0007943820070374464;0.00024167065944197301;-0.0006239624419527704;-0.0003862166008762301;-0.0002408013305116089
0.0008784530473366164;0.00023642605543694887;-0.0006395285925108196;-0.0003727594093737926;-0.00026142433906783984
0.000952273602281196;0.0002241943228446438;-0.0006526389789323458;-0.00034788747147320066;-0.0002748274900422135
0.0010143539055795755;0.00020526610152295932;-0.0006632808534355681;-0.0003122447879639678;-0.00028065082734629176
0.0010634747738443061;0.0001800935196135708;-0.0006714968469133935;-0.0002667370951838645;-0.00027871229422432516
0.0010987169171883663;0.0001492801315311187;-0.0006773838497137246;-0.00021251145951744607;-0.00026901261079559526
0.0011194832876188858;0.00011356726399019921;-0.0006810906119947387;-0.0001509301319693602;-0.0002517358705572643
0.0011255139169895235;7.381707915585718e-05;-0.0006828141151593115;-8.353925992205304e-05;-0.0002272458288063077
0.0011168928687539318;3.099273998660386e-05;-0.000682794793723298;-1.2033174254200126e-05;-0.0001960779553704764
0.0010940471112210446;-1.3863866919273502e-05;-0.0006813107136976865;6.178492426311926e-05;-0.00015892742200914828
0.0010577373113734964;-5.965633492327535e-05;-0.0006786708401978096;0.00013604496845073645;-0.0001166332914754436
0.0010090407435638044;-0.00010525930030289112;-0.0006752075523170114;0.00020885373876819717;-7.015926565502827e-05
0.0009493267003706607;-0.00014954476020481597;-0.0006712685857092823;0.0002783392621131105;-2.057143903902263e-05
0.0008802249751981271;-0.00019140852078301622;-0.0006672086000603809;0.00034269484642261754;3.098642076734407e-05
0.0008035881482613027;-0.00022979615021841385;-0.0006633805748848067;0.00040022170588393505;8.331947990756507e-05
0.0007214485432382301;-0.0002637278321551132;-0.0006601272336680068;0.00044936916636988507;0.00013520970520787879
0.0006359708299268901;-0.0002923215499432459;-0.0006577726828062709;0.0004887715032712832;0.00018544434263247572
0.0005494013360363564;-0.00031481407682497245;-0.0006566144380617957;0.0005172805525630181;0.0002328443599812728
0.00046401521100719075;-0.00033057928847998015;-0.000656916004289401;0.0005339933395539429;0.000276292216630553
0.00038206266603668426;-0.00033914335008865606;-0.0006589001822679921;0.0005382740781212671;0.0003147583349152268
0.00030571559420744743;-0.00034019636595653544;-0.0006627432955175173;0.0005297700002721395;0.0003473256490456056
0.00023701592856411262;-0.0003336001347468219;-0.0006685705441820269;0.0005084205843197018;0.00037321160523269683
0.00017782708309292523;-0.0003193917520331066;-0.0006764526753653984;0.0004744598755478261;0.0003917869999766576
0.00012978970153262428;-0.00029778295891914197;-0.0006864040872346907;0.0004284117586994354;0.00040259110657327575
9.42827024333689e-05;-0.0002691553378485997;-0.0006983823560757431;0.0003710782602404946;0.00040534268077070375
7.239030572552645e-05;-0.00023405165199142844;-0.0007122890295322932;0.00030352121987673597;0.0003999466542770654
6.487546779695568e-05;-0.00019316373411904872;-0.0007279714389174232;0.00022703792581806598;0.0003864965692312995
7.216007299126395e-05;-0.0001473172864815571;-0.0007452253294594012;0.00014313148032362106;0.0003652729810348025
9.43124049566069e-05;-9.745375337145362e-05;-0.0007637983228309208;5.3476680135104047e-05;0.00033673805724078346
0.0001310427765311546;-4.46091811182663e-05;-0.000783394542761511;-4.011795059217741e-05;0.00030152638506859424
0.0001817084659451654;1.0110105343090914e-05;-0.0008036809645859017;-0.00013575155597896025;0.000260431658877955
0.000245328904872185;6.555488269414769e-05;-0.0008242959490607524;-0.00023147544877334057;0.00021438869291920206
0.00032061109251853905;0.00012056257934155105;-0.0008448598268217148;-0.00032534014332380874;0.00016445040465253366
0.00040598353733571586;0.00017398710131031424;-0.0008649864073247731;-0.0004154436591046543;0.00011176024117247395
0.000499635280016715;0.0002247263303143085;-0.000884293345126191;-0.0004999788788622612;5.752184389707464e-05
0.0005995558241298629;0.00027174497451644045;-0.0009024091164587727;-0.0005772770298572762;2.96897745818297e-06
0.000703573169231305;0.0003140921644597843;-0.0009189755620307284;-0.0006458445555802834;-5.0661023856247925e-05
0.0008093908639900288;0.0003509160126304681;-0.0009336475586081762;-0.0007043922263319393;-0.0001021486008208189
0.000914629794644731;0.00038147997264574937;-0.0009460944048754787;-0.0007518580816436497;-0.00015030976672622453
0.001016883410378141;0.00040518621683827084;-0.0009560090113531565;-0.0007874285106972576;-0.00019401586870179633
0.0011137928278697226;0.0004216076898293155;-0.0009631288817071795;-0.0008105625200578064;-0.00023222267661637125
0.001203138922756795;0.00043052305323653615;-0.0009672663473706845;-0.0008210212572261566;-0.00026401336346234275
0.0012829342701425259;0.00043194036141705846;-0.000968336454115002;-0.0008188979857821115;-0.0002886515071414215
0.0013514858307644667;0.0004260915671320704;-0.0009663642744687007;-0.0008046355196378763;-0.0003056286781745102
0.0014073998484143532;0.0004133866802887019;-0.000961455688854368;-0.0007790138526641017;-0.0003146829225584326
0.0014495213562819734;0.0003943355964846014;-0.0009537310244695333;-0.0007430961668394967;-0.00031576775135791463
0.0014768400780986225;0.00036947148146884506;-0.0009432467317332539;-0.0006981390666656186;-0.000308971318911333
0.0014884357302310453;0.00033932767861219064;-0.0009299545257815727;-0.0006454979773335778;-0.00029441868349923465
0.0014835499543921315;0.00030451215665550953;-0.0009137514176448166;-0.0005865777997850148;-0.00027222079976140006
0.001461831379402571;0.0002658783700136702;-0.0008946416509847238;-0.000522874363434371;-0.0002425381802575218
0.0014236985364168826;0.0002247177685406918;-0.0008729626185476815;-0.00045611186445036414;-0.00020578459889097233
0.0013706370808484537;0.00018283228647915546;-0.0008495478446532148;-0.00038841146739698946;-0.00016290730045843136
0.0013051695378190344;0.00014233831254424923;-0.0008256622530159377;-0.0003223584063198902;-0.00011557963694636295
0.0012302976591447832;0.00010515125936543384;-0.0008026028043225747;-0.0002608203094467148;-6.609580340799471e-05
0.0011484661090494707;7.229898327837404e-05;-0.0007810315858752015;-0.00020645366280882063;-1.6834804728936433e-05
0.0010604722887164611;4.343391319803475e-05;-0.0007603474511336483;-0.00016102150849524812;3.061360840785703e-05
0.0009650593987737397;1.701060843159072e-05;-0.0007385742462352679;-0.00012486436355775655;7.626236683589965e-05
0.0008599084615569523;-8.584866611486834e-06;-0.0007131789740430686;-9.69793892496985e-05;0.0001218658838758507
0.0007441872900653965;-3.317456851503214e-05;-0.0006828243222172417;-7.601810881212241e-05;0.00016986213329211634
0.0006217768915199356;-5.309552179090523e-05;-0.0006493803527077373;-6.204744543950346e-05;0.00022112889637096738
0.0005032228241703205;-6.103596028576886e-05;-0.0006188893701037181;-5.826269245699504e-05;0.0002724382921882108
0.0004041117538332389;-4.853478724839735e-05;-0.0006000891968787095;-7.134895276062496e-05;0.00031529157442062157
0.0003386811698283248;-1.1070964009286567e-05;-0.0005999732873260131;-0.00010932669267689447;0.00033790609029657085
0.0003101765263025854;4.627508900916757e-05;-0.0006176932927963274;-0.00017679910226360167;0.00033097903487343966
0.00030284440250605575;0.00010634985505422344;-0.000640180157520185;-0.0002693708745571226;0.0002954973236106514
0.0002824641088615923;0.0001445433524773648;-0.0006438186645932307;-0.00037078096110338885;0.0002482325295315104
0.00021060896300525728;0.00014176795453415793;-0.0006049246889304803;-0.00045663876316433364;0.0002194037964581014
7.119553922183011e-05;0.00010179173124205084;-0.0005171249818767717;-0.0005063858909892837;0.00023913677340335637
-0.0001020738004939988;6.308628942630647e-05;-0.00040738965518448276;-0.0005201641353899212;0.00031542079869724193
-0.00021699732049485366;9.283851612558266e-05;-0.0003378867058379303;-0.0005314989147792137;0.0004144651427275843
-0.00015198221253171117;0.0002555428902459716;-0.0003824167695277058;-0.0006037409526000216;0.0004601734768984963
0.00017236535943128954;0.0005618326896338523;-0.0005766614118846202;-0.0008019672679145035;0.0003671962816138284
0.0007010954552404621;0.000920692694770729;-0.0008588149387571473;-0.0011440233399753357;0.00010808520715307847
0.0011810603378467077;0.001129873505052189;-0.0010331336346290079;-0.001550960326033186;-0.00020830574487950909
0.0011819009517970605;0.0009330896633336135;-0.0007915007725436028;-0.0018288405623476545;-0.0002932610164943831
0.00022981402388460445;0.00014219419911031897;0.00019119786382723787;-0.001708784609233852;0.0002750616402409019
-0.0019820289510064227;-0.0012239105177124375;0.0021092792514670884;-0.0009436864076040936;0.0018756465669345994
-0.005412311824478938;-0.002869670279753363;0.004885202550215557;0.0005818241461135218;0.00455284525434899
-0.009644797263688292;-0.00430379044182813;0.008111840714275767;0.002791710447042751;0.007720681710451719
-0.014054126681498852;-0.005078253401253343;0.011133935984641281;0.005427821209601804;0.01009812839359607
-0.018035998981474257;-0.005068743737236276;0.013258635357028753;0.008061447005631495;0.010133978323246357
-0.0211032622013896;-0.004597551267363789;0.014004467425968293;0.010053283847331607;0.006914942393697626
