MU;Nb_Spikes;Fr_Hz;CoV_%
CCA_MU_1;9;2,04;27,93
CCA_MU_2;12;3,23;14,76
CCA_MU_3;8;4,68;21,47
CCA_MU_4;4;0,71;17,68
CCA_MU_5;20;3,83;19,43
CCA_MU_6;8;5,23;21,71
CCA_MU_7;14;3,71;22,78
CCA_MU_8;10;5,0;12,81
CCA_MU_9;20;5,82;25,23
CCA_MU_10;80;17,92;16,47
CCA_MU_11;34;8,87;25,5
CCA_MU_12;87;23,12;22,3
CCA_MU_13;79;16,75;21,73
CCA_MU_14;102;22,48;23,88
CCA_MU_15;53;14,92;25,35
CCA_MU_16;70;17,96;29,56
CCA_MU_17;53;15,2;25,99
