MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
0.0003057716267686169;0.0019213459867341378;-0.0006767326399534727;0.002486036821249564;0.00012285664169543517;0.0021644520776019135;0.001051341380658863;-0.0017706669484143552;0.002321128572181165;-0.00422900369304203;-0.0026935064546389233;-0.0010756752921731005;0.0007892057428176655;-0.00046974462968174183
0.000275086619844151;0.001476795356182535;-0.00040013290814844114;0.0019925699737357444;-7.199495778017763e-05;0.001291307360566791;0.0007637085016107911;-0.0011813460275811368;0.001670283770870074;-0.003242646934958797;-0.002080052280017851;-0.0005492213216377267;0.0009599153171006726;-0.00028294568697010943
0.00024016238932185552;0.001025200317205349;-0.00014135413341109473;0.0015029305266498236;-0.000257296125185308;0.00045870697427888616;0.00048530132525754886;-0.0006243668321949433;0.0010397710612866874;-0.0022825184476625514;-0.0014910410630511127;-4.1702842796369865e-05;0.0011092692675234396;-0.00011119261906984491
0.00020093809085218058;0.0005688550805123515;0.00010150820104305512;0.001016953004815304;-0.00043424824825097927;-0.0003330974660534636;0.00021643749063449865;-9.968972555077908e-05;0.0004261320214379637;-0.0013512285269801617;-0.000927215407366856;0.00044892036360499117;0.0012422890950875046;4.599060422205882e-05
0.0001575067837552779;0.00011061186386164544;0.0003302001933833312;0.0005347876379329806;-0.0006037018346773159;-0.0010840785985842428;-4.2662869046472317e-05;0.0003932996981401481;-0.00017312324492996443;-0.00045023091396470733;-0.0003881616526978088;0.0009235851272218947;0.0013624665567476264;0.00018936144362682357
0.00011010800505437601;-0.0003462420087064154;0.0005463306806268615;5.682744366235253e-05;-0.0007661878318254545;-0.0017945536624183846;-0.0002919150124149684;0.0008558413901190869;-0.000759605463264719;0.0004202688122166775;0.0001277050580790003;0.001382239669090134;0.0014718185614717445;0.00031996306414919614
5.910814438454494e-05;-0.0007981205483544299;0.0007514275308079408;-0.00041630656797467914;-0.0009220327728115697;-0.0024652156882864935;-0.0005313455130335467;0.0012896942667193303;-0.0013342740328832025;0.0012609347209668947;0.0006227695223379768;0.0018242056193417573;0.0015714006939188158;0.00043907574211216163
4.976123508944871e-06;-0.0012412695009978182;0.0009469915559592026;-0.0008837450315856338;-0.0010714930112538201;-0.0030970969024740587;-0.0007610363301399498;0.0016969501546463689;-0.0018976847330104429;0.00207272960044177;0.001099691998890255;0.002248600259288077;0.0016619601988177013;0.0005481406528092987
-5.173904517439704e-05;-0.0016718799215048807;0.0011345205971729747;-0.001344347696518679;-0.0012148522445588842;-0.0036915034283815196;-0.0009810715256711351;0.002079854612889829;-0.0024501631192405003;0.002856432923897261;0.001560963003446696;0.002654656026141048;0.0017444357810816108;0.0006486842262834105
-0.00011042579919532987;-0.002086184025332644;0.0013154960453335307;-0.0017967028822809543;-0.0013524583140203704;-0.004249954178804433;-0.00119150806891347;0.0024406870842832054;-0.0029918693292425636;0.00361240142986333;0.0020086626038904507;0.0030418653911092122;0.001820164710399762;0.0007422604931524141
-0.00017042328034068546;-0.0024805389025335115;0.0014913414396248543;-0.0022391566244130186;-0.001484707609790106;-0.004774139097522294;-0.0013923741259995533;0.0027817077480877857;-0.0035227763827139257;0.00434057287562627;0.0024444227461236758;0.0034099728053170707;0.0018908232922251777;0.0008304143822257196
