MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;34;9,5776;31,3306;11,2688;0,9977
MU_2;19;4,528;33,1436;11,4108;0,9475
MU_3;25;6,1244;31,2112;11,0167;0,8652
MU_4;28;6,6841;21,3453;11,3704;0,8241
