CCA_MU_1;CCA_MU_2;CCA_MU_3;CCA_MU_4;CCA_MU_5;CCA_MU_6;CCA_MU_7;CCA_MU_8;CCA_MU_9;CCA_MU_10;CCA_MU_11;CCA_MU_12;CCA_MU_13;CCA_MU_14;CCA_MU_15;CCA_MU_16;CCA_MU_17;CCA_MU_18;CCA_MU_19;CCA_MU_20;CCA_MU_21
;;;;;;;;;;;;;7149.0;6603.0;;;5069.0;4435.0;7060.0;6327.0
;;;;;;;;;;;;;7339.0;6933.0;;;5142.0;4549.0;7137.0;6429.0
;;;;;;;;;;;;;7461.0;7033.0;;;5254.0;4651.0;7171.0;6593.0
;;;;;;;;;;;;;7585.0;7258.0;;;5375.0;4758.0;7393.0;6687.0
;;;;;;;;;;;;;7714.0;7382.0;;;5498.0;4954.0;7464.0;6731.0
;;;;;;;;;;;;;7836.0;7515.0;;;5653.0;5004.0;7763.0;6841.0
;;;;;;;;;;;;;7983.0;7639.0;;;5683.0;5030.0;8120.0;6991.0
;;;;;;;;;;;;;8268.0;7768.0;;;5727.0;5121.0;8246.0;7025.0
;;;;;;;;;;;;;8383.0;8018.0;;;5828.0;5207.0;8378.0;7137.0
;;;;;;;;;;;;;8537.0;8253.0;;;5972.0;5364.0;8443.0;7257.0
;;;;;;;;;;;;;8675.0;8376.0;;;6090.0;5483.0;8539.0;7334.0
;;;;;;;;;;;;;8836.0;8477.0;;;6225.0;5555.0;8647.0;7456.0
;;;;;;;;;;;;;8993.0;8581.0;;;6269.0;5653.0;8813.0;7694.0
;;;;;;;;;;;;;9122.0;8703.0;;;6449.0;5737.0;8905.0;7763.0
;;;;;;;;;;;;;9517.0;8810.0;;;6484.0;5950.0;9184.0;7831.0
;;;;;;;;;;;;;9628.0;8920.0;;;6561.0;6056.0;9273.0;7942.0
;;;;;;;;;;;;;9756.0;9060.0;;;6695.0;6152.0;9339.0;7982.0
;;;;;;;;;;;;;10001.0;9188.0;;;6772.0;6234.0;9372.0;8119.0
;;;;;;;;;;;;;10138.0;9485.0;;;6892.0;6290.0;9577.0;8378.0
;;;;;;;;;;;;;;9579.0;;;6935.0;6327.0;9627.0;8442.0
;;;;;;;;;;;;;;9702.0;;;6991.0;6391.0;10003.0;8523.0
;;;;;;;;;;;;;;10061.0;;;7102.0;6429.0;10132.0;8945.0
;;;;;;;;;;;;;;10196.0;;;7217.0;6556.0;;8988.0
;;;;;;;;;;;;;;;;;7257.0;6651.0;;9075.0
;;;;;;;;;;;;;;;;;7341.0;6824.0;;9161.0
;;;;;;;;;;;;;;;;;7474.0;6858.0;;9339.0
;;;;;;;;;;;;;;;;;7727.0;7257.0;;9475.0
;;;;;;;;;;;;;;;;;7849.0;7358.0;;9578.0
;;;;;;;;;;;;;;;;;7977.0;7461.0;;9854.0
;;;;;;;;;;;;;;;;;8106.0;7563.0;;9883.0
;;;;;;;;;;;;;;;;;8150.0;7763.0;;10003.0
;;;;;;;;;;;;;;;;;8274.0;8119.0;;10176.0
;;;;;;;;;;;;;;;;;8334.0;8175.0;;
;;;;;;;;;;;;;;;;;8436.0;8234.0;;
;;;;;;;;;;;;;;;;;8540.0;8313.0;;
;;;;;;;;;;;;;;;;;8661.0;8342.0;;
;;;;;;;;;;;;;;;;;8768.0;8405.0;;
;;;;;;;;;;;;;;;;;8878.0;8488.0;;
;;;;;;;;;;;;;;;;;9018.0;8597.0;;
;;;;;;;;;;;;;;;;;9147.0;8782.0;;
;;;;;;;;;;;;;;;;;9233.0;8858.0;;
;;;;;;;;;;;;;;;;;9313.0;8945.0;;
;;;;;;;;;;;;;;;;;9443.0;9039.0;;
;;;;;;;;;;;;;;;;;9661.0;9149.0;;
;;;;;;;;;;;;;;;;;9780.0;9241.0;;
;;;;;;;;;;;;;;;;;9998.0;9339.0;;
;;;;;;;;;;;;;;;;;10019.0;9522.0;;
;;;;;;;;;;;;;;;;;10063.0;9663.0;;
;;;;;;;;;;;;;;;;;10154.0;9792.0;;
;;;;;;;;;;;;;;;;;10191.0;9820.0;;
;;;;;;;;;;;;;;;;;;9883.0;;
;;;;;;;;;;;;;;;;;;9996.0;;
;;;;;;;;;;;;;;;;;;10101.0;;
;;;;;;;;;;;;;;;;;;10195.0;;
