MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;17;4,8797;24,2743;10,4612;0,9999
MU_2;19;5,3195;25,3844;10,3262;0,9999
MU_3;28;6,2002;26,7707;10,1515;0,9637
MU_4;30;7,883;25,9428;10,0386;0,925
MU_5;27;8,0241;28,4545;10,1427;0,9195
MU_6;18;9,7524;5,0545;10,0222;0,9184
MU_7;17;5,2074;26,5911;10,5381;0,9152
MU_8;17;3,6402;22,4811;10,3152;0,9054
MU_9;17;3,0937;21,9244;10,5293;0,9015
MU_10;21;10,518;19,7818;10,798;0,9002
MU_11;22;4,4609;28,5976;10,571;0,8903
MU_12;23;5,0756;23,3691;10,4544;0,8889
MU_13;32;9,8409;28,8387;10,5903;0,864
