MU_1;MU_2
-0.00043683186266740354;-0.0010474373747038578
0.00043878925111581464;-0.0005601334185976681
0.0011281003608193307;-0.0006631928942264039
0.001504988787179207;-0.0016115944904044415
0.0015301701622149853;-0.0031853314486543424
0.0012504338381837726;-0.0048146766432372885
0.0007767083201870443;-0.005870699815018198
0.00024937979551070775;-0.005936605978653792
-0.00020382354570039322;-0.004928292815670343
-0.0005029750233275418;-0.003059700521188992
-0.0006248613947002546;-0.000736589038878514
-0.0005852469134539784;0.0015447775103221274
-0.0004175896059892922;0.003283988032701798
-0.00016711044136629837;0.004085990456013582
0.00010520543984387697;0.0038060662585570858
0.00032517688652350157;0.0026590927390140336
0.00042096765253578843;0.0011809882420169265
0.0003453270006144995;1.0850846843753605e-05
9.373958936152737e-05;-0.00039831218743160355
-0.00029189632740070197;2.7513564466115904e-05
-0.000738873989168299;0.0009828097668002373
-0.00117122630426249;0.0019430322088481772
-0.0015324538225408785;0.002385903858255593
-0.0017902415270204912;0.001994066482194083
-0.0019250228642514633;0.0007960986235739745
-0.0019201758112589917;-0.0008046418347719659
-0.0017726289489693554;-0.002164655886037138
-0.0015202692890313172;-0.0026733436756152217
-0.0012554143592934106;-0.002036825289398416
-0.0010940209456636518;-0.00043187921717679275
-0.0011056183023286862;0.00153126305399181
-0.001250400280375133;0.0030244777375457417
-0.0013774877362420265;0.0033409276452064634
-0.0012987100045012139;0.002242050255161603
-0.0008971328561231012;0.0001327524887038091
-0.0002050409672588322;-0.002082261489452615
0.0005943935322135228;-0.003432034390544629
0.0012449126991886537;-0.0033581821017689053
0.001537053374420132;-0.0019380441649791472
0.0014102928039295723;0.0002623918315323684
0.000983607477271527;0.0025558595228915345
0.0004952866871305765;0.004464272995856679
0.00018034394459097205;0.0058430017937987746
0.0001507071459244229;0.006778993231302093
0.00034874718878142436;0.007358717955938573
0.0006036252590102593;0.0074711978867692255
0.0007473775618226127;0.006804749418299509
0.0007046586862178647;0.005076505567111751
0.000503392354649223;0.0023540073681867298
0.00022663257243735627;-0.0007757558146024766
-3.8218566564188596e-05;-0.003364579433623353
-0.00022058850901251486;-0.004543965790687361
-0.0002681961502054309;-0.003982795408226874
-0.00015445454101280402;-0.002061590259623682
0.000101772103570193;0.0003371042927817956
0.00042572656064965254;0.0022684598917945323
0.0007083646419413364;0.0031326792150525953
0.000852266112624574;0.0028451357908427567
0.0008096414118736081;0.0017152261598223128
0.000591308550525544;0.00015998745254605981
0.0002529629458570095;-0.0015202662707320997
-0.00012573029003725585;-0.003161794160166283
-0.00046303905877926325;-0.004610119777431805
-0.0006963382828319543;-0.005619396535894698
-0.0007957296737358345;-0.00590271794418084
-0.0007653818522260428;-0.005316381620855872
-0.0006395035057379811;-0.004031887806329364
-0.00047996505395951416;-0.002527272299153531
-0.0003656545111685635;-0.0013569584399624067
-0.00035967705613561317;-0.0008394353303962473
-0.00046785131010459026;-0.0008755936930604995
