MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;24;6,8102;28,2504;11,2061;0,9997
MU_2;31;12,642;27,3461;11,1111;0,9878
MU_3;20;5,0471;28,928;11,6798;0,983
