MU_1;MU_2;MU_3;MU_4
-0.00023308306982097607;4.93621112300331e-05;-0.0003037752005927643;2.211733163802597e-05
-0.00030199646400870127;-9.046983692832224e-06;-0.0004131163282127667;0.00023121045309426122
-0.0003627493209281887;-6.155349208534903e-05;-0.000502337091895074;0.00042105526940248446
-0.00041352592974378775;-0.00010307111841593665;-0.0005589751635518889;0.0005730138083660002
-0.0004528333186837578;-0.0001301684089793175;-0.0005750857949153469;0.0006744999740154649
-0.00047956202006518964;-0.0001415175426611712;-0.0005484178963791751;0.0007206369116424003
-0.0004930159764830359;-0.00013797029882136293;-0.0004825872358803878;0.0007145368341234932
-0.0004929107735417303;-0.00012225803724503486;-0.00038623895663062726;0.0006661916246421387
-0.00047934438467125284;-9.838410425801093e-05;-0.0002713840126274109;0.0005902273284930467
-0.0004527486308166658;-7.08340436914329e-05;-0.0001512471375646743;0.0005029863023125977
-0.00041383182526325506;-4.3760017567812684e-05;-3.8047360610671075e-05;0.0004195155568237953
-0.0003635231920329557;-2.0295146066941767e-05;5.8869872741329084e-05;0.000351037203934206
-0.00030292765839170767;-2.121722850959206e-06;0.00013421524744749137;0.0003033594440232342
-0.0002332960025673384;1.0638473769419643e-05;0.00018706896452347203;0.00027648026420742954
-0.00015601088575840918;1.9211449751967917e-05;0.0002203236288839086;0.000265384842558702
-7.258497388286862e-05;2.5701361024316233e-05;0.0002394323535041968;0.000261794027155764
1.5335926708832723e-05;3.247973217070991e-05;0.0002507728959175692;0.0002564353756258844
0.00010597334837522523;4.157380224983445e-05;0.00026000462938608447;0.00024131752787251467
0.00019742840023417236;5.4188436662502506e-05;0.00027077958289788883;0.0002115102818174149
0.0002877115102451845;7.046166748396963e-05;0.00028407650121300244;0.0001660599395581831
0.0003747916333444044;8.94987822252446e-05;0.0002982788065449396;0.00010787352782907662
0.0004566625425764724;0.00010966608153566966;0.000309946002049682;4.264156025311751e-05
0.0005314198516844359;0.00012906678294422755;0.00031507060761538946;-2.2914059723450165e-05
0.0005973396835042114;0.0001460807194956664;0.00031050312792858245;-8.302937152124272e-05
0.0006529489928484524;0.00015983522414450275;0.00029518937080901566;-0.00013463463145184672
0.0006970786810565555;0.00017048998148864894;0.0002709058645770333;-0.000178404195527124
0.0007288935757553333;0.0001792603618433132;0.000242291287893685;-0.00021884100441148333
0.0007478974820439165;0.00018816287256118912;0.00021613061468502573;-0.00026333520099152134
0.0007539159734590751;0.00019953012024323552;0.00020001989782001656;-0.00032037197117962084
0.0007470634423434546;0.00021539724181995887;0.00020068615539130778;-0.0003972652840328892
0.0007277033550639995;0.00023689513079858652;0.00022232653795847625;-0.0004979175645722081
0.000696411141421014;0.00026379035796480555;0.00026534345782307554;-0.0006211225277747617
0.0006539475810790129;0.0002942859107762779;0.00032578344400406383;-0.0007598336937791092
0.0006012472579308768;0.00032514565585042523;0.0003956500964714567;-0.0009016323637693958
0.0005394223282906944;0.00035213914177048333;0.0004640833009040444;-0.0010303839678131742
0.00046977740905635525;0.000370735740543529;0.0005192144916373168;-0.001128820948986802
0.00039382779197559824;0.0003769223723345541;0.0005503594533900296;-0.001181586056693047
0.00031331122329882077;0.0003679888307756782;0.0005501277048444029;-0.001178155713518991
0.00023018362018983863;0.00034312564766238824;0.0005160294992639704;-0.0011150648012522113
0.00014659136314714338;0.00030371167495901876;0.000451249116690741;-0.0009969740904336498
6.481679957424256e-05;0.0002532258197225512;0.00036440963991132006;-0.0008363373878927772
-1.2801460174859793e-05;0.0001967882707234878;0.00026834829918058776;-0.0006516945194579274
-8.396697099338842e-05;0.00014040711605779337;0.00017811306764526326;-0.00046488360518243116
-0.00014653227149441365;9.006277924052925e-05;0.00010854127357869449;-0.00029767619500149084
-0.00019860176311405455;5.0794467176743846e-05;7.185949179024753e-05;-0.0001684478310520129
-0.00023861859847035922;2.5953891953523706e-05;7.573657811184586e-05;-8.948255091383442e-05
-0.0002654260121724611;1.6761502809165815e-05;0.000122132565513526;-6.537824643561257e-05
-0.0002782976746806871;2.2244265899134012e-05;0.00020713578469513434;-9.280222263100692e-05
-0.0002769365723651585;3.9561085290955996e-05;0.0003217997875303717;-0.0001615918363678842
-0.00026144660830701097;6.464515598495057e-05;0.00045381344527022034;-0.0002569565937515226
-0.00023228470993834788;9.30269624201955e-05;0.0005896903629846658;-0.0003623578319950067
-0.0001902031917396548;0.00012066266123765723;0.0007170681637068494;-0.0004625424077703525
-0.00013619233327483984;0.00014459275323839175;0.0008266782733066158;-0.0005461898705056726
-7.143179364096758e-05;0.00016330045752172272;0.0009135929046132832;-0.0006076899042569003
2.7430872630865914e-06;0.00017672113695660536;0.0009774849291778846;-0.0006476924929638106
8.485759362885074e-05;0.0001859519422003111;0.0010218454639397765;-0.0006722714047405433
0.00017329837492052768;0.00019279138710522382;0.0010523680374666276;-0.0006908182066265686
0.00026630526631634505;0.0001992677406827281;0.0010749671083391038;-0.0007131217938386561
0.0003619652953561045;0.0002072746340664874;0.0010940585172659416;-0.0007464161993101667
0.0004582225280219634;0.0002183358434272901;0.0011116884530070503;-0.0007933611347059643
0.00055291597895997;0.00023341947403723455;0.0011277994418225012;-0.0008517890616447377
0.0006438508309010285;0.0002526863093370844;0.0011414182144879085;-0.000916503173596115
0.0007288960657434379;0.00027514201244526983;0.0011520338094751963;-0.0009825136472282371
0.0008060879024370299;0.0002983574105079449;0.001160200144918407;-0.0010481810971273249
0.0008737098612693482;0.00031862112717186635;0.0011667109986474;-0.0011163288134499248
0.0009303242603936258;0.0003319192011393393;0.0011705989244847831;-0.0011920010066541933
0.0009747501910988078;0.00033583939871149063;0.0011673636821873078;-0.001277312831036962
0.0010060146791003432;0.00033186546088948503;0.001149531750319984;-0.0013661816326257775
0.0010233315668126575;0.00032680584296303835;0.0011110911664062926;-0.0014433297078654294
0.0010261652250514136;0.0003317810207158146;0.0010551747268328472;-0.0014912232151790886
0.0010143972546350925;0.00035779952186466005;0.001001190175772187;-0.0015046778196858449
