MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;21;5,5638;20,492;11,8558;1,0
MU_2;16;4,8378;16,1223;11,1781;1,0
MU_3;17;6,1226;17,592;11,4239;1,0
MU_4;15;2,8235;9,2559;11,532;0,9887
MU_5;23;6,2439;24,6002;11,4644;0,983
MU_6;21;8,1594;28,0037;11,0955;0,9527
MU_7;28;10,5404;24,4606;11,4253;0,9464
MU_8;25;5,5905;31,0711;11,236;0,9418
MU_9;15;6,3132;29,1913;12,6952;0,922
MU_10;21;4,4898;21,5606;11,8367;0,8818
MU_11;44;13,9032;34,183;11,9919;0,8774
MU_12;16;5,1603;32,2649;11,9139;0,8694
MU_13;22;8,1109;23,6286;11,3148;0,8635
