MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11
-0.0003951402161103961;0.00012311782553029655;0.0004280654650331578;8.17146257131532e-05;0.0004313100174337648;3.312767471832483e-05;7.383243662287873e-05;0.00034366488277530553;-0.00022623403151330975;-9.283580887432231e-05;6.341170476584768e-05
-0.0004354295669138631;4.770667380681121e-05;0.00046136171691472976;8.690520344038007e-05;0.00046332954680673483;1.6874806233255e-05;4.144719371528599e-05;0.00039140986849158893;-0.00022270934437282076;-0.0001404179218037225;1.7228943725550427e-06
-0.0004666314676993522;-2.9860553751870935e-05;0.00048499763101082923;9.033546969013606e-05;0.0004901818124602611;1.421151601853122e-06;1.2951463275320909e-05;0.00043128266675639294;-0.00021676850844294052;-0.00018476644927342654;-5.092000412209989e-05
-0.0004880136551229506;-0.00010802943290704197;0.0004984789950310712;9.186039852219382e-05;0.0005113615526402035;-1.2956006118232256e-05;-1.0978816327686994e-05;0.00046283960846635314;-0.00020840662141814446;-0.00022515951514172748;-9.342170522723743e-05
-0.0004990724578148361;-0.0001852319072553293;0.0005015507050383307;9.137849872004983e-05;0.0005264946571177894;-2.6006942526445344e-05;-2.977780356489214e-05;0.00048584440965967904;-0.00019766876403231947;-0.0002609755069202245;-0.0001249371388432309
-0.0004995453196042245;-0.00025992302885511373;0.0004942034749836224;8.883436918171588e-05;0.0005353472584248026;-3.751545750864974e-05;-4.300349629201335e-05;0.0005002742464954983;-0.00018464902806659907;-0.0002917079531829286;-0.0001448923242432031
-0.000489417689582384;-0.0003306172623721582;0.0004766747826714739;8.422017799992517e-05;0.0005378315494852585;-4.7304066576942086e-05;-5.0348603083335414e-05;0.000506320817696926;-0.00016948839065785074;-0.0003169777296048866;-0.00015299892299067128
-0.00046892409984485093;-0.00039592349761669764;0.00044944401226173336;7.757602781240246e-05;0.0005340081808432682;-5.5238295410640816e-05;-5.164827884343064e-05;0.0005043863511710151;-0.0001523714899230265;-0.0003365422995410033;-0.00014926211057809146
-0.00043854338761907167;-0.00045457794286132055;0.00041322188953403705;6.898919722956211e-05;0.0005240851732880763;-6.122997571844021e-05;-4.688453664570501e-05;0.0004950746400046433;-0.00013352237308579824;-0.0003503017630955824;-0.00013398156159586026
-0.00039898815628345717;-0.0005054741187182148;0.00036893444171818613;5.859227420966455e-05;0.0005084133632823249;-6.523946458583683e-05;-3.618722073100417e-05;0.0004791772983366596;-0.00011319931669532463;-0.0003583015620066697;-0.0001077455063585547
-0.00035118870545887236;-0.0005476892381085249;0.00031770184379891836;4.656022345046524e-05;0.0004874784826742661;-6.727673163976781e-05;-1.9831505318185137e-05;0.0004576555459240445;-9.16888298799956e-05;-0.00036073176423368717;-7.141797616893166e-05
-0.00029627179118515897;-0.0005805063406843952;0.0002608126341328783;3.310645191726218e-05;0.00046189004763633656;-6.740128317706666e-05;1.768041160399288e-06;0.00043161793132854746;-6.929897185067588e-05;-0.00035792293602003307;-2.611951520896353e-05
-0.00023553469983251672;-0.0006034316479960951;0.0001996938922099939;1.8477959005958947e-05;0.0004323673060916397;-6.572091475726309e-05;2.8066703737069136e-05;0.0004022945018870719;-4.6352125935461196e-05;-0.00035033868454306395;2.6798213510014424e-05
-0.00017041523110116716;-0.0006162067166144677;0.00013587806536933096;2.9496762110152107e-06;0.0003997225540665161;-6.238931086981695e-05;5.840197819776554e-05;0.00037100801616428777;-2.3177398483754615e-05;-0.0003385650386099604;8.578335365946954e-05
-0.00010245828351437161;-0.0006188150873902185;7.096721159624367e-05;-1.3181877149075682e-05;0.00036484219533411167;-5.760254073842358e-05;9.200874980042118e-05;0.0003391428695224907;-1.0283149180798008e-07;-0.00032329690910884874;0.00014911960562257446
-3.3279817925609184e-05;-0.0006114832577491698;6.595486460501802e-06;-2.9605474622973737e-05;0.00032866597686921465;-5.159453314204709e-05;0.0001280369297037643;0.000308112468946742;2.255236339422801e-05;-0.000305321940667866;0.00021496597144810532
3.547096126011303e-05;-0.0005946759366884018;-5.560925003141887e-05;-4.600243116640561e-05;0.0002921648904995085;-4.463164851849323e-05;0.00016557111719351787;0.00027932582937972633;4.448533252843362e-05;-0.0002855021302725454;0.00028139956164899944
0.00010215032285509929;-0.0005690856763881879;-0.00011406380363979423;-6.205403463116955e-05;0.00025631828062397524;-3.700649473067369e-05;0.00020365181471098778;0.0002541541818243103;6.541667650699773e-05;-0.0002647536360482234;0.00034646045121590105
0.00016515871548963083;-0.000535617106820742;-0.00016726708157296518;-7.744896998419632e-05;0.00022209072684769405;-2.903114667230458e-05;0.00024129770975263694;0.0002338983725692429;8.509696451449036e-05;-0.00024402524292495;0.00040819752540075503
0.00022297855350964375;-0.0004953661271865608;-0.00021383569755446582;-9.18905573658121e-05;0.00019040926963626546;-2.1029924193001555e-05;0.0002775285418197633;0.00021975779753735235;0.00010331257939263905;-0.00022427597720014994;0.00046471424486523456
0.0002742101907578374;-0.00044959452801521086;-0.0002525368943625916;-0.00010510364940932277;0.00016214150926965136;-1.3331862674315512e-05;0.00031138808609175835;0.00021280157222434713;0.00011989084593801863;-0.00020645238693041822;0.0005142132786878194
0.00031760523112346866;-0.00039970062705889516;-0.0002823180046861112;-0.00011684106641921013;0.00013807503919170317;-6.262991992096239e-06;0.0003419667756624473;0.0002139425950416489;0.00013470439467822305;-0.0001914660182007617;0.0005550389964350567
0.0003520963848293723;-0.0003471865982626841;-0.0003023317678031307;-0.00012688946551517137;0.00011889860896513534;-1.3854558807000787e-07;0.00036842343678183037;0.00022391512867144585;0.00014767463885247562;-0.00018017162807988727;0.000585716853535872
0.0003768231580626022;-0.00029362325326728563;-0.0003119569295774808;-0.00013507453359381903;0.00010518537512105488;4.744733149323289e-06;0.00039000553659954487;0.0002432564926055188;0.00015877412819264997;-0.0001733466698574549;0.0006049887393974502
0.00039115275848946706;-0.0002406130969771361;-0.0003108136593560834;-0.00014126535246725776;9.73786241010727e-05;8.115935592042618e-06;0.00040606728257156486;0.00027229340963131796;0.00016802745632283941;-0.00017167256457413806;0.0006118433902481764
0.00039469570882226393;-0.0001897525208044943;-0.0002987734097977335;-0.00014537773108001453;9.578042631125299e-05;9.736650867610845e-06;0.0004160849389330347;0.00031113343734240557;0.00017551043584172106;-0.00017571822057557956;0.0006055410202982696
0.00038731578277596867;-0.00014259401860281803;-0.0002759629250482184;-0.00014737627573610924;0.00010054374962739636;9.406597194402724e-06;0.0004196688976529475;0.00035966172738825726;0.00018134749707480682;-0.00018592617798933854;0.0005856314422962803
0.0003691340104552754;-0.0001006093111515611;-0.0002427621896475685;-0.00014727502772051194;0.00011166851805351198;6.967982422525109e-06;0.00041657237001311643;0.00041754308903520703;0.00018570767720489529;-0.00020260166133542626;0.0005519651698545427
0.0003405266408120816;-6.515424650667615e-05;-0.00019979624002807654;-0.00014513666528498818;0.00012900186535385873;2.308603143151389e-06;0.0004066969395179259;0.0004842290670559219;0.0001887999954066947;-0.00022590472462548253;0.0005046973194078403
0.00030211709363479476;-3.74363066416467e-05;-0.00014792096244562093;-0.00014107051190206216;0.00015224238653845345;-4.635998805588159e-06;0.000390095454243314;0.0005589695714525532;0.00019086915061055214;-0.0002558456220198543;0.00044428449037443006
0.00025476207771162935;-1.8485496479307027e-05;-8.820327545605563e-05;-0.00013522980445460965;0.00018094766818148176;-1.388080773501755e-05;0.00036697261453000443;0.0006408286342622606;0.00019219208461215598;-0.00029228353415968025;0.0003714750766978773
0.00019953218979786426;-9.129318681855244e-06;-2.189638699184758e-05;-0.00012780869626025665;0.00021454405475520647;-2.538963629699344e-05;0.0003376830446495429;0.0007287041268142689;0.0001930749606459488;-0.00033492881428103406;0.00028729349999142667
0.0001376874357128534;-9.972445297387848e-06;4.958897971861783e-05;-0.00011903918031461923;0.00025233778658501256;-3.907359385381111e-05;0.00030272580453737894;0.0008213516324372497;0.0001938488786451672;-0.0003833489342243914;0.00019301860142322528
7.064822748725114e-05;-2.1381584262382237e-05;0.0001247164961288123;-0.0001091875440546472;0.0002935274674050768;-5.479066797664101e-05;0.00026273369418874075;0.0009174128503957981;0.0001948619365971039;-0.0004369782214627847;9.015598972452455e-05
-3.7490462741308924e-08;-4.347590693777244e-05;0.00020185863115073;-9.854935964395339e-05;0.00033721904865067424;-7.234802585179421e-05;0.00021845597927936118;0.0010154485869683944;0.00019646592497062163;-0.0004951312273418835;-1.9596162603674767e-05
