MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13
0.00010846025885795549;0.0005099565937620311;-0.0001856836805239542;0.00010223125112302117;0.0004377406322850583;-0.0002439041260406316;-3.974848212293087e-06;-0.00010529833979474828;-0.0001526931054149707;0.000688843419855994;0.0002802338146740411;0.0009847161591112746;-0.00012848091137329773
0.00016215596772740167;0.0005175761760274291;-0.00023544008405758688;5.2675560344694954e-05;0.0005231712936668813;-0.00015777280598125922;1.1903163809810786e-05;-0.00010831785397707562;-0.00027890890005587864;0.0007120040701190449;0.00024066070709846942;0.000979837660138136;-0.00016295577639733428
0.0002130507990754917;0.0005088239310153813;-0.00028353804051601113;-4.249715176642452e-06;0.000599175519583078;-7.264792064546317e-05;2.7305061464126408e-05;-0.0001049990390105745;-0.00040248008055853915;0.0007201124621146154;0.00019953930234663765;0.0009604494516855523;-0.00020249651869312527
0.000259965009999034;0.00048340351362918956;-0.0003291456712529416;-6.737316042515995e-05;0.0006640939238427172;9.442505029715258e-06;4.193730394531116e-05;-9.532313945024684e-05;-0.0005206059043911921;0.0007126392803195698;0.00015803181145618728;0.0009269100840187614;-0.0002461815720464728
0.00030180674704519215;0.0004414024401516022;-0.0003714910638204975;-0.00013536998645246166;0.0007165215181902327;8.653600512967747e-05;5.552595125528335e-05;-7.942366455567084e-05;-0.0006305989568615994;0.0006894103057291446;0.00011731611662423139;0.0008799040778612396;-0.00029297740635111236
0.000337598187256483;0.00038329217107447905;-0.00040988063702103764;-0.00020679230221973884;0.0007553419915807621;0.00015678234705891744;6.782323390930855e-05;-5.7584177575601294e-05;-0.0007299488787421082;0.0006506123220771289;7.855796152665665e-05;0.000820427294117261;-0.00034176206873434326
0.0003664991281545781;0.0003099191615960974;-0.0004437157503743453;-0.00028010243907100493;0.0007797553658016353;0.00021848779720953535;7.861354389525863e-05;-3.0232547315972174e-05;-0.0008163822462672023;0.0005967905527178054;4.288328546799898e-05;0.0007497649012608185;-0.0003913509344609106
0.0003878274581545068;0.00022248704436347695;-0.00047250715802713006;-0.00035370855698737587;0.000789298342828467;0.00027015592793773816;8.771869202848064e-05;2.0682327326359927e-06;-0.0008879171797898006;0.0005288376540171408;1.1351346361194593e-05;0.0006694624281765728;-0.00044052406514771846
0.00040107600945139983;0.0001225303185187;-0.0004958869555104479;-0.0004260017055061032;0.0007838568282179468;0.0003105239836886243;9.500231253069316e-05;3.863244869121528e-05;-0.000942911363264474;0.0004479744797457023;-1.5070733540347774e-05;0.0005812905392478836;-0.0004880545481872842
0.00040592537801626614;1.1880121151751308e-05;-0.0005136177251262206;-0.0004953934752854464;0.000763670295252803;0.00033859393297128155;0.00010037330347387091;7.866701498000074e-05;-0.0009801023147214542;0.0003557230253869359;-3.553139537446051e-05;0.00048720433599097753;-0.0005327371488343738
0.000402252388168524;-0.00010737715340776568;-0.0005255986501069679;-0.0005603533597714374;0.0007293278434235969;0.0003536574454483681;0.00010378821602232613;0.00012128942287403184;-0.0009986389169916144;0.0002538721542619216;-4.931548221627095e-05;0.0003892981110617497;-0.0005734166032844022
0.0003901339801200528;-0.0002329474486616025;-0.0005318684379733594;-0.0006194449498161537;0.0006817560009368177;0.0003553141775241898;0.00010525253250074897;0.00016554787700329604;-0.0009981034233237755;0.00014443686918512818;-5.58619745352604e-05;0.0002897565973471313;-0.0006090148877980342
0.0003698464055008459;-0.0003623817665105991;-0.0005326049678139852;-0.0006713601061979186;0.0006221985119980348;0.00034348290358041626;0.00010482079781376682;0.0002104431686693006;-0.0009785233733979614;2.9612055218211612e-05;-5.4778174062947754e-05;0.00019080384142905197;-0.000638556810762151
0.00034185972578901436;-0.0004931327981258339;-0.0005281216530408155;-0.0007149502940158161;0.0005521885455156784;0.00031840518611349344;0.00010259559488896753;0.0002549517888399418;-0.0009403730831656881;-8.827825199455457e-05;-4.584997233445944e-05;9.465089516540827e-05;-0.0006611933197960481
0.00030682771910551414;-0.0006226141517025211;-0.0005188605884287976;-0.0007492543199857238;0.000473513941626756;0.00028064145943907054;9.87253818325038e-05;0.00029804975376958564;-0.0008845646208251856;-0.000206834896851553;-2.904794134183132e-05;3.4435533036568296e-06;-0.0006762219627869004
0.00026557340949868465;-0.0007482607957880048;-0.0005053826262986148;-0.000773521789823691;0.00038817628517967074;0.0002310595714180249;9.340123705203826e-05;0.0003387365829721481;-0.0008124284247934396;-0.0003236396762249145;-4.529102226806995e-06;-8.078862769576123e-05;-0.0006831040089471548
0.00021907053692621034;-0.000867589301150091;-0.0004883545995708686;-0.0007872317002823078;0.00029834474392216565;0.0001708160151240601;8.68525794450802e-05;0.00037605885039243884;-0.0007256839652949844;-0.0004363121329056173;2.7365651712583452e-05;-0.00015618082305886657;-0.0006814778113283014
0.00016842138335308805;-0.000978256461715569;-0.0004685339775327979;-0.0007901057018737807;0.00020630573460346408;0.0001013302608120902;7.934196095855169e-05;0.00040913271775531236;-0.0006264010897495003;-0.0005425657265913146;6.611839681718322e-05;-0.000221077791580382;-0.0006711680822100819
0.00011483145829987602;-0.0010781149059327598;-0.0004467513020100966;-0.0007821157066875766;0.00011440957633929188;2.4252770059149568e-05;7.115904793268121e-05;0.00043716488492306064;-0.0005169529204911942;-0.0006402620514239369;0.00011104513137661841;-0.00027407401920869666;-0.0006521908384263154
5.958162375961964e-05;-0.0011652643737704296;-0.0004238908057959463;-0.0007634856643051967;2.5015357168465692e-05;-5.857256755278938e-05;6.261392904278265e-05;0.0004594714444152188;-0.00039996137220890454;-0.0007274618237315349;0.00016131064114746453;-0.00031404819309624167;-0.0006247538774264317
