MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;4,449;25,8684;11,0312;0,9906
MU_2;18;3,6205;17,7971;11,418;0,9827
MU_3;17;3,2832;24,0243;11,2036;0,9363
MU_4;25;7,1056;28,6913;11,3973;0,9345
MU_5;29;6,5989;23,3243;11,1587;0,9294
MU_6;24;7,1902;29,6371;11,9395;0,9176
MU_7;15;7,7871;28,631;14,1092;0,9123
MU_8;16;6,2877;23,2968;12,6328;0,8982
MU_9;29;9,3014;27,9687;11,2264;0,8779
MU_10;20;7,3504;29,2271;11,7489;0,868
MU_11;22;7,3024;27,4478;11,3616;0,8633
MU_12;27;7,6221;25,2662;11,0724;0,8362
