MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;19;6,0169;28,1728;12,0602;0,9782
MU_2;28;9,9676;34,5236;12,4488;0,9652
MU_3;20;4,081;32,995;12,3261;0,9274
MU_4;23;4,3667;19,4845;12,065;0,8964
MU_5;24;5,5902;19,4375;12,9572;0,8874
MU_6;20;6,7038;31,4371;12,0781;0,8402
