MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;15;3,4219;17,7442;12,0048;1,0
MU_2;16;4,0813;24,3821;12,3797;0,9787
MU_3;15;3,1703;24,1815;14,4746;0,9026
MU_4;18;7,107;22,2116;12,3225;0,85
