MU;Nb_Spikes;Fr_Hz;CoV_%;PNR_dB;Correlation_CCA
MU_1;16;3,3041;24,0036;11,0573;0,9987
MU_2;25;7,8168;21,0478;11,0254;0,9975
MU_3;22;7,5061;32,2727;11,4149;0,9957
MU_4;20;4,0484;34,5934;11,9016;0,9942
MU_5;18;4,0667;21,5942;11,4173;0,99
MU_6;23;5,6731;21,4891;11,2085;0,962
MU_7;17;8,0693;17,455;11,551;0,9587
MU_8;21;8,0551;31,9219;12,6256;0,9354
MU_9;19;12,7106;24,7642;11,481;0,8913
MU_10;17;6,8267;14,729;12,214;0,8825
MU_11;20;16,5161;20,0733;11,5109;0,8694
MU_12;17;7,8997;19,5762;11,7898;0,8646
