MU_1;MU_2
0.018387967322624342;-0.017532237303642083
0.017498894304817637;-0.016688051532317005
0.016549300029991318;-0.015785579832268717
0.015608042917928711;-0.014885572639393812
0.014714683839550121;-0.014023722925808271
0.013880286908794481;-0.013211315639095863
0.013096602893196616;-0.012443058984747141
0.012348023992485357;-0.011707290012772206
0.01162106221088612;-0.01099405876394935
0.010908768625565314;-0.010298879097743166
0.01021045017624484;-0.00962245298714765
0.00952880395395224;-0.008968185887049012
0.008866807044004426;-0.008339497426298541
0.008225846388288853;-0.0077381999945523635
0.007605423857074473;-0.007164232818708287
0.007003938236845474;-0.006616324807352445
0.006419765257175168;-0.006092918904390894
0.005852031859963427;-0.00559284062710794
0.005300853332032588;-0.0051155124645611925
0.004767129049358277;-0.00466079595996953
0.004252147993768825;-0.004228676304416539
0.0037572383435147284;-0.0038189896519651495
0.0032835820344237466;-0.0034312960630788207
0.0028321935753296093;-0.0030648967003315108
0.0024039895988137564;-0.002718931504258456
0.0019998644940120883;-0.002392484046193277
0.00162071855367692;-0.002084646877394397
0.0012674279600381878;-0.001794537354572935
0.0009407770262058374;-0.0015212803811209305
0.0006413833102412106;-0.0012639830297678772
0.0003696392131919214;-0.001021719902726256
0.00012567924451338346;-0.0007935358842834764
-9.063053474465091e-05;-0.0005784626026876773
-0.000279690475299383;-0.00037554047373114036
-0.0004421617029256856;-0.00018383939827113394
-0.0005789613695603831;-2.4751693667465787e-06
-0.0006912582152359773;0.00016937784598779532
-0.0007804646140593854;0.0003324761065143774
-0.0008482207461153511;0.0004874980859561798
-0.0008963684283373303;0.0006350391323034472
-0.0009269154426249207;0.0007756126718354349
-0.0009419945502821303;0.0009096583665025164
-0.0009438232748685337;0.0010375532242747059
-0.0009346696585426563;0.001159616994400328
-0.0009168250483591671;0.0012761023116881316
-0.000892578624059235;0.0013871661847351243
-0.0008641828658419385;0.0014928324399000816
-0.0008337987546686748;0.0015929693193907316
-0.0008034176007428797;0.001687312711661364
-0.0007747725581861187;0.0017755533282689602
-0.0007492705908368739;0.0018574723571301553
-0.0007279830442189626;0.0019330653191203958
-0.0007117179404159948;0.0020025636224710167
-0.0007011559343346428;0.0020662793048356024
-0.0006969774492043287;0.002124279235694392
-0.0006998718245535693;0.0021760239647725384
-0.0007103386458049756;0.0022202207111519977
-0.0007282891968572269;0.0022551465775825386
-0.0007526119694892383;0.0022795216118463323
-0.0007810043896736222;0.0022936609591909392
-0.0008103806379366963;0.00230025328144934
-0.0008379514733270195;0.00230395735237548
-0.0008626474628401726;0.0023093422448166204
-0.0008860942817510459;0.002317595072195751
-0.0009121608627328022;0.0023235970843340737
-0.0009445053518987265;0.0023157461556667226
-0.0009826323459735484;0.0022804516154298366
-0.0010184003697262776;0.0022110713206897493
-0.0010358600249427896;0.0021176606627814863
-0.0010167558994038223;0.0020309289446918907
-0.0009514141469034836;0.001993703107615597
-0.0008506180956364469;0.002037939022739079
-0.0007504644906505398;0.0021546059157108743
-0.0007020529945873776;0.0022738091896901116
-0.0007435404885889225;0.002276509667750554
-0.0008632030329285837;0.0020503462754657975
-0.0009740550495188141;0.0015785671310897806
-0.0009250045140558463;0.0010206845002137675
-0.0005622898406413627;0.0007240362354838093
0.0001738237256684612;0.001118156189692549
0.0011680078640205294;0.002499228135332222
0.0021343199268186335;0.004793366720141882
0.0027467595052740714;0.007442494442080527
0.002843633449554481;0.009516177745546068
0.002544368429282985;0.010009238787827395
0.0021214188437571175;0.00816755624066437
0.0016702419644274932;0.003742850967033447
0.000868695309099528;-0.002780949961227801
-0.0008770939478453456;-0.01000020705272825
-0.00391645811527874;-0.015706841762837785
-0.007845287958688054;-0.01761805383397038
-0.011459824690638014;-0.014599307399359109
-0.013331202889477683;-0.007669204647644556
-0.012677176740195788;6.716636019692226e-05
-0.009899647084022021;0.004852873655671361
-0.006336640490372427;0.004413146302774007
-0.003380935250395471;-0.0005990086536033348
-0.0016217361404087932;-0.006990257986927191
-0.000602616142691868;-0.011080760979578032
