MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11
0.000301769891854891;-0.0012112432469450968;0.0006338745100541452;-0.0019978707694751846;0.0002888699685030267;0.009377660836915066;-0.0007720242414838005;0.002043981018767042;0.006602228142860683;-0.0016379179878206534;-0.0008854367414416658
0.00030450247506129033;-0.001074180505666561;0.0004461970294550498;-0.0013661171787191886;0.00010069327099325299;0.006685627228154481;-0.0006786970234989597;0.00167121415841017;0.006320587731311036;-0.0014640048951240782;-0.001016399908990215
0.0003129904416713956;-0.0009228348368630463;0.00027095262604502764;-0.000750720083167578;-8.289958447747326e-05;0.004093074787415986;-0.0005848101525509239;0.0013112025488251047;0.00602778878707015;-0.001306149122946694;-0.0011400267731507634
0.00032429197168259895;-0.0007580761499977441;0.00010664853485590139;-0.0001540346441172984;-0.00026064291855118835;0.0016006740772270534;-0.0004928662164745419;0.0009690026139386043;0.005745818343464956;-0.00116958431700259;-0.001256246982785273
0.00033541501102242254;-0.0005811607370959584;-4.852666727160229e-05;0.0004215972478480544;-0.0004310963911855569;-0.0007923095054219233;-0.00040440894028649416;0.0006473848713144937;0.0054862686267973925;-0.0010570105263234156;-0.001364743477760774
0.00034337478194126973;-0.0003936893830842245;-0.00019668033671164866;0.0009739743151522542;-0.0005927074859835647;-0.003088299013162215;-0.00032003642554778505;0.0003468531201219086;0.005250662106679822;-0.0009686430599090459;-0.0014649952067117727
0.0003452836045962974;-0.00019757833082609513;-0.00034009177499045624;0.0015010960000507382;-0.0007439198868510242;-0.00529101841262136;-0.0002396958383759118;6.630663125751134e-05;0.005033711105821223;-0.0009028779819013252;-0.0015563874131072609
0.0003384535455312157;4.966203591040288e-06;-0.000481045389222158;0.0020011769955359986;-0.0008832903530207155;-0.007404773371903754;-0.00016307339667352643;-0.00019607074226848752;0.004827550232949899;-0.0008571712390974907;-0.00163833806914218
0.00032049083681102427;0.00021148105431405368;-0.00062168134241358;0.0024726483938717334;-0.0010095817060192123;-0.009433778674580106;-8.990440830649637e-05;-0.00044209034621931495;0.004625105754566476;-0.0008287525340307454;-0.0017103950706408113
0.00028936901898444156;0.0004192933046009349;-0.0007638979524854951;0.0029141692186801064;-0.0011218174547977496;-0.011381762311091207;-2.011635546103973e-05;-0.0006732070356263301;0.00442169691989257;-0.0008149857888336131;-0.0017722836303639483
0.00024347822672371496;0.00062558191420671;-0.0009093080668180763;0.0033246559507773715;-0.0012193018624597086;-0.013251877702389234;4.618399137634596e-05;-0.0008905154984474229;0.004214991599108567;-0.0008133994438866345;-0.0018239091427353533
0.00018165533816016555;0.0008274492865507859;-0.001059230491868124;0.003703324041900886;-0.0013016194119684734;-0.015046816001958372;0.00010880928804034061;-0.001094939833665156;0.0040040553200886226;-0.0008215371576511079;-0.0018653354284466899
0.0001032018318922159;0.001021996648096135;-0.0012146927556492839;0.004049729433432448;-0.0013686280351808847;-0.016768970538411834;0.00016759829793741452;-0.0012874426500424612;0.003788309544050026;-0.000836795710680911;-0.00189675915126367
7.894252343935448e-06;0.001206398090118496;-0.0013764289743670834;0.004363799469571639;-0.0014204545640920945;-0.018420545096365162;0.00022248083094001433;-0.001469142036814197;0.0035669171113255683;-0.0008563558069404244;-0.00191849298718304
-0.00010401131063158822;0.0013779702670802787;-0.0015448683578472735;0.004645847893166866;-0.0014574936370482974;-0.02000356891412921;0.00027348945116800825;-0.0016413102301207662;0.003338711371051934;-0.0008772287856384708;-0.0019309598446871402
-0.00023178212995571994;0.0015342366692944064;-0.0017201190778754762;0.004896574034894484;-0.001480406435674961;-0.021519840574422;0.00032073432100897096;-0.0018052906118265616;0.003102494284743434;-0.0008963820804864315;-0.0019346933122404146
-0.00037422159201507243;0.0016729863586336818;-0.0019019557758480352;0.005117049499225149;-0.0014901143769561129;-0.022970849071002053;0.00036436702191059074;-0.0019623914896340806;0.0028574307403771335;-0.000910885835017227;-0.0019303374197711422
-0.0005296936624467172;0.0017923270656315833;-0.0020898175054297422;0.005308696175450593;-0.0014877844130759637;-0.024357714871558758;0.0004045534442571024;-0.0021138026721654007;0.0026033275229901775;-0.000918035540730239;-0.0019186406632530474
-0.0006961595164219844;0.0018907320268276347;-0.0022828189642945342;0.005473258170016253;-0.0014748051731704826;-0.02568117160437077;0.0004414634659085201;-0.0022605532593078423;0.0023407156289900507;-0.0009154323744912575;-0.0019004426992234686
-0.0008712253729149487;0.0019670794007308986;-0.002479774102396457;0.0056127685900376175;-0.0014527552993304376;-0.02694158640257428;0.00047527426513533874;-0.00240350449822424;0.0020707691420094056;-0.0009010265825567951;-0.0018766550582349688
-0.0010521996935038912;0.0020206828674552224;-0.002679229117623617;0.005729510992884628;-0.001423366265799198;-0.0281390039883865;0.0005061790123317156;-0.002543359655940312;0.0017951485183439427;-0.0008731406124058168;-0.0018482386091276345
-0.0012361576466388018;0.0020513121634702387;-0.002879501636680301;0.005825975099106653;-0.0013884818194081563;-0.029273198101856704;0.0005343933842952966;-0.0026806738596376048;0.0015158506522314845;-0.0008304876157688601;-0.0018161803814786724
-0.0014200108904039853;0.002059202712953124;-0.003078723818034652;0.005904806851820251;-0.0013500154953279713;-0.030343719940112108;0.0005601562674722576;-0.0028158551827649576;0.0012351088856707596;-0.0007721928754320899;-0.0017814713892387623
-0.0016005809982392238;0.0020450540101387975;-0.0032748882768826996;0.005968753660013382;-0.0013099070371139303;-0.031349941190349596;0.0005837250987898596;-0.002949157283182195;0.0009553439399924581;-0.0006978170443637801;-0.0017450860031368802
-0.0017746750295766604;0.0020100168409133523;-0.003465896471487441;0.006020606294881847;-0.0012700783214129672;-0.03229109475532235;0.0006053685278879135;-0.003080669278376767;0.0006791413631311418;-0.000607375046318721;-0.0017079626555427255
-0.0019391617609445415;0.0019556697487376857;-0.0036496093147412446;0.00606313922262641;-0.0012323895538769417;-0.033166317843269184;0.0006253590348297106;-0.0032103092389545564;0.0004092269299699044;-0.0005013440734008952;-0.0016709853329785027
-0.0020910469900785934;0.0018839853664033026;-0.0038238994504629377;0.006099051158540549;-0.0011985968128118963;-0.033974700482982165;0.0006439666187254848;-0.0033378251534213208;0.00014842180366810565;-0.00038065694172623394;-0.0016349653641102096
-0.002227546202706585;0.0017972874018991319;-0.0039867041661818745;0.006130907435940911;-0.0011703121554511304;-0.03471533955228966;0.0006614530250769611;-0.0034628038264078007;-0.00010042615843802361;-0.0002466807917053298;-0.0016006233601337202
-0.0023461528325391485;0.0016981992294185858;-0.004136077553977322;0.006161085535320595;-0.0011489672750515539;-0.03538739579176474;0.0006780653352376117;-0.0035846858243844377;-0.0003345276108246021;-0.00010118378503216869;-0.0015685717559250354
-0.0024447003878008884;0.001589585212982255;-0.004270240387241786;0.00619172490624277;-0.0011357811607579835;-0.03599014999959085;0.0006940285248056036;-0.0037027840387758074;-0.0005512416030245017;5.370688304573312e-05;-0.00153929914664883
-0.0025214168578926595;0.0014744860701041875;-0.004387626235261285;0.006224682072221904;-0.001131731678087895;-0.036523054855680324;0.0007095383433968002;-0.003816304358925611;-0.0007481590841725672;0.0002155534922270366;-0.0015131582703664498
-0.0025749700237326463;0.0013560497421393307;-0.004486922514714692;0.00626149193485146;-0.0011375308908217476;-0.03698578023423688;0.0007247573934904864;-0.003924368352274924;-0.0009231723094507673;0.0003816626727078086;-0.0014903596070251948
-0.0026045025469060615;0.0012374593562156939;-0.004567105413587157;0.006303336168337003;-0.0011536045913739113;-0.03737825177554466;0.000739817207339473;-0.004026038684142506;-0.0010745263440699662;0.0005491480205483751;-0.0014709717037703805
-0.002609655986973191;0.0011218599362142762;-0.0046274678910549925;0.006351019588665554;-0.0011800777912968185;-0.03770068411152547;0.0007548266206526263;-0.004120347638739136;-0.0012008528424709477;0.0007150016894538194;-0.0014549273752178832
-0.002590583182426571;0.0010122855582633758;-0.004667640247174753;0.006404955342966294;-0.0012167691787541408;-0.03795361069159902;0.000769882337648124;-0.004206327603329059;-0.0013011905371714632;0.0008761738933434103;-0.001442032456321846
-0.0025479487174883816;0.0009115886655257299;-0.004687603038715985;0.006465159622365705;-0.0012631976980596858;-0.03813791107829957;0.0007850734622736922;-0.0042830405651494916;-0.001375000894317357;0.0010296554225135684;-0.0014319721635754705
-0.0024829174674162635;0.0008223732630805673;-0.004687692321308877;0.006531256282529397;-0.0013186024924951394;-0.038254833919204353;0.0008004712002483463;-0.004349602838805859;-0.0014221890888420944;0.0011725548125709302;-0.001424311017065415
-0.002397131451436632;0.0007469336882041984;-0.00466859723613286;0.006602491238324364;-0.001381973419644442;-0.03830601055059325;0.0008161006170721417;-0.004405202546526718;-0.0014431368428499394;0.0013021613548793516;-0.0014184866369857884
-0.0022926754197190747;0.0006872005543931001;-0.004631349797048013;0.0066777558693322265;-0.0014520846605711947;-0.03829345230346195;0.0008319031006158911;-0.004449111051087914;-0.0014387431116196707;0.001415989767325586;-0.0014138046096712753
-0.0021720317800637927;0.0006446952563994232;-0.004577306466162755;0.00675561814971958;-0.0015275214973828135;-0.038219526290909085;0.0008477113104311494;-0.004480694269252237;-0.00141045353272152;0.0015118118192920848;-0.0014094476075488182
-0.002038025680570542;0.0006204940861840741;-0.004508120981935533;0.006834360086216388;-0.0016066932785239265;-0.03808691089505163;0.0008632641440586535;-0.0044994327181066135;-0.0013602477662016349;0.0015876906966122378;-0.0014045120450145135
-0.0018937613617946902;0.0006152025967446513;-0.004425708245525562;0.006912020509761609;-0.0016878351977748281;-0.03789854185254411;0.0008782785609307913;-0.004504956976202386;-0.0012905563000354088;0.0016420384631678031;-0.001398075783192468
-0.0017425512954627755;0.0006289404807078251;-0.004332200076078661;0.0069864432284252945;-0.0017690150184854264;-0.03765756799096981;0.0008925650447367778;-0.00449709631898541;-0.0012041029832095306;0.001673708544340646;-0.0013892813933808412
-0.0015878400759352363;0.0006613370499014674;-0.004229895152024224;0.007055331507774002;-0.001848170868518209;-0.0373673355295943;0.0009061333594927501;-0.004475924830137928;-0.0011037135141938868;0.0016821115520193534;-0.0013773990493443535
-0.0014331253703883241;0.0007115374987629056;-0.004121206816135725;0.007116309982726661;-0.0019232030329794363;-0.0370314062724358;0.0009192078067402443;-0.0044417782571712075;-0.0009921742289528714;0.0016673114789163097;-0.0013618252102354756
-0.0012818782626983147;0.0007782204386412724;-0.0040086126551930204;0.0071669936840718694;-0.0019921199215323505;-0.03665358924639255;0.0009320847728028734;-0.004395215991121328;-0.0008722378677512322;0.0016300383079593892;-0.0013419918399861029
-0.0011374649101492387;0.0008596274265169222;-0.0038946080511958773;0.007205060818396687;-0.0020531998683618125;-0.036237938322987336;0.0009448368872347082;-0.004336922991701388;-0.000746823804870953;0.001571564642406936;-0.001317209741104687
-0.0010030706454680239;0.0009536049709067186;-0.0037816622882841195;0.007228322371554846;-0.002105093937276095;-0.035788659109355046;0.0009569832401761652;-0.004267584010497117;-0.0006193451816653582;0.0014934510759845065;-0.0012865327780420717
-0.0008816268624730177;0.0010576584524719685;-0.0036721717366361675;0.007234779737998001;-0.0021467884395339224;-0.035309895345716096;0.0009673482214324447;-0.004187800896949167;-0.0004939554719418076;0.0013972559419283127;-0.0012487705566485326
