MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12
-0.0010105075587386917;-0.0007626191150970892;-0.00011963679125422512;-0.00045544159905297184;-0.0008004418722417384;-0.0026982279276550657;-0.0007526088960286879;-7.696221759342722e-05;0.0013699211765764653;0.0024170962662410935;-0.0006670940692023243;0.004768681724633576
-0.0011712311743841324;-0.001284113683187334;0.0006569748567414737;-0.0015503035503517356;-0.0031676302014540672;0.0032745363323633003;0.017855496604412335;0.006203572219776023;-0.006109831134574373;0.007092115247557323;0.009745564929671468;0.014481044519741249
-0.0012498000325458134;-0.0016695229367313994;0.0013804469871495865;-0.002319228151909878;-0.004851473199590945;0.00859769234906844;0.0312576705609297;0.012137790101339004;-0.010755827473860842;0.009578041729554268;0.015355121979540861;0.021258704831655373
-0.0011975422588111518;-0.0018018685377153162;0.001968619876252977;-0.0026231891140285637;-0.005498487513075296;0.012612644179167402;0.03626854062114797;0.01710357908048532;-0.011318052290902396;0.009042666174451793;0.013597603247740009;0.023455594035854902
-0.001006738139476244;-0.0015951511857449105;0.002310075753735486;-0.0025345670565933955;-0.0051972625150540136;0.014810108785860105;0.032980894933274475;0.020085601759433695;-0.00855204454151576;0.006440148705374266;0.0053439599861393565;0.021172285277334977
-0.0007224775309370179;-0.0010568921254044275;0.0023108810118816856;-0.0022412095756203427;-0.004348284437661568;0.015069491384605137;0.02462027838937631;0.019957061948608353;-0.004399964404409238;0.003784678724388988;-0.005582549106271831;0.015831365091816273
-0.00043067770122680256;-0.0003193028045479096;0.0019568599676483248;-0.0019140201113083033;-0.00338706910659326;0.013789594498638109;0.0159669971464575;0.016245568338150967;-0.0007209720054011105;0.002845173621320627;-0.01436651329504229;0.009426748617934265
-0.00022357110955763477;0.000402389622354853;0.0013472815203232154;-0.001639130064222279;-0.0025659339294831674;0.011760601697611655;0.011087232631798869;0.009894938458095385;0.001668035891734204;0.00415477386037401;-0.01750341253933043;0.003958038781313555
-0.0001614326718272003;0.0009052405596696878;0.0006691318429545479;-0.0014341945413880797;-0.0019290440464443416;0.009817988144723688;0.011611579704398719;0.0032981467514717963;0.0032010139482412736;0.006839262539298138;-0.01416161237924842;0.001115093802987877
-0.0002488499675120839;0.0010884940932886808;0.00012016126606144187;-0.0012959916792550158;-0.0014387668545627766;0.008472006661054078;0.01649898623417607;-0.0006653384402403761;0.004900848049059957;0.009136729690187903;-0.0060873607152591965;0.0019893663710065087
-0.00043221928006157394;0.0009915480608247461;-0.0001685828256635759;-0.0012214925509158457;-0.0010952891604660002;0.007737231643390679;0.02323641731578717;-9.96745723362753e-05;0.007278439490011603;0.009201891973477844;0.0035376316433488454;0.006686613625127064
-0.00061791466147733;0.0007710615580235633;-0.00015809754983410736;-0.0011951578055673284;-0.0009417849554371717;0.0072719371262014885;0.02948280499532308;0.004827731489558489;0.009687196316295076;0.005890674595931354;0.0115204362658721;0.014032489812525011
-0.0007075123707885309;0.0006334989379842557;0.00012636972285206725;-0.0011821965754430534;-0.0009921766179838538;0.006719361163435913;0.034035671211889953;0.0118715552681103;0.010724874316212198;-0.0006881498819243657;0.01579286747517203;0.021738326487479906
-0.0006399817282347967;0.0007468504861270466;0.0006304865559510014;-0.0011566869117659894;-0.0011881001757688915;0.00600133888385266;0.036755831500198136;0.017775949031646227;0.009353421208685432;-0.009110531279290261;0.015979164086654236;0.027181743146226983
-0.0004226098268083568;0.0011606936060591406;0.0012818226246465111;-0.0011370990541832889;-0.0014304415817524476;0.005386951731512154;0.03795292514384844;0.019811517360376833;0.0057829317512463315;-0.017203520943031788;0.01327837673433346;0.028497818849483367
-0.00013233200205689917;0.0017707446420966101;0.0019921642469625067;-0.0011771490874566842;-0.0016478026033696078;0.005331975052323871;0.03790897753948233;0.016942155538645226;0.0014098843986955398;-0.022951522540885245;0.009713454286739745;0.02541053209002966
0.0001175360752916197;0.002357234672616895;0.0026790655106501064;-0.0013080253099007303;-0.0018478972001987446;0.0061865182266698055;0.036781695197423726;0.010059134528720029;-0.002089420528216174;-0.025144235023164447;0.007064778857717286;0.019370845347637906
0.00023001638152746155;0.002692790043468391;0.003298603126655717;-0.0014891916972191819;-0.002115947146946011;0.007914252856994484;0.03474230667918452;0.0013144161334811772;-0.003774146094850115;-0.02346701848039206;0.006002155063067994;0.012883319590202497
0.0001683649180251142;0.002667093360362886;0.0038485602187291828;-0.0016204588288800217;-0.002543595570899988;0.00999244223175031;0.03213233511589686;-0.006921903315711456;-0.0038357887425338215;-0.018311756622911703;0.005857930585732343;0.008235122198026659
-3.276910328791422e-05;0.0023512235415652965;0.004322747991686268;-0.0016053925120635352;-0.003119543112539117;0.011577712286037453;0.029473804628166317;-0.012897938701334984;-0.0031952432992790334;-0.010675426067922609;0.005158902427037791;0.006257256827091483
-0.00029203189467773077;0.0019563366920554246;0.00465770129361922;-0.0014105442715403752;-0.0036694852974355706;0.011853367870152594;0.027265239452812447;-0.015813733854632337;-0.00272856844989808;-0.002095331428956805;0.002631301987111638;0.005981686291502682
-0.00052265841440241;0.0017125524225108902;0.004739297375535384;-0.0010807510633433271;-0.003914441484652236;0.010399402458747329;0.025695640047611;-0.01566412023150403;-0.0027547381784221153;0.005670548613591618;-0.001879492453359967;0.005572704642407873
-0.0006657535106586213;0.0017458805454788606;0.004485188319171005;-0.0007157743106028234;-0.0036198206913968752;0.0074586794259652875;0.0245535845434095;-0.012807652222021678;-0.0030950401244477102;0.011245409151726955;-0.00710269567912142;0.003874042296685242
-0.0007045744078964984;0.002023239324846286;0.00393728510608553;-0.00043211912197534575;-0.002738705525698072;0.0039751945001618785;0.023492584958333528;-0.007603796083521534;-0.003507126734434568;0.014133562126102254;-0.01084229204011189;0.0013371686931445347
-0.0006630638764950462;0.0023858397496834827;0.003276430928475899;-0.00032062984062337604;-0.0014691938023279174;0.0012919106543342069;0.022484575656627946;-0.0004141757118465638;-0.004065564653612131;0.014692020047619036;-0.011039126183471734;-0.0003637159255824987
-0.0005929374765628203;0.002643892244688739;0.002735688807027297;-0.00040453870534019144;-0.00019826679991316674;0.0005573630675360529;0.022014843477987853;0.008036685117319834;-0.0051862628468929955;0.013593831051441704;-0.0068580991861199835;0.0004011873777392988
-0.0005511122838605151;0.0026806183584910156;0.0024737270975221212;-0.00061947219022166;0.0006468799472980431;0.0021235798981916907;0.022666511437013554;0.016294670882779878;-0.007242427297639162;0.01128240753723782;0.0007367730002982125;0.004116863397812256
-0.0005755589224510496;0.002509604441022;0.0024972746255285555;-0.0008441330729682058;0.0007739312872096917;0.005293849297184174;0.02429662077027752;0.022230634026353883;-0.009983669119484676;0.007887030466120274;0.009206093184841125;0.009877221004752874
-0.0006733895132227063;0.002252779936271967;0.0026805887427390792;-0.000978696940988795;0.0001445564109543074;0.008613695556550137;0.02555751262840945;0.02369052844516855;-0.012216429916678755;0.0035889549908295804;0.015408990052353059;0.015886832823820557
-0.0008266454496487282;0.00205654293054193;0.002862292132523769;-0.0010204724010282559;-0.0010107253065338333;0.010592905526360727;0.024412295040809478;0.019521819264090814;-0.012178072984794987;-0.0009729929295224705;0.01694510114285781;0.02020454943755308
-0.0010073966804100016;0.0020061548900887345;0.002948787615462448;-0.0010749774256022485;-0.0022828469434485834;0.010468283915206999;0.019485606792221076;0.010417911949289841;-0.008549877010613278;-0.004656512888174935;0.013236208063806987;0.021381278957431245
-0.0011912996597868476;0.002091252926185128;0.002950034524181113;-0.001282941368478021;-0.003249544265147041;0.008553305855706624;0.011288975130459754;-0.0010174487519224351;-0.0014504732573512194;-0.006221304588081425;0.005800644547344805;0.0188989801633586
-0.0013664027861178048;0.00222646450066306;0.0029279788052479555;-0.0017063387138650378;-0.0036524089011660296;0.005977196145876483;0.002318560315449659;-0.011172536199147839;0.007352060676795054;-0.004961057419598024;-0.0023745722675248744;0.01336801038790937
-0.0015374115029909829;0.0022957391740165635;0.002911027844047527;-0.002250302349124965;-0.0034955222820300174;0.004033438089627122;-0.004180863983498376;-0.016899453187099345;0.015201719918318903;-0.0011915726395805154;-0.008016782640244077;0.006417073372255326
-0.0017213876380990948;0.002195146604939599;0.002851373934665478;-0.002677681649313429;-0.003004082037903154;0.003576598838996877;-0.005997815175917372;-0.01684164676058024;0.019757597063231606;0.003712464200253421;-0.008818269109685804;0.0002602882093797412
