MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13
0.00010725025388802095;0.0005377364436263233;-9.484492779609789e-05;-1.0529115529165749e-06;-0.0008053277493541343;-0.00052294754916658;-8.243729953990931e-05;-3.0669045117524877e-05;0.0003756662216937329;0.0002061744514117895;0.0004045785918764934;0.00021263410061166007;5.9028117392335625e-06
0.00016017660250754466;0.0005349551484206514;-5.269627163658731e-05;-0.00011342475250847833;-0.0007964837369566321;-0.0002614935935922496;-0.00048116136743282947;-7.326449270259531e-05;0.0003021637336179846;0.0002837479723056177;0.0004992318281588649;0.0006245305207542671;0.0002465036917549175
0.00021044343072750734;0.0005153255041502009;-4.683626349350939e-06;-0.00021366538504219865;-0.0007698462020848273;-2.3742480174146337e-06;-0.0008455097575070955;-0.00010707294556132566;0.00022630383600400318;0.0003451079664380883;0.0005776064603378134;0.0009823154693582546;0.0004687923648513573
0.0002569533105851642;0.00047902303754757564;4.748704921003247e-05;-0.00029125680760942;-0.0007277422487242957;0.00023958078961193373;-0.001147219991312771;-0.00012530032295535794;0.00015446834503674248;0.00038104178231244284;0.0006343637722831314;0.001246050756810568;0.0006539211914826562
0.00029866651965717385;0.0004265191943228762;0.00010227827313674656;-0.00033922629875661784;-0.0006722705516080992;0.0004531934946800244;-0.0013668562743184127;-0.0001236255213440803;9.12186802160303e-05;0.00038582776453763686;0.0006658053087219025;0.0013897607843716517;0.0007889974899750124
0.00033461940190733757;0.0003585491526929271;0.0001584277697702867;-0.00035510326468591967;-0.0006050964721316139;0.0006320590149938431;-0.0014962044774166684;-0.00010085785263247206;3.873511069218915e-05;0.00035812999061938134;0.0006702631870587677;0.0014051331095392122;0.000868725383564854
0.00036394682684766995;0.00027609391233832835;0.00021498604996401214;-0.0003410734256100433;-0.0005273960914306014;0.0007747999350444695;-0.0015387011360141402;-5.9032261374471674e-05;-3.288601663041259e-06;0.0003011220560851617;0.0006481775921066978;0.0013020887611199306;0.0008956924332462063
0.0003859082298882731;0.0001803771208816308;0.0002712837014972434;-0.00030332371781155253;-0.0004399510205419647;0.0008844440863659087;-0.0015078790322406918;-2.9379965131973367e-06;-3.7290985917781006e-05;0.0002218341201524705;0.0006018584625450726;0.0011061971904665017;0.0008792892552459645
0.0003999155125540641;7.287277519099744e-05;0.00032684108961980016;-0.0002507255717493222;-0.00034336535675668804;0.0009670839269310583;-0.001424188994563415;6.081545647155007e-05;-6.711324670567033e-05;0.00012986529208246678;0.0005349872635679798;0.0008535119107203102;0.0008335108710891275
0.0004055601501170971;-4.4683469562316e-05;0.00038124416905361945;-0.000193126898578356;-0.0002383519484927826;0.0010301085143490849;-0.0013108574347718194;0.00012500538087567255;-9.70486582994078e-05;3.572100976616535e-05;0.0004519616270784067;0.0005838808475255156;0.0007740957226308521
