MU_1;MU_2;MU_3;MU_4;MU_5
0.0009644340647106628;-0.0046328956436888;-0.008428216850528858;-0.0040255107295521795;-0.003679178712301711
0.008591479865167907;-0.0036766638962459747;-0.0017661071199003996;-0.0028534376757947968;0.0016964389821921859
0.013858355001863477;-0.0024164309944545545;0.002498846711487555;-0.0013969165778498478;0.005704960732124134
0.015324248705411344;-0.0006516318927630515;0.0031141369699385;0.00047746202386952935;0.007252392538916182
0.012991615830087481;0.0014979509967790348;0.0005589326758662631;0.002606141114091226;0.005943432117076007
0.008193652401676965;0.0034326261226660906;-0.0032536441889978907;0.0044629221383657835;0.002388236211741751
0.0028745241833867444;0.004240703472233696;-0.005962468242891233;0.0052667425047940135;-0.0019722708923494794
-0.001321677933165665;0.0032621089510010003;-0.005909787829223246;0.004350957315684278;-0.00552890236135867
-0.0036158990913197357;0.000673807954157638;-0.0029260423262700824;0.001688516832177258;-0.007245403743738682
-0.004017300256845946;-0.0024238717432224603;0.0015927314985086994;-0.0017887489446473965;-0.007013029775033523
-0.002763207611300936;-0.0045688582768374985;0.005419825481094772;-0.004443761895978068;-0.005447091679074877
0.0001834680931825389;-0.004790600402670486;0.006753866521328129;-0.004769933369681097;-0.0033710732547815006
0.005076986086876618;-0.003201714554628055;0.00523499995940774;-0.0023490076600894464;-0.0014429468077280165
0.011809723211542604;-0.0009529913924229842;0.00197887211531235;0.0017443156432010393;-0.00012251490050281145
0.019387178688088053;0.000422830243430519;-0.0013695346124991867;0.005488324932523226;0.00027577492228778125
0.02597886524874925;-0.00012969445000221596;-0.0037484469434381465;0.00712666317014867;-0.0002563461227150772
0.029559591719441072;-0.002634950249172084;-0.005082171443946671;0.006212036402411006;-0.0011719543070134071
0.02878957183191587;-0.006116217098871281;-0.005802130461748462;0.0037694524047934734;-0.0014358990399698233
0.023714531490296696;-0.009158203256133536;-0.006080142807648331;0.0015646164726578046;-6.53445406691973e-05
0.015907983066601804;-0.010727269542649477;-0.005547941692631936;0.0010614690552039393;0.003171702701121584
0.00787373662177654;-0.010838871238892229;-0.0037825550975646885;0.002681701840768488;0.007425063959171679
0.0019286746193713702;-0.010608141317767501;-0.0010999131631043342;0.005637546113806291;0.011096924144089148
-0.0008806499179224085;-0.011472717012949264;0.0011539048381605465;0.00833126399768994;0.012671214401418314
-0.0012488388178202084;-0.014022063254253373;0.0012310947857831645;0.009157621679372799;0.011529805442227365
-0.0011643982972026757;-0.01736743575144065;-0.0018736720650914746;0.007350513424303848;0.008308974555755749
-0.0027228757082760385;-0.01965207056412995;-0.007623426150827048;0.0034017670893482;0.004672215084913227
-0.006860393606320152;-0.019308916623551095;-0.014040998380807445;-0.001201892624393288;0.0026079974858991373
-0.012779508794314052;-0.016016822534252777;-0.01861423179544999;-0.004725609689596203;0.0034631505419598315
-0.018408109044258325;-0.010628396059420548;-0.01946722254241228;-0.005920061954887014;0.007091954127364313
-0.021549248762350735;-0.0042836138021849915;-0.01620136487753733;-0.00436038583516961;0.011645428412271511
-0.020990845017452187;0.0023966116542580547;-0.010028834774695423;-0.00041535818704051014;0.014322598950627744
-0.017026748512931792;0.009312937352694587;-0.0031796765540412024;0.004887576978108519;0.012842196871383988
-0.011305082368100208;0.016197181795799633;0.0021172885777753564;0.01004605634342316;0.0068507345383243805
-0.006173021290524164;0.022020815881006232;0.004638890520777155;0.013523305297081295;-0.0016393954651999427
-0.003672789741584115;0.02517105211575341;0.004739748976885468;0.014411055416293887;-0.009205089219372267
-0.004436322510616713;0.02432389747984607;0.004183757502813684;0.012809656884944964;-0.012861196514846296
-0.007058565165767709;0.019336617076345215;0.005160329000456959;0.009522318533869936;-0.01160551658271677
-0.008635412757017284;0.011496730632994093;0.008857099225730684;0.005360126462484078;-0.00669411554197284
-0.006510093418389488;0.0029694812162800025;0.014431932993067416;0.000766375102886578;-0.0006760833223962673
-0.0001758138722162804;-0.004156796549329254;0.01921388824277739;-0.003936472698061155;0.003984395089025145
0.008147424146983792;-0.008592456150077692;0.020195315478768943;-0.008085384047944403;0.00587955589613739
0.014807763503566091;-0.009962831011496564;0.01586973054149463;-0.010632834946131016;0.004935167608444945
0.01691240360369728;-0.008506091855422003;0.007155535057852222;-0.010728218177863924;0.0021706202467575483
0.013824473552257386;-0.004832324800132976;-0.0031444181801641886;-0.008502242467960571;-0.0007679213219429964
0.007136619340357829;5.730935808751676e-05;-0.011819013767844843;-0.005327150436220236;-0.002162954320254849
-0.000504469517568201;0.004736204558683608;-0.016617449684480038;-0.003153914073143773;-0.0008530420203474654
-0.006763631875945487;0.007609900550134972;-0.016829621007187746;-0.003308642709024064;0.0031771596686480754
-0.010426160982624668;0.007496905841122945;-0.013143778211965851;-0.005652761930314887;0.008534671035546766
-0.011451915591069992;0.004298452950157736;-0.007233481014983368;-0.00872350570181177;0.012794691359317477
-0.010506925815875904;-0.0006312057136304455;-0.0013064993168417135;-0.010676949407161246;0.013567240763098757
